fid,Hylak_id,Lake_name,Country,Continent,Poly_src,Lake_type,Grand_id,Lake_area,Shore_len,Shore_dev,Vol_total,Vol_res,Vol_src,Depth_avg,Dis_avg,Res_time,Elevation,Slope_100,Wshd_area,Pour_long,Pour_lat
2041,"1357942",,Croatia,Europe,SWBD,"1","0",0.260000000000000,2.130000000000000,1.180000000000000,0.520000000000000,0.000000000000000,"3",2.000000000000000,0.349000000000000,17.300000000000001,"105",0.720000000000000,51.100000000000001,17.985202000000001,45.556438000000000
2042,"1357952",,Croatia,Europe,SWBD,"1","0",0.830000000000000,3.930000000000000,1.210000000000000,2.040000000000000,0.000000000000000,"3",2.400000000000000,4.357000000000000,5.400000000000000,"107",0.750000000000000,254.500000000000000,15.636137000000000,45.553379000000000
2043,"1357964",,Croatia,Europe,SWBD,"1","0",0.190000000000000,2.520000000000000,1.630000000000000,0.330000000000000,0.000000000000000,"3",1.800000000000000,4.357000000000000,0.900000000000000,"107",0.600000000000000,254.500000000000000,15.633755000000001,45.551166000000002
2044,"1357985",,Croatia,Europe,SWBD,"1","0",0.810000000000000,5.510000000000000,1.730000000000000,2.300000000000000,0.000000000000000,"3",2.900000000000000,5.833000000000000,4.600000000000000,"106",1.050000000000000,724.000000000000000,16.946801000000001,45.545040999999998
2045,"1357992",,Italy,Europe,SWBD,"1","0",0.120000000000000,2.450000000000000,2.040000000000000,0.410000000000000,0.000000000000000,"3",3.600000000000000,188.020999999999987,0.100000000000000,"121",3.120000000000000,5648.800000000000182,9.526868000000000,45.543556000000002
2046,"1357999",,Slovenia,Europe,SWBD,"1","0",0.580000000000000,3.670000000000000,1.360000000000000,1.340000000000000,0.000000000000000,"3",2.300000000000000,0.104000000000000,148.900000000000006,"0",0.740000000000000,4.100000000000000,13.743750000000000,45.542411000000001
2047,"1358021",,Croatia,Europe,SWBD,"1","0",0.190000000000000,1.840000000000000,1.180000000000000,0.530000000000000,0.000000000000000,"3",2.700000000000000,0.051000000000000,119.700000000000003,"106",1.490000000000000,3.000000000000000,15.622548000000000,45.535477999999998
2048,"1358027",,Slovenia,Europe,SWBD,"1","0",0.340000000000000,6.390000000000000,3.080000000000000,2.190000000000000,0.000000000000000,"3",6.400000000000000,0.608000000000000,41.700000000000003,"437",7.320000000000000,24.399999999999999,14.211389000000000,45.533546000000001
2049,"1358028",,Croatia,Europe,SWBD,"1","0",0.700000000000000,10.820000000000000,3.650000000000000,1.820000000000000,0.000000000000000,"3",2.600000000000000,0.048000000000000,438.500000000000000,"78",0.900000000000000,11.000000000000000,18.907326000000001,45.533951999999999
2050,"1358068",,Italy,Europe,SWBD,"1","0",0.160000000000000,1.620000000000000,1.140000000000000,0.430000000000000,0.000000000000000,"3",2.600000000000000,0.110000000000000,45.000000000000000,"123",1.470000000000000,4.800000000000000,9.302046000000001,45.522575000000003
