Date,Tree Type,Location,Circumference [cm],Hight [cm],Hight_Classes,Leaf Length [mm],Leaf Width [mm],Leaf-Stalk Length [mm],Weight [g],Colour,Leaf Form,Feeding Traces,Finding Place
"Thursday, October 10, 2013",Birch,City,70.00,>500,D,91.00,71.00,46.00,0.90,yellow,other,yes,under the tree
"Saturday, October 12, 2013",Beech,City,70.00,>500,D,37.00,30.00,30.00,2.00,yellow,rounded,no,on the tree
"Saturday, October 12, 2013",Beech,City,70.00,>500,D,52.00,30.00,11.00,2.00,yellow,rounded,no,under the tree
"Wednesday, October 16, 2013",Sorb,Forest Edge,70.00,300 - 500,C,130.00,100.00,35.00,2.00,green,pinnate,no,on the tree
"Sunday, October 20, 2013",Oak,Suburbs,70.00,200-299,B,80.00,110.00,90.00,1.00,yellow,other,no,under the tree
"Saturday, October 19, 2013",Alder,Suburbs,70.00,300-500,C,55.00,30.00,10.00,2.00,brown,rounded,no,under the tree
"Wednesday, October 16, 2013",Ginkgo,City,70.00,200-500,B,60.00,50.00,40.00,2.00,green,other,no,on the tree
"Monday, October 14, 2013",Plane,Suburbs,70.00,300 - 500,C,127.00,115.00,30.00,2.00,yellow,pinnate,no,under the tree
"Monday, October 21, 2013",Willow,Forest Edge,70.00,>500,D,30.00,20.00,10.00,1.00,yellow,rounded,no,under the tree
"Tuesday, October 15, 2013",Limetree,Suburbs,70.00,>500,D,53.00,47.00,17.00,0.60,yellow,heart-shaped,yes,under the tree
"Saturday, October 12, 2013",Birch,Meadow Orchard,71.00,>500,D,60.00,45.00,25.00,6.00,yellow,rounded,no,on the tree
"Friday, October 18, 2013",Birch,Forest,74.00,300-500,C,80.00,55.00,2.00,2.00,green,other,no,on the tree
"Friday, October 11, 2013",Maple,City,75.00,300-500,D,30.00,2.00,20.00,1.00,green,other,yes,on the tree
"Saturday, October 12, 2013",Birch,City,75.00,>500,D,54.00,46.00,17.00,1.00,green,rounded,yes,under the tree
"Wednesday, October 16, 2013",Cornel,Botanical Garden,75.00,300-500,C,85.00,52.00,11.00,0.50,yellow,rounded,yes,under the tree
"Saturday, October 12, 2013",Beech,City,75.00,>500,D,45.00,30.00,7.00,1.00,green,rounded,no,on the tree
"Tuesday, October 15, 2013",Limetree,City,75.00,300-500,C,125.00,111.00,30.00,2.00,green,rounded,no,on the tree
"Wednesday, October 16, 2013",Birch,Forest Edge,77.00,300-500,C,45.00,50.00,2.00,1.00,green,other,yes,on the tree
"Friday, October 18, 2013",Ash,Forest Edge,78.00,300-500,C,150.00,73.00,35.00,7.00,green,pinnate,no,on the tree
"Saturday, October 12, 2013",Walnut,Forest Edge,78.00,>500,D,120.00,70.00,25.00,9.00,green,pinnate,yes,on the tree
"Monday, October 21, 2013",Birch,Suburbs,80.00,>500,D,80.00,60.00,20.00,0.40,green,rounded,no,under the tree
"Monday, October 21, 2013",Birch,Suburbs,80.00,>500,D,86.00,62.00,27.00,0.40,green,rounded,no,under the tree
"Saturday, October 19, 2013",Birch,Meadow Orchard,80.00,300-500,C,65.00,55.00,25.00,1.50,bran,rounded,yes,under the tree
"Monday, October 21, 2013",Beech,Forest Edge,80.00,>500,D,50.00,35.00,5.00,1.00,green,rounded,no,on the tree
"Friday, October 11, 2013",Beech,Forest,80.00,200-299,B,50.00,30.00,20.00,0.50,brown,rounded,no,on the tree
"Sunday, October 20, 2013",Beech,Suburbs,80.00,300-500,C,100.00,120.00,45.00,0.60,yellow,other,no,under the tree
"Friday, October 11, 2013",Oak,Forest Edge,80.00,>500,E,45.00,30.00,8.00,1.00,green,rounded,yes,under the tree
"Friday, October 11, 2013",Oak,Suburbs,80.00,300-500,C,60.00,40.00,20.00,0.80,green,other,yes,on the tree
"Tuesday, October 15, 2013",Raspberry,Forest Edge,80.00,<200,A,80.00,50.00,15.00,3.00,green,rounded,yes,on the tree
"Wednesday, October 16, 2013",Larch,Forest,80.00,300-500,C,20.00,1.00,0.00,0.50,green,other,no,on the tree
"Monday, October 14, 2013",Poplar,City,80.00,>500,D,30.00,30.00,30.00,0.50,green,other,no,on the tree
"Friday, October 18, 2013",Acacia,Suburbs,80.00,300 - 500,C,170.00,115.00,18.00,2.00,green,pinnate,yes,on the tree
"Wednesday, October 16, 2013",Horse Chestnut,Suburbs,80.00,200-500,B,150.00,170.00,150.00,4.00,brown,digitate,no,under the tree
"Saturday, October 12, 2013",Ahorn,City,80.00,>500,D,127.00,130.00,50.00,2.00,green,pinnate,no,on the tree
"Friday, October 11, 2013",Birch,Suburbs,81.00,>500,C,79.00,46.00,30.00,2.00,yellow,other,yes,under the tree
"Thursday, October 17, 2013",Ash,Forest Edge,81.00,300-500,C,152.00,76.00,37.00,8.20,green,pinnate,yes,on the tree
"Sunday, October 20, 2013",Chestnut,Forest Edge,82.00,>500,D,150.00,80.00,30.00,1.20,green,other,no,under the tree
"Wednesday, October 16, 2013",Birch,Forest,85.00,300-500,C,50.00,40.00,2.50,1.00,green,other,no,on the tree
"Thursday, October 10, 2013",Appletree,Suburbs,87.00,300-500,C,75.00,50.00,25.00,5.00,green,other,no,on the tree
"Thursday, October 17, 2013",Birch,City,89.00,>500,D,58.00,48.00,31.00,1.00,yellow,rounded,no,under the tree
"Tuesday, October 22, 2013",Maple,City,90.00,>500,D,200.00,200.00,30.00,6.00,green,other,no,under the tree
"Monday, October 21, 2013",Birch,Forest Edge,90.00,>500,D,30.00,20.00,10.00,0.50,yellow,other,no,on the tree
"Wednesday, October 16, 2013",Kentucky Coffeetree,Botanical Garden,90.00,300-500,C,460.00,300.00,180.00,30.00,brown,pinnate,no,under the tree
"Friday, October 18, 2013",Larch,Forest,90.00,>500,D,20.00,10.00,0.00,0.50,green,other,no,on the tree
"Sunday, October 13, 2013",Robinia,Forest Edge,90.00,>500,D,250.00,140.00,45.00,4.00,green,other,yes,under the tree
"Sunday, October 13, 2013",Alder,Forest,90.00,>500,D,80.00,85.00,40.00,2.00,green,other,no,under the tree
"Saturday, October 12, 2013",Maple,City,90.00,>500,D,90.00,95.00,65.00,1.00,red,pinnate,no,under the tree
"Saturday, October 12, 2013",Oak,City,90.00,>500,D,85.00,62.00,9.00,1.00,yellow,pinnate,yes,on the tree
"Wednesday, October 16, 2013",Bird Cherry,Botanical Garden,90.00,300-500,C,56.00,28.00,17.00,0.50,green,rounded,yes,on the tree
"Thursday, October 10, 2013",Birch,Suburbs,91.00,>500,D,70.00,45.00,23.00,3.00,green,other,no,on the tree
"Saturday, October 12, 2013",Oak,City,92.00,> 500,D,155.00,135.00,50.00,5.00,brown,pinnate,no,under the tree
"Saturday, October 12, 2013",Maple,Forest Edge,94.00,>500,D,70.00,85.00,60.00,4.00,yellow,other,no,on the tree
"Tuesday, October 15, 2013",Oak,City,94.00,>500,D,185.00,112.00,7.00,2.00,yellow,other,yes,on the tree
"Friday, October 18, 2013",Birch,Forest,95.00,>500,D,120.00,35.00,20.00,2.00,brown,other,yes,under the tree
"Friday, October 18, 2013",Oak,Forest,95.00,>500,D,85.00,55.00,30.00,2.00,brown,other,yes,under the tree
"Saturday, October 12, 2013",Willow,Meadow Orchard,95.00,>500,D,90.00,25.00,5.00,2.00,green,lanceolate,no,on the tree
"Saturday, October 12, 2013",Birch,City,98.00,> 500,D,45.00,30.00,20.00,1.00,yellow,rounded,no,under the tree
"Friday, October 18, 2013",Walnut,Suburbs,98.00,D,D,340.00,270.00,100.00,9.00,green,pinnate,no,on the tree
"Friday, October 18, 2013",Walnut,Suburbs,98.00,D,D,460.00,420.00,180.00,18.00,green,pinnate,yes,on the tree
"Thursday, October 10, 2013",Maple,Suburbs,98.50,200-299,B,120.00,150.00,110.00,3.00,green,other,no,on the tree
"Wednesday, October 16, 2013",Maple,Suburbs,98.50,>500,C,88.00,126.00,104.00,6.00,green,digitate,no,on the tree
"Thursday, October 10, 2013",Maple,City,100.00,>500,D,120.00,134.00,145.00,1.00,brown,other,yes,under the tree
"Tuesday, October 22, 2013",Maple,City,100.00,>500,D,150.00,200.00,20.00,7.00,yellow,other,no,under the tree
"Sunday, October 20, 2013",Maple,Suburbs,100.00,300-500,C,110.00,150.00,120.00,0.50,brown,digitate,no,under the tree
"Tuesday, October 15, 2013",Birch,Forest Edge,100.00,>500,D,70.00,40.00,15.00,4.00,brown,rounded,yes,on the tree
"Wednesday, October 16, 2013",Oak,Forest Edge,100.00,300-500,C,80.00,55.00,30.00,1.00,brown,other,no,under the tree
"Friday, October 11, 2013",Chestnut,Suburbs,100.00,>500,D,30.00,10.00,50.00,1.00,brown,pinnate,yes,under the tree
"Saturday, October 12, 2013",Limetree,City,100.00,>500,D,85.00,87.00,44.00,1.00,brown,rounded,no,under the tree
"Tuesday, October 22, 2013",Poplar,City,100.00,>500,D,180.00,200.00,40.00,5.00,green,rounded,no,on the tree
"Tuesday, October 22, 2013",Plane,City,100.00,>500,D,180.00,180.00,30.00,7.00,brown,other,no,under the tree
"Friday, October 11, 2013",Horse Chestnut,City,100.00,>500,D,240.00,300.00,23.00,1.20,green,digitate,no,on the tree
"Friday, October 18, 2013",Poplar,Forest Edge,100.00,>500,D,50.00,55.00,12.00,1.60,brown,rounded,no,under the tree
"Monday, October 14, 2013",Oak,Suburbs,102.00,300 - 500,C,75.00,59.00,16.00,3.00,brown,pinnate,no,under the tree
"Tuesday, October 22, 2013",Chestnut,Suburbs,102.00,> 500,D,182.00,221.00,84.00,6.00,yellow,digitate,no,on the tree
"Saturday, October 12, 2013",Ash,Meadow Orchard,105.00,>500,D,150.00,125.00,150.00,15.00,green,pinnate,no,on the tree
"Saturday, October 12, 2013",Maple,Suburbs,109.00,>500,D,55.00,60.00,31.00,2.00,yellow,digitate,no,on the tree
"Monday, October 21, 2013",Beech,Suburbs,110.00,>500,D,94.00,58.00,13.00,0.60,yellow,rounded,yes,under the tree
"Monday, October 21, 2013",Beech,Suburbs,110.00,>500,D,94.00,57.00,15.00,0.50,yellow,rounded,yes,under the tree
"Monday, October 21, 2013",Beech,Suburbs,110.00,>500,D,92.00,58.00,15.00,0.60,yellow,rounded,yes,under the tree
"Monday, October 21, 2013",Beech,Suburbs,110.00,>500,D,98.00,53.00,14.00,0.40,yellow,rounded,yes,under the tree
"Wednesday, October 16, 2013",Horse Chestnut,Suburbs,110.00,>500,A,200.00,250.00,180.00,5.00,green,digitate,yes,on the tree
"Thursday, October 17, 2013",Walnut,Suburbs,110.00,300-500,C,150.00,75.00,29.00,3.20,green,rounded,no,on the tree
"Thursday, October 10, 2013",Willow,City,110.00,>500,D,71.00,23.00,10.00,0.20,yellow,other,yes,under the tree
"Sunday, October 13, 2013",Birch,Forest Edge,117.00,>500,D,60.00,64.00,49.00,2.50,yellow,rounded,no,under the tree
"Monday, October 21, 2013",Maple,Forest Edge,120.00,>500,D,60.00,80.00,85.00,0.70,yellow,digitate,no,on the tree
"Monday, October 21, 2013",Maple,Forest Edge,120.00,>500,D,60.00,85.00,86.00,0.70,yellow,digitate,yes,on the tree
"Tuesday, October 15, 2013",Maple,City,120.00,>500,D,130.00,167.00,180.00,5.00,brown,digitate,yes,under the tree
"Monday, October 21, 2013",Maple,Forest Edge,120.00,>500,D,67.00,89.00,90.00,0.80,yellow,digitate,yes,on the tree
"Thursday, October 10, 2013",Maple,City,120.00,>500,D,100.00,90.00,20.00,0.30,brown,other,yes,under the tree
"Monday, October 21, 2013",Maple,Forest Edge,120.00,>500,D,65.00,86.00,80.00,0.70,yellow,digitate,no,on the tree
"Friday, October 11, 2013",Maple,City,120.00,200-299,B,100.00,110.00,30.00,4.00,brown,digitate,no,under the tree
"Sunday, October 20, 2013",Oak,Suburbs,120.00,300-500,C,80.00,110.00,70.00,0.40,yellow,other,no,under the tree
"Wednesday, October 16, 2013",Alder,Botanical Garden,120.00,>500,D,87.00,54.00,22.00,1.50,green,rounded,yes,on the tree
"Wednesday, October 16, 2013",Birch,Botanical Garden,120.00,>500,D,95.00,66.00,35.00,0.50,yellow,other,no,under the tree
"Tuesday, October 22, 2013",Chestnut,City,120.00,>500,D,280.00,260.00,60.00,10.00,brown,digitate,no,under the tree
"Thursday, October 17, 2013",Limetree,Suburbs,120.00,>500,D,94.00,57.00,30.00,3.00,brown,other,yes,under the tree
"Sunday, October 13, 2013",Horse Chestnut,Forest,120.00,>500,D,210.00,190.00,80.00,4.00,brown,other,yes,on the tree
"Tuesday, October 22, 2013",Oak,Suburbs,121.00,> 500,D,130.00,92.00,49.00,4.00,brown,pinnate,no,under the tree
"Saturday, October 12, 2013",Oak,Forest Edge,122.00,>500,D,120.00,55.00,7.00,4.00,brown,lobed,yes,under the tree
"Friday, October 18, 2013",Limetree,Suburbs,123.00,>500,D,96.00,60.00,35.00,2.70,yellow,other,yes,under the tree
"Wednesday, October 16, 2013",Pine,Suburbs,123.20,>500,C,150.00,2.00,0.00,7.00,green,other,yes,on the tree
"Thursday, October 10, 2013",Pine,Suburbs,123.50,>500,D,150.00,1.00,0.00,3.00,green,other,no,on the tree
"Saturday, October 12, 2013",Maple,Forest Edge,125.00,300-500,C,182.00,134.00,123.00,5.00,brown,other,yes,under the tree
