Depth Magnetic Susceptibility  (cm),Magnetic Susceptibility (SI x 10^-5),Depth Density (cm),Density (g/cm^3)
94.6,1.50,236.5,
94.8,2.40,237,
95,5.20,237.5,1.112
95.2,5.20,238,1.2249
95.4,4.80,238.5,1.2061
95.6,4.30,239,1.1875
95.8,3.40,239.5,1.2106
96,2.80,240,1.2431
96.2,2.80,240.5,1.2458
96.4,3.40,241,1.2613
96.6,4.10,241.5,1.1968
96.8,5.00,242,1.171
97,4.90,242.5,1.2041
97.2,4.80,243,1.2488
97.4,4.40,243.5,
97.6,4.00,244,1.0446
97.8,3.60,244.5,1.0925
98,3.00,245,1.041
98.2,2.50,245.5,1.1126
98.4,2.30,246,1.1022
98.6,3.70,246.5,1.0442
98.8,5.20,247,1.0838
99,5.20,247.5,1.0993
99.2,5.20,248,1.0017
99.4,5.00,248.5,1.0739
99.6,4.80,249,
99.8,4.70,249.5,
100,4.80,250,1.0347
100.2,4.70,250.5,1.0997
100.4,4.40,251,1.149
100.6,4.40,251.5,1.1641
100.8,4.40,252,1.1466
101,4.50,252.5,1.1061
101.2,4.60,253,1.0576
101.4,4.60,253.5,1.0401
101.6,4.80,254,1.0393
101.8,4.80,254.5,1.0533
102,4.70,255,1.0467
102.2,4.90,255.5,1.0651
102.4,4.90,256,1.0538
102.6,4.90,256.5,1.1011
102.8,5.00,257,1.1563
103,4.80,257.5,1.159
103.2,4.80,258,1.1442
103.4,4.60,258.5,
103.6,4.60,259,
103.8,4.70,259.5,
104,4.90,260,
104.2,5.00,260.5,
104.4,5.00,261,1.1798
104.6,4.80,261.5,1.1576
104.8,4.60,262,1.2006
105,4.50,262.5,1.1456
105.2,4.60,263,1.0863
105.4,4.60,263.5,1.0881
105.6,4.30,264,1.0659
105.8,4.00,264.5,1.1277
106,4.10,265,1.1652
106.2,4.40,265.5,1.0255
106.4,4.60,266,1.036
106.6,4.80,266.5,1.1236
106.8,4.60,267,1.1104
107,4.70,267.5,
107.2,4.80,268,1.1005
107.4,4.80,268.5,1.1542
107.6,5.10,269,1.0771
107.8,5.00,269.5,1.0872
108,4.70,270,1.183
108.2,4.60,270.5,1.371
108.4,4.50,271,1.3932
108.6,4.40,271.5,1.3894
108.8,4.60,272,1.3735
109,4.90,272.5,1.385
109.2,4.90,273,1.3193
109.4,4.80,273.5,1.3168
109.6,5.10,274,1.3014
109.8,5.30,274.5,1.2818
110,5.40,275,1.2754
110.2,5.20,275.5,1.2774
110.4,5.20,276,1.2781
110.6,5.10,276.5,1.2876
110.8,5.00,277,1.2461
111,5.00,277.5,1.2413
111.2,5.00,278,1.2816
111.4,5.00,278.5,1.2569
111.6,4.80,279,1.3207
111.8,4.80,279.5,1.3066
112,4.80,280,1.3059
112.2,4.80,280.5,1.2905
112.4,4.80,281,1.2713
112.6,5.00,281.5,1.2767
112.8,5.00,282,1.2849
113,5.00,282.5,1.2996
113.2,6.00,283,1.2745
113.4,5.00,283.5,1.2053
113.6,5.10,284,1.2053
113.8,5.00,284.5,1.2155
114,5.10,285,1.2469
114.2,5.10,285.5,1.2424
114.4,5.00,286,1.2037
114.6,5.10,286.5,1.2078
114.8,5.30,287,1.1488
115,5.20,287.5,1.1568
115.2,5.10,288,1.1983
115.4,4.90,288.5,1.2479
115.6,4.80,289,1.2601
115.8,4.80,289.5,1.2786
116,4.80,290,1.2943
116.2,4.60,290.5,1.2539
