Depth Magnetic Susceptibility  (cm),Magnetic Susceptibility (SI x 10^-5),Depth Density (cm),Density (g/cm^3)
362.2,3.60,905.5,1.2933
362.4,3.60,906,1.3005
362.6,3.50,906.5,1.2833
362.8,3.40,907,1.2997
363,3.40,907.5,1.273
363.2,3.40,908,1.2778
363.4,3.60,908.5,1.2627
363.6,3.60,909,1.2493
363.8,3.60,909.5,1.2553
364,3.70,910,1.2448
364.2,3.90,910.5,1.2363
364.4,4.00,911,1.2404
364.6,4.40,911.5,1.2674
364.8,4.80,912,1.2557
365,5.20,912.5,1.247
365.2,5.20,913,1.264
365.4,4.80,913.5,1.2653
365.6,4.30,914,1.2986
365.8,3.90,914.5,1.2706
366,3.80,915,1.2653
366.2,4.00,915.5,1.2613
366.4,4.10,916,1.2584
366.6,4.20,916.5,1.2763
366.8,4.40,917,1.2628
367,4.20,917.5,1.2283
367.2,4.20,918,1.2698
367.4,4.20,918.5,1.3059
367.6,4.10,919,1.2814
367.8,4.10,919.5,1.2755
368,4.10,920,1.2635
368.2,3.60,920.5,1.2562
368.4,3.40,921,1.2777
368.6,3.00,921.5,1.278
368.8,2.90,922,1.283
369,3.60,922.5,1.3122
369.2,4.20,923,1.3063
369.4,4.50,923.5,1.2967
369.6,4.60,924,1.2514
369.8,4.40,924.5,1.276
370,4.00,925,1.2665
370.2,3.70,925.5,1.1845
370.4,3.50,926,1.2024
370.6,3.50,926.5,1.3045
370.8,3.40,927,1.2704
371,3.60,927.5,1.2298
371.2,3.30,928,1.212
371.4,3.10,928.5,1.2331
371.6,3.10,929,1.2515
371.8,3.30,929.5,1.2421
372,3.30,930,1.2379
372.2,3.40,930.5,1.2888
372.4,3.30,931,1.2521
372.6,3.10,931.5,1.2356
372.8,3.10,932,1.238
373,3.20,932.5,1.2405
373.2,3.20,933,1.2368
373.4,3.00,933.5,1.297
373.6,3.10,934,1.3273
373.8,3.00,934.5,1.3273
374,3.10,935,1.2558
374.2,3.10,935.5,1.2307
374.4,3.10,936,1.2775
374.6,3.20,936.5,1.2927
374.8,3.00,937,1.294
375,3.00,937.5,1.2667
375.2,3.00,938,1.311
375.4,2.90,938.5,1.3008
375.6,2.90,939,1.3428
375.8,2.80,939.5,1.3057
376,4.00,940,1.3156
376.2,4.20,940.5,1.3541
376.4,4.20,941,1.3429
376.6,4.20,941.5,1.2666
376.8,4.20,942,1.2529
377,4.10,942.5,1.2962
377.2,4.20,943,1.3023
377.4,4.10,943.5,1.3011
377.6,4.30,944,1.2899
377.8,4.70,944.5,1.2988
378,5.00,945,1.2837
378.2,4.80,945.5,1.3107
378.4,4.50,946,1.3533
378.6,4.00,946.5,1.3418
378.8,3.40,947,1.3578
379,2.40,947.5,1.3297
379.2,1.30,948,1.2876
379.4,0.70,948.5,1.1936
379.6,0.50,949,1.2008
379.8,0.80,949.5,1.3011
380,1.40,950,1.2756
380.2,2.20,950.5,1.3017
380.4,2.90,951,1.327
380.6,3.70,951.5,1.2557
380.8,4.20,952,1.3545
381,4.70,952.5,1.3186
381.2,5.00,953,1.3444
381.4,5.40,953.5,1.3622
381.6,5.60,954,1.3194
381.8,5.80,954.5,1.342
382,5.60,955,1.3901
382.2,5.30,955.5,1.3808
382.4,4.80,956,1.3942
382.6,4.10,956.5,1.4074
382.8,3.60,957,1.3747
383,3.30,957.5,1.3436
383.2,3.40,958,1.3244
383.4,3.80,958.5,1.2241
383.6,4.60,959,1.1273
383.8,5.00,959.5,1.166
384,5.20,960,1.3138
384.2,5.30,960.5,1.3363
384.4,5.30,961,1.3233
384.6,5.20,961.5,1.1355
384.8,5.20,962,1.1435
385,4.70,962.5,1.3383
385.2,4.60,963,1.3291
385.4,4.40,963.5,1.3014
385.6,4.30,964,1.3246
385.8,4.40,964.5,1.319
386,4.20,965,1.2956
386.2,4.20,965.5,1.3287
386.4,4.20,966,1.3059
386.6,4.10,966.5,1.314
386.8,4.20,967,1.3296
387,4.10,967.5,1.3396
387.2,4.10,968,1.2166
387.4,4.20,968.5,1.2753
387.6,4.20,969,1.3472
387.8,4.20,969.5,1.3156
388,4.10,970,1.3187
388.2,4.10,970.5,1.2839
388.4,4.20,971,1.3151
388.6,4.40,971.5,1.3488
388.8,4.40,972,1.2814
389,4.50,972.5,1.2917
389.2,4.50,973,1.3169
389.4,4.60,973.5,1.336
389.6,4.50,974,1.2603
389.8,4.40,974.5,1.2248
390,4.40,975,1.3406
390.2,4.30,975.5,1.3431
390.4,4.20,976,1.348
390.6,4.20,976.5,1.3699
390.8,4.20,977,1.3479
391,4.20,977.5,1.3042
391.2,4.20,978,1.2969
391.4,4.20,978.5,1.3055
391.6,3.90,979,1.3722
391.8,3.60,979.5,1.368
392,3.40,980,1.3314
392.2,3.40,980.5,1.3441
392.4,3.40,981,1.3534
392.6,3.30,981.5,1.3559
392.8,3.40,982,1.3183
393,3.50,982.5,1.3656
393.2,3.50,983,1.3119
393.4,3.60,983.5,1.3724
393.6,3.80,984,1.3383
393.8,4.00,984.5,1.3227
394,4.20,985,1.3365
394.2,4.10,985.5,1.3172
394.4,4.10,986,1.3351
394.6,4.10,986.5,1.3401
394.8,4.10,987,1.3415
395,4.10,987.5,1.3182
395.2,4.20,988,1.3163
395.4,4.20,988.5,1.3274
395.6,4.40,989,1.3584
395.8,4.70,989.5,1.4078
396,4.80,990,1.401
396.2,4.70,990.5,1.3626
396.4,4.80,991,1.3485
396.6,4.90,991.5,1.3697
396.8,5.00,992,1.3851
397,4.80,992.5,1.4028
397.2,4.50,993,1.441
397.4,4.00,993.5,1.4255
397.6,3.70,994,1.3951
397.8,3.50,994.5,1.3406
398,3.50,995,1.3562
398.2,3.60,995.5,1.3747
398.4,3.60,996,1.3624
398.6,3.80,996.5,1.3903
398.8,3.80,997,1.3844
399,4.00,997.5,1.377
399.2,4.30,998,1.3607
399.4,4.60,998.5,1.3392
399.6,4.70,999,1.3213
399.8,4.60,999.5,1.3602
400,4.60,1000,1.3611
400.2,4.60,1000.5,1.3559
400.4,4.60,1001,1.3856
400.6,4.70,1001.5,1.3923
400.8,4.70,1002,1.4118
401,4.60,1002.5,1.4317
401.2,4.30,1003,1.38
401.4,4.20,1003.5,1.3899
401.6,4.00,1004,1.3876
401.8,4.00,1004.5,1.3571
402,4.00,1005,1.3854
402.2,4.10,1005.5,1.3947
402.4,4.10,1006,1.3888
402.6,4.20,1006.5,1.3908
402.8,4.10,1007,1.337
403,4.00,1007.5,1.326
403.2,4.00,1008,1.3397
403.4,4.00,1008.5,1.3857
403.6,4.20,1009,1.3848
403.8,4.20,1009.5,1.3703
404,4.00,1010,1.383
404.2,3.80,1010.5,1.3788
404.4,3.50,1011,1.3384
404.6,3.30,1011.5,1.2383
404.8,3.20,1012,1.1563
405,3.50,1012.5,1.2793
405.2,3.50,1013,1.3759
405.4,3.60,1013.5,1.3795
405.6,3.80,1014,1.3804
405.8,3.90,1014.5,1.4381
406,4.00,1015,1.4452
406.2,4.20,1015.5,1.4077
406.4,4.40,1016,1.3637
406.6,4.50,1016.5,1.3808
406.8,4.60,1017,1.3969
407,4.60,1017.5,1.4532
407.2,4.40,1018,1.4721
407.4,4.30,1018.5,1.4388
407.6,4.00,1019,1.4105
407.8,3.60,1019.5,1.4041
408,3.70,1020,1.4031
408.2,3.80,1020.5,1.4345
408.4,3.80,1021,1.4581
408.6,4.00,1021.5,1.4411
408.8,3.90,1022,1.452
409,3.80,1022.5,1.4315
409.2,3.70,1023,1.5051
409.4,3.50,1023.5,1.3973
409.6,3.40,1024,
409.8,3.40,1024.5,
410,3.40,1025,1.4298
410.2,3.40,1025.5,1.5663
410.4,3.40,1026,1.6004
410.6,3.40,1026.5,1.6098
410.8,3.40,1027,1.6215
411,3.00,1027.5,1.6359
411.2,2.60,1028,1.6439
411.4,2.30,1028.5,1.6486
411.6,2.40,1029,1.6679
411.8,2.60,1029.5,1.6596
412,2.60,1030,1.6597
412.2,2.80,1030.5,1.659
412.4,2.80,1031,1.6739
412.6,2.90,1031.5,1.6652
412.8,3.20,1032,1.6436
413,3.70,1032.5,1.6024
413.2,4.40,1033,1.587
413.4,4.70,1033.5,1.5796
413.6,4.70,1034,1.5321
413.8,4.50,1034.5,1.5523
414,4.20,1035,1.5515
414.2,4.00,1035.5,1.528
414.4,3.80,1036,1.5567
414.6,3.80,1036.5,1.5315
414.8,4.00,1037,1.5304
415,4.00,1037.5,1.5165
415.2,4.00,1038,1.5292
415.4,3.90,1038.5,1.5431
415.6,3.70,1039,1.515
415.8,3.50,1039.5,1.5254
416,3.40,1040,1.541
416.2,3.60,1040.5,1.5162
416.4,4.10,1041,1.5136
416.6,4.40,1041.5,1.5145
416.8,4.50,1042,1.5092
417,4.60,1042.5,1.5265
417.2,4.50,1043,1.5383
417.4,4.40,1043.5,1.5256
417.6,4.20,1044,1.5168
417.8,4.10,1044.5,1.5193
418,3.90,1045,1.5236
418.2,3.70,1045.5,1.5356
418.4,3.60,1046,1.5424
418.6,3.60,1046.5,1.5524
418.8,3.60,1047,1.561
419,3.60,1047.5,1.5229
419.2,3.40,1048,1.5211
419.4,3.40,1048.5,1.4674
419.6,3.50,1049,1.4839
419.8,3.60,1049.5,1.5154
420,3.80,1050,1.4887
420.2,4.00,1050.5,1.4804
420.4,4.30,1051,1.5076
420.6,4.20,1051.5,1.4666
420.8,3.80,1052,1.4666
421,3.80,1052.5,1.4378
421.2,3.70,1053,1.4345
421.4,3.80,1053.5,1.4202
421.6,3.70,1054,1.4405
421.8,3.80,1054.5,1.4837
422,4.00,1055,1.4116
422.2,3.80,1055.5,1.4006
422.4,3.60,1056,1.3479
422.6,3.60,1056.5,1.332
422.8,3.60,1057,1.4254
423,3.80,1057.5,1.4194
423.2,3.20,1058,1.4285
423.4,3.50,1058.5,1.4805
423.6,3.80,1059,1.4563
423.8,3.50,1059.5,1.4369
424,3.30,1060,1.4625
424.2,3.50,1060.5,1.4304
424.4,3.70,1061,1.4387
424.6,3.50,1061.5,1.4927
424.8,3.40,1062,1.504
425,3.50,1062.5,1.4639
425.2,3.60,1063,1.3878
425.4,4.20,1063.5,1.3215
425.6,4.80,1064,
425.8,5.10,1064.5,1.1426
426,5.10,1065,1.4315
426.2,5.00,1065.5,1.4104
426.4,5.20,1066,1.339
426.6,5.50,1066.5,1.319
426.8,5.50,1067,1.4596
427,5.30,1067.5,1.4041
427.2,5.20,1068,1.4269
427.4,4.80,1068.5,1.4509
427.6,4.40,1069,1.5018
427.8,4.80,1069.5,1.5295
428,5.00,1070,1.5016
428.2,5.20,1070.5,1.4749
428.4,5.00,1071,1.4906
428.6,5.00,1071.5,1.4923
428.8,5.20,1072,1.5116
429,5.20,1072.5,1.4994
429.2,4.70,1073,1.4807
429.4,4.10,1073.5,1.5027
429.6,3.80,1074,1.5024
429.8,4.30,1074.5,1.52
430,4.80,1075,1.5325
430.2,5.00,1075.5,1.5067
430.4,5.20,1076,1.5338
430.6,5.00,1076.5,1.5195
430.8,4.70,1077,1.4988
431,4.50,1077.5,1.5023
431.2,4.60,1078,1.5381
431.4,4.30,1078.5,1.4819
431.6,4.20,1079,1.4616
431.8,4.40,1079.5,1.4885
432,4.90,1080,1.4974
432.2,5.10,1080.5,1.519
432.4,5.20,1081,1.5102
432.6,5.10,1081.5,1.5311
432.8,4.90,1082,1.3861
433,4.60,1082.5,
433.2,4.40,1083,1.305
433.4,4.00,1083.5,1.4663
433.6,3.90,1084,1.4792
433.8,4.10,1084.5,1.4721
434,4.00,1085,1.5009
434.2,3.80,1085.5,1.5564
434.4,4.00,1086,1.5461
434.6,4.40,1086.5,1.5589
434.8,4.80,1087,1.5778
435,4.80,1087.5,1.5958
435.2,4.30,1088,1.5836
435.4,4.00,1088.5,1.5978
435.6,3.80,1089,1.5863
435.8,3.80,1089.5,1.5848
436,3.80,1090,1.5734
436.2,3.60,1090.5,1.5409
436.4,3.60,1091,1.5472
436.6,3.40,1091.5,1.5153
436.8,3.40,1092,1.5126
437,3.30,1092.5,1.5514
437.2,3.20,1093,1.5934
437.4,3.20,1093.5,1.5632
437.6,3.50,1094,1.5297
437.8,3.90,1094.5,1.5289
438,4.00,1095,1.5158
438.2,4.10,1095.5,1.4908
438.4,4.10,1096,1.5693
438.6,4.10,1096.5,1.5491
438.8,4.10,1097,1.5385
439,4.00,1097.5,1.5448
439.2,4.10,1098,1.5263
439.4,4.20,1098.5,1.5523
439.6,4.20,1099,1.5796
439.8,4.20,1099.5,1.5859
440,4.00,1100,1.5542
440.2,3.90,1100.5,1.5344
440.4,3.60,1101,1.5584
440.6,3.40,1101.5,1.5882
440.8,3.40,1102,1.563
441,3.40,1102.5,1.5722
441.2,3.40,1103,1.525
441.4,3.70,1103.5,1.5092
441.6,4.10,1104,1.5537
441.8,4.30,1104.5,1.3923
442,4.10,1105,1.3377
442.2,4.00,1105.5,1.5081
442.4,3.80,1106,1.5742
442.6,3.80,1106.5,1.6041
442.8,3.90,1107,1.5653
443,4.00,1107.5,1.5832
443.2,4.00,1108,1.5906
443.4,3.70,1108.5,1.584
443.6,3.70,1109,1.5886
443.8,3.80,1109.5,1.6041
444,3.80,1110,1.6043
444.2,3.50,1110.5,1.6306
444.4,3.40,1111,1.6338
444.6,3.30,1111.5,1.6196
444.8,3.40,1112,1.5901
445,3.70,1112.5,1.6042
445.2,3.80,1113,1.6279
445.4,3.80,1113.5,1.6348
445.6,3.90,1114,1.5925
445.8,4.20,1114.5,1.5643
446,4.50,1115,1.5574
446.2,4.60,1115.5,1.5622
446.4,4.60,1116,1.5652
446.6,4.50,1116.5,1.568
446.8,4.20,1117,1.5726
447,4.00,1117.5,1.5679
447.2,3.90,1118,1.5596
447.4,3.90,1118.5,1.5351
447.6,3.90,1119,1.5157
447.8,4.00,1119.5,1.5253
448,3.80,1120,1.5249
448.2,3.70,1120.5,1.5168
448.4,3.70,1121,1.5299
448.6,3.70,1121.5,1.5607
448.8,3.70,1122,1.5873
449,3.80,1122.5,1.5531
449.2,4.00,1123,1.5384
449.4,3.90,1123.5,1.5444
449.6,3.80,1124,1.546
449.8,3.60,1124.5,1.5454
450,4.00,1125,1.5314
450.2,4.20,1125.5,1.5225
450.4,3.80,1126,1.529
450.6,3.60,1126.5,1.5211
450.8,3.60,1127,1.5211
451,3.70,1127.5,1.5417
451.2,4.10,1128,1.5315
451.4,4.50,1128.5,1.5425
451.6,3.20,1129,1.5572
451.8,5.20,1129.5,1.5302
452,5.20,1130,1.5135
452.2,5.20,1130.5,1.5002
452.4,5.00,1131,1.513
452.6,5.00,1131.5,1.5154
452.8,,1132,1.4818
453,5.40,1132.5,1.4867
453.2,5.40,1133,1.5533
453.4,5.20,1133.5,1.5237
453.6,5.00,1134,1.5362
453.8,4.60,1134.5,1.5377
454,4.40,1135,1.5545
454.2,4.40,1135.5,1.5003
454.4,4.40,1136,1.4754
454.6,4.50,1136.5,1.5033
454.8,4.40,1137,1.5823
455,4.40,1137.5,1.5794
455.2,4.40,1138,1.5462
455.4,4.60,1138.5,1.556
455.6,3.20,1139,1.5549
455.8,4.70,1139.5,1.5549
456,4.70,1140,1.5744
456.2,4.30,1140.5,1.5466
456.4,3.90,1141,1.5212
456.6,3.80,1141.5,1.5362
456.8,3.80,1142,1.5566
457,4.00,1142.5,1.55
457.2,4.10,1143,1.5815
457.4,4.00,1143.5,1.5815
457.6,4.20,1144,1.5818
457.8,,1144.5,1.5931
458,,1145,1.5949
458.2,,1145.5,1.5891
458.4,6.50,1146,1.6039
458.6,4.50,1146.5,1.6181
458.8,4.40,1147,1.6034
459,4.40,1147.5,1.5879
459.2,4.40,1148,1.5839
459.4,4.50,1148.5,1.5968
459.6,4.50,1149,1.6394
459.8,4.50,1149.5,1.6455
460,4.70,1150,1.6823
460.2,4.60,1150.5,1.6843
460.4,4.60,1151,1.6543
460.6,4.70,1151.5,1.6854
460.8,4.60,1152,1.7146
461,4.80,1152.5,1.702
461.2,5.00,1153,1.6856
461.4,5.40,1153.5,1.682
461.6,5.30,1154,1.6792
461.8,5.20,1154.5,1.6648
462,5.10,1155,1.6758
462.2,5.20,1155.5,1.7066
462.4,5.30,1156,1.7538
462.6,5.60,1156.5,1.7328
462.8,5.60,1157,1.695
463,5.40,1157.5,1.7295
463.2,5.00,1158,1.7362
463.4,4.60,1158.5,1.7382
463.6,4.30,1159,1.7226
463.8,4.10,1159.5,1.6958
464,3.70,1160,1.7005
464.2,3.60,1160.5,1.6957
464.4,3.60,1161,1.7275
464.6,4.00,1161.5,1.6978
464.8,4.20,1162,1.7122
465,,1162.5,1.7132
465.2,4.20,1163,1.759
465.4,4.20,1163.5,1.7676
465.6,4.20,1164,1.7573
465.8,4.10,1164.5,1.7538
466,3.80,1165,1.7843
466.2,3.80,1165.5,1.8149
466.4,3.80,1166,1.8161
466.6,3.80,1166.5,1.8192
466.8,4.30,1167,1.8425
467,3.70,1167.5,1.8433
467.2,3.60,1168,1.8597
467.4,3.90,1168.5,1.8708
467.6,4.40,1169,1.8873
467.8,4.20,1169.5,1.882
468,4.10,1170,1.9108
468.2,4.00,1170.5,1.8943
468.4,3.80,1171,1.9097
468.6,3.70,1171.5,1.9005
468.8,3.40,1172,1.8918
469,3.20,1172.5,1.8918
469.2,3.60,1173,1.7938
469.4,4.10,1173.5,1.7947
469.6,4.30,1174,1.8387
469.8,4.40,1174.5,1.7939
470,4.40,1175,1.7835
470.2,4.30,1175.5,1.7828
470.4,4.40,1176,1.7967
470.6,4.20,1176.5,1.7955
470.8,4.00,1177,1.811
471,3.60,1177.5,1.8266
471.2,3.30,1178,1.8301
471.4,2.90,1178.5,1.8207
471.6,2.70,1179,1.8126
471.8,2.80,1179.5,1.8147
472,3.00,1180,1.788
472.2,3.30,1180.5,1.7976
472.4,3.60,1181,1.7564
472.6,3.80,1181.5,1.6775
472.8,3.90,1182,1.6987
473,3.90,1182.5,1.783
473.2,3.70,1183,1.8187
473.4,3.60,1183.5,1.8121
473.6,3.60,1184,1.7883
473.8,3.80,1184.5,1.7693
474,3.90,1185,1.7573
474.2,4.10,1185.5,1.7252
474.4,4.30,1186,1.6982
474.6,4.50,1186.5,1.739
474.8,4.50,1187,1.758
475,4.50,1187.5,1.7635
475.2,4.40,1188,1.773
475.4,4.30,1188.5,1.7872
475.6,4.00,1189,1.81
475.8,3.70,1189.5,1.8088
476,3.50,1190,1.7895
476.2,3.10,1190.5,1.797
476.4,3.10,1191,1.793
476.6,3.30,1191.5,1.7713
476.8,3.40,1192,1.7764
477,3.60,1192.5,1.809
477.2,3.50,1193,1.7808
477.4,3.40,1193.5,1.7807
477.6,3.40,1194,1.811
477.8,3.60,1194.5,1.8024
478,3.80,1195,1.7973
478.2,3.70,1195.5,1.7947
478.4,3.60,1196,1.7736
478.6,3.50,1196.5,1.7668
478.8,3.50,1197,1.7624
479,3.40,1197.5,1.7454
479.2,3.60,1198,1.8073
479.4,3.50,1198.5,1.8183
479.6,3.40,1199,1.7806
479.8,3.80,1199.5,1.7684
480,4.00,1200,1.7579
480.2,3.80,1200.5,1.7742
480.4,3.70,1201,1.759
480.6,3.50,1201.5,1.7367
480.8,3.30,1202,1.7587
481,3.30,1202.5,1.7848
481.2,3.40,1203,1.8115
481.4,3.40,1203.5,1.8174
481.6,3.20,1204,1.7821
481.8,3.20,1204.5,1.7628
482,3.40,1205,1.7935
482.2,3.40,1205.5,1.7988
482.4,3.20,1206,1.8042
482.6,3.00,1206.5,1.7973
482.8,3.00,1207,1.7578
483,2.80,1207.5,1.7876
483.2,2.60,1208,1.7793
483.4,2.50,1208.5,1.7874
483.6,2.50,1209,1.7958
483.8,2.50,1209.5,1.7955
484,2.50,1210,1.7813
484.2,2.60,1210.5,1.7819
484.4,2.80,1211,1.7789
484.6,2.80,1211.5,1.7807
484.8,3.20,1212,1.8005
485,3.20,1212.5,1.7952
485.2,3.50,1213,1.805
485.4,3.60,1213.5,1.81
485.6,3.70,1214,1.7887
485.8,3.80,1214.5,1.7967
486,3.80,1215,1.7803
486.2,3.70,1215.5,1.7707
486.4,3.70,1216,1.7712
486.6,2.20,1216.5,1.7926
486.8,3.50,1217,1.7998
487,2.20,1217.5,1.797
487.2,3.20,1218,1.8213
487.4,3.20,1218.5,1.8067
487.6,3.30,1219,1.8204
487.8,3.40,1219.5,1.8093
488,3.20,1220,1.7947
488.2,3.30,1220.5,1.7956
488.4,3.30,1221,1.7821
488.6,3.60,1221.5,1.7914
488.8,4.00,1222,1.8168
489,4.20,1222.5,1.8207
489.2,4.30,1223,1.8114
489.4,4.20,1223.5,1.8171
489.6,4.10,1224,1.8055
489.8,4.50,1224.5,1.791
490,3.80,1225,1.7868
490.2,3.60,1225.5,1.7965
490.4,3.50,1226,1.8183
490.6,3.50,1226.5,1.795
490.8,3.40,1227,1.7962
491,3.30,1227.5,1.8236
491.2,3.30,1228,1.8202
491.4,3.20,1228.5,1.7954
491.6,3.10,1229,1.7953
491.8,3.20,1229.5,1.8121
492,3.20,1230,1.817
492.2,3.00,1230.5,1.8018
492.4,3.00,1231,1.7947
492.6,3.00,1231.5,1.7674
492.8,3.00,1232,1.791
493,3.00,1232.5,1.8207
493.2,3.00,1233,1.8057
493.4,3.00,1233.5,1.8134
493.6,3.10,1234,1.8444
493.8,2.30,1234.5,1.8959
494,2.30,1235,1.8781
494.2,2.30,1235.5,1.8143
494.4,2.30,1236,1.8173
494.6,2.50,1236.5,1.808
494.8,2.80,1237,1.7953
495,3.00,1237.5,1.7889
495.2,3.10,1238,1.7881
495.4,2.90,1238.5,1.7785
495.6,2.60,1239,1.7981
495.8,2.30,1239.5,1.7995
496,2.30,1240,1.7806
496.2,2.50,1240.5,1.7459
496.4,2.80,1241,1.7764
496.6,2.90,1241.5,1.7909
496.8,3.10,1242,1.7985
497,3.20,1242.5,1.7916
497.2,3.20,1243,1.7576
497.4,3.30,1243.5,
497.6,3.40,1244,
497.8,3.40,1244.5,1.7629
498,3.50,1245,1.7605
498.2,3.30,1245.5,1.7523
498.4,2.90,1246,1.7709
498.6,2.80,1246.5,1.7538
498.8,2.80,1247,1.7758
499,3.00,1247.5,1.7813
499.2,3.00,1248,1.8017
499.4,3.00,1248.5,1.828
499.6,3.00,1249,1.8472
499.8,3.20,1249.5,1.8438
500,3.30,1250,1.7996
500.2,3.30,1250.5,1.7672
500.4,3.40,1251,1.7649
500.6,3.80,1251.5,1.7709
500.8,4.70,1252,1.7543
501,5.00,1252.5,1.7729
501.2,5.20,1253,1.7667
501.4,5.20,1253.5,1.774
501.6,5.20,1254,1.765
501.8,4.60,1254.5,1.7657
502,4.10,1255,1.7937
502.2,3.80,1255.5,1.8046
502.4,3.90,1256,1.7963
502.6,4.40,1256.5,1.7777
502.8,4.90,1257,1.7641
503,5.00,1257.5,1.7442
503.2,4.80,1258,1.7521
503.4,4.10,1258.5,1.745
503.6,3.40,1259,1.7537
503.8,3.60,1259.5,1.7675
504,4.10,1260,1.749
504.2,4.40,1260.5,1.7591
504.4,4.20,1261,1.753
504.6,4.20,1261.5,1.7686
504.8,4.20,1262,1.7513
505,4.30,1262.5,1.7385
505.2,4.30,1263,1.7477
505.4,4.30,1263.5,1.7697
505.6,4.40,1264,1.7677
505.8,4.50,1264.5,1.7732
506,4.20,1265,1.7922
506.2,4.00,1265.5,1.7841
506.4,3.60,1266,1.7716
506.6,3.60,1266.5,1.7923
506.8,3.80,1267,1.7834
507,4.10,1267.5,1.7745
507.2,4.30,1268,1.8078
507.4,4.80,1268.5,1.8077
507.6,5.20,1269,1.7964
507.8,5.50,1269.5,1.7929
508,5.40,1270,1.7974
508.2,5.00,1270.5,1.7694
508.4,4.20,1271,1.7597
508.6,3.10,1271.5,1.8006
508.8,2.10,1272,1.7726
509,1.70,1272.5,1.7713
509.2,2.10,1273,1.7884
509.4,2.80,1273.5,1.7982
509.6,3.60,1274,1.78
509.8,4.20,1274.5,1.7694
510,4.60,1275,1.7826
510.2,4.60,1275.5,1.8054
510.4,4.40,1276,1.8041
510.6,4.10,1276.5,1.7694
510.8,4.20,1277,1.7504
511,4.90,1277.5,1.7623
511.2,5.40,1278,1.8132
511.4,5.40,1278.5,1.8342
511.6,5.40,1279,1.8374
511.8,5.50,1279.5,1.8487
512,5.40,1280,1.8687
512.2,5.30,1280.5,1.8731
512.4,5.30,1281,1.8582
512.6,5.10,1281.5,1.8435
512.8,5.00,1282,1.8403
513,4.90,1282.5,1.8461
513.2,4.70,1283,1.8216
513.4,4.60,1283.5,1.8235
513.6,4.20,1284,1.8321
513.8,3.80,1284.5,1.85
514,3.60,1285,1.8286
514.2,3.80,1285.5,1.8162
514.4,3.80,1286,1.8255
514.6,4.00,1286.5,1.8385
514.8,4.20,1287,1.8395
515,4.80,1287.5,1.8435
515.2,5.20,1288,1.8309
515.4,5.20,1288.5,1.8308
515.6,5.20,1289,1.8306
515.8,5.20,1289.5,1.8324
516,5.00,1290,1.8586
516.2,5.00,1290.5,1.8696
516.4,4.60,1291,1.8383
516.6,4.00,1291.5,1.8601
516.8,4.10,1292,1.837
517,4.80,1292.5,1.8461
517.2,5.80,1293,1.8193
517.4,6.40,1293.5,1.7857
517.6,6.80,1294,1.776
517.8,6.40,1294.5,1.8072
518,5.20,1295,1.8316
518.2,4.30,1295.5,1.8534
518.4,4.40,1296,1.8347
518.6,5.00,1296.5,1.8518
518.8,5.00,1297,1.8741
519,4.60,1297.5,1.8666
519.2,4.20,1298,1.8669
519.4,4.40,1298.5,1.8614
519.6,4.60,1299,1.8588
519.8,4.80,1299.5,1.859
520,4.60,1300,1.8446
520.2,4.10,1300.5,1.8208
520.4,4.10,1301,1.8228
520.6,4.40,1301.5,1.8549
520.8,4.70,1302,1.8642
521,5.10,1302.5,1.8447
521.2,5.60,1303,1.8539
521.4,5.90,1303.5,1.8523
521.6,6.10,1304,1.8634
521.8,6.20,1304.5,1.8629
522,6.30,1305,1.8561
522.2,6.20,1305.5,1.8323
522.4,5.80,1306,1.8521
522.6,5.40,1306.5,1.8456
522.8,5.00,1307,1.8308
523,4.80,1307.5,1.8191
523.2,4.80,1308,1.8307
523.4,4.80,1308.5,1.8473
523.6,4.80,1309,1.8385
523.8,4.90,1309.5,1.8415
524,5.20,1310,1.8478
524.2,5.20,1310.5,1.8344
524.4,4.80,1311,1.843
524.6,4.40,1311.5,1.8349
524.8,4.40,1312,1.8396
525,4.60,1312.5,1.8514
525.2,4.50,1313,1.8782
525.4,4.50,1313.5,1.8596
525.6,4.40,1314,1.8319
525.8,4.40,1314.5,1.8213
526,4.20,1315,1.8255
526.2,3.70,1315.5,1.8176
526.4,3.40,1316,1.8353
526.6,3.90,1316.5,1.8267
526.8,3.80,1317,1.8273
527,3.90,1317.5,1.8342
527.2,4.20,1318,1.8177
527.4,4.10,1318.5,1.835
527.6,4.20,1319,1.8133
527.8,4.20,1319.5,1.8406
528,3.80,1320,1.8548
528.2,3.60,1320.5,1.8301
528.4,3.40,1321,1.845
528.6,3.60,1321.5,1.8243
528.8,3.90,1322,1.8442
529,4.40,1322.5,1.8501
529.2,4.50,1323,1.8492
529.4,3.80,1323.5,1.8264
529.6,3.20,1324,1.8219
529.8,3.20,1324.5,1.8415
530,3.30,1325,1.8274
530.2,3.20,1325.5,1.8106
530.4,3.10,1326,1.8365
530.6,3.10,1326.5,1.832
530.8,3.00,1327,1.8472
531,3.00,1327.5,1.8614
531.2,3.00,1328,1.8479
531.4,3.10,1328.5,1.8544
531.6,3.10,1329,1.8662
531.8,3.10,1329.5,1.8474
532,3.10,1330,1.8448
532.2,3.20,1330.5,1.8483
532.4,3.20,1331,1.8319
532.6,3.10,1331.5,1.8343
532.8,3.20,1332,1.8437
533,3.20,1332.5,1.8279
533.2,3.10,1333,1.819
533.4,3.00,1333.5,1.8488
533.6,3.10,1334,1.842
