# These data are freely available under the Creative Commons Attribution 4.0 International Licence (CC BY 4.0)					
# when using the data please cite as: 					
# Spooner, Cameron; Scheck-Wenderoth, Magdalena; Götze, Hans-Jürgen; Ebbing, Jörg; Hetényi, György (2019): 3D Gravity Constrained Model of Density Distribution Across the Alpine Lithosphere. GFZ Data Services. http://doi.org/10.5880/GFZ.4.5.2019.004
X COORD (UTM Zone 32N)	Y COORD (UTM Zone 32N)	TOP (m.a.s.l)	THICKNESS (m)	DENSITY (Kg/m3)
426635	5038615	-12683.7475	8304.710938	3100
426635	5058615	-15581.73853	8048.336914	3100
426635	5078615	-19808.60937	9793.021484	3100
426635	5098615	-18627.63483	17597.97266	3100
426635	5118615	-18053.39563	21610.70117	2800
426635	5138615	-17423.14942	24170.73242	2800
426635	5158615	-18598.98243	23151.74805	2800
426635	5178615	-22300.86658	15934.70117	2950
426635	5198615	-24669.73657	9626.464844	2950
426635	5218615	-22627.13458	8728.285156	2950
426635	5238615	-21000.14541	7685.650391	2800
426635	5258615	-19232.89179	7741.435547	2800
426635	5278615	-17205.50647	8722.103516	2800
426635	5298615	-15864.15363	9547.043945	2800
426635	5318615	-15290.33279	9910.382813	2800
426635	5338615	-14361.13791	10670.91699	2800
426635	5358615	-14697.23852	10283.79883	2800
426635	5378615	-15176.43118	10178.18066	2800
426635	5398615	-16583.64488	9455.160156	2800
426635	5418615	-18538.2198	8140.630859	2920
426635	5438615	-18304.50343	8993.292969	2920
426635	5458615	-16733.99722	11143.42188	2920
426635	5478615	-16052.07473	12238.85449	2920
426635	5498615	-16079.86506	12376.08789	2920
446635	4898615	-19013.2917	11711.14063	2750
446635	4918615	-19557.25147	15500.93945	2750
446635	4938615	-22064.89709	12389.20898	2750
446635	4958615	-24123.02217	10521.05859	2750
446635	4978615	-26651.96237	8319.056641	2750
446635	4998615	-22731.36282	10123.02344	2750
446635	5018615	-15724.94411	11776.42383	2750
446635	5038615	-15009.72287	7995.291016	3100
446635	5058615	-14486.00445	6455.981445	3100
446635	5078615	-15514.44214	6673.258789	3100
446635	5098615	-16558.75958	10942.2793	3100
446635	5118615	-17160.05927	18004.3457	2800
446635	5138615	-16407.64185	26857.37305	2800
446635	5158615	-18500.1836	27961.82617	2950
446635	5178615	-22126.07788	18739.8418	2950
446635	5198615	-24602.23724	10962.2207	2950
446635	5218615	-22911.33627	9963.431641	2950
446635	5238615	-21801.83661	8260.375	2950
446635	5258615	-20930.69336	7068.523438	2800
446635	5278615	-18742.55549	7776.353516	2800
446635	5298615	-17021.45112	8641.892578	2800
446635	5318615	-16569.50451	8741.673828	2800
446635	5338615	-15956.96949	9150.75	2800
446635	5358615	-15650.82527	9399.551758	2800
446635	5378615	-15116.28995	10221.12012	2800
446635	5398615	-15876.90291	10078.44922	2800
446635	5418615	-19561.98827	6984.015625	2920
446635	5438615	-20045.15108	6963.791016	2920
446635	5458615	-17387.51996	9945.517578	2920
446635	5478615	-16388.11438	11129.01367	2920
446635	5498615	-16642.74093	10912.80469	2920
466635	4898615	-11800.99243	14878.37695	2750
466635	4918615	-23768.68712	8000.515625	2750
466635	4938615	-20898.93921	13202.68945	2750
466635	4958615	-27496.70898	9973.228516	2750
466635	4978615	-25828.11584	14684.10547	2750
466635	4998615	-23595.40272	17293.16602	2950
466635	5018615	-20798.61379	16347.88867	2950
466635	5038615	-18774.41774	13030.16992	2950
466635	5058615	-16265.76447	10006.80762	2950
466635	5078615	-14572.26932	6895.071289	2950
466635	5098615	-15013.61951	6829.743164	2950
466635	5118615	-15408.16656	13845.02051	2950
466635	5138615	-15782.94397	24524.66211	2950
466635	5158615	-17996.14551	28695.13281	2950
466635	5178615	-21814.70826	21270.76953	2950
466635	5198615	-24516.33015	12985.11328	2950
466635	5218615	-22932.56842	11165.38672	2950
466635	5238615	-22265.50342	8862.626953	2950
466635	5258615	-21228.98898	7667.994141	2800
466635	5278615	-18247.21588	8945.541016	2800
466635	5298615	-16881.397	9116.503906	2800
466635	5318615	-17638.17297	7744.916016	2800
466635	5338615	-17380.74188	7745.322266	2800
466635	5358615	-16785.31055	8368.037109	2800
466635	5378615	-16124.77417	9255.578125	2800
466635	5398615	-17607.75846	8179.007813	2800
466635	5418615	-21630.96224	4589.306641	2920
466635	5438615	-21090.48294	5421.960938	2920
466635	5458615	-18117.54052	8439.005859	2920
466635	5478615	-16571.74495	9886.029297	2920
466635	5498615	-16180.06193	10154.05566	2920
486635	4898615	-13548.68824	11224.72266	2750
486635	4918615	-16122.45519	13419.67871	2950
486635	4938615	-16462.1626	15727.79883	2950
486635	4958615	-18379.98551	18931.54297	2950
486635	4978615	-19069.29683	23726.41211	2950
486635	4998615	-19576.08816	24891.51172	2950
486635	5018615	-19077.88369	23022.16211	2950
486635	5038615	-16813.45151	21272.91797	2950
486635	5058615	-16982.5603	16724.48438	2950
486635	5078615	-15121.65643	10695.22754	2950
486635	5098615	-14509.96814	7676.830078	2950
486635	5118615	-14691.79609	13270.27148	2950
486635	5138615	-16791.42481	21161.94727	2950
486635	5158615	-19677.23682	25133.45898	2950
486635	5178615	-24207.42614	20353.86914	2950
486635	5198615	-27179.81445	12855.21875	2950
486635	5218615	-23951.15844	11467.02734	2950
486635	5238615	-22757.31262	9525.333984	2950
486635	5258615	-22034.99237	7893.484375	2800
486635	5278615	-20034.17484	7954.132813	2800
486635	5298615	-18739.91843	7836.853516	2800
486635	5318615	-19688.25312	6078.525391	2800
486635	5338615	-19986.12018	5448.869141	2800
486635	5358615	-18086.57904	7421.40625	2800
486635	5378615	-18535.88626	7149.373047	2800
486635	5398615	-20512.85478	5404.783203	2800
486635	5418615	-22640.54426	3532.03125	2800
486635	5438615	-21785.8249	4542.585938	2920
