# These data are freely available under the Creative Commons Attribution 4.0 International Licence (CC BY 4.0)					
# when using the data please cite as: 					
# Spooner, Cameron; Scheck-Wenderoth, Magdalena; Götze, Hans-Jürgen; Ebbing, Jörg; Hetényi, György (2019): 3D Gravity Constrained Model of Density Distribution Across the Alpine Lithosphere. GFZ Data Services. http://doi.org/10.5880/GFZ.4.5.2019.004
X COORD (UTM Zone 32N)	Y COORD (UTM Zone 32N)	TOP (m.a.s.l)	THICKNESS (m)	DENSITY (Kg/m3)
446635	4898615	403.961365	251.078003	2450
446635	4918615	489.860077	63.063629	2450
446635	4938615	359.943878	46.295563	2450
446635	4958615	182.446701	1175.881592	2450
446635	4978615	169.772369	637.379272	2450
446635	4998615	173.055634	5609.76709	2450
446635	5018615	128.764389	5657.057129	2450
446635	5038615	174.420197	5538.270508	2450
446635	5058615	419.296387	10.100006	2450
446635	5078615	958.782775	256.036987	2450
446635	5098615	828.388855	38.999695	2450
446635	5118615	1301.059326	38.183105	2450
446635	5138615	2367.078857	238.054199	2450
446635	5158615	2316.552002	10.099854	2450
446635	5178615	1637.322876	10.099976	2450
446635	5198615	866.276855	10.100037	2450
446635	5218615	496.63443	3680.300049	2450
446635	5238615	539.114318	1774.943359	2450
446635	5258615	442.441406	102.268188	2450
446635	5278615	493.153961	10.100006	2450
446635	5298615	872.009887	126.275879	2450
446635	5318615	971.196594	165.073059	2450
446635	5338615	735.813049	74.571472	2450
446635	5358615	645.298156	194.125671	2450
446635	5378615	777.849365	118.047913	2450
446635	5398615	350.506683	207.196945	2450
446635	5418615	105.786873	3036.168701	2450
446635	5438615	97.366989	3107.85083	2450
446635	5458615	102.344292	2396.715576	2450
446635	5478615	119.704476	1520.093384	2450
446635	5498615	131.903351	746.508057	2450
466635	4898615	-627.349976	10.100037	2450
466635	4918615	524.991638	413.257996	2450
466635	4938615	380.916412	593.421631	2450
466635	4958615	125.538826	2552.452393	2450
466635	4978615	107.181771	2246.969482	2450
466635	4998615	89.429802	7238.380859	2470
466635	5018615	109.863747	6733.307129	2470
466635	5038615	163.478012	3920.748779	2450
466635	5058615	277.823578	10.100006	2450
466635	5078615	281.500122	387.296295	2450
466635	5098615	1042.140625	612.885864	2450
466635	5118615	1486.739257	227.835449	2450
466635	5138615	1708.535034	10.099976	2450
466635	5158615	2164.324463	47.880127	2450
466635	5178615	1895.096679	58.430908	2450
466635	5198615	947.382202	10.100037	2450
466635	5218615	756.334167	1922.11084	2450
466635	5238615	515.77124	3513.725342	2450
466635	5258615	465.384369	435.647766	2450
466635	5278615	468.740418	40.906494	2450
466635	5298615	719.16455	288.678467	2450
466635	5318615	707.618652	102.112488	2450
466635	5338615	636.553222	14.97467	2450
466635	5358615	584.80249	50.14917	2450
466635	5378615	630.014038	10.100037	2450
466635	5398615	706.67926	10.100037	2450
466635	5418615	257.809509	10.099991	2450
466635	5438615	133.37265	1920.109009	2450
466635	5458615	93.418465	3250.787598	2450
466635	5478615	82.178879	2881.297852	2450
466635	5498615	74.339203	3638.19751	2450
486635	4898615	-992.751587	111.615967	2450
486635	4918615	33.190232	325.06781	2450
486635	4938615	560.680236	537.669922	2450
486635	4958615	176.573578	701.760254	2450
486635	4978615	72.434128	6838.616699	2470
486635	4998615	81.61155	6839.620117	2470
486635	5018615	93.144631	6880.276367	2470
486635	5038615	138.926911	7489.560547	2470
486635	5058615	264.713623	8048.112305	2450
486635	5078615	446.931458	3251.239014	2450
486635	5098615	625.493469	10.100037	2450
486635	5118615	955.198913	10.100037	2450
486635	5138615	1588.584716	181.963623	2450
486635	5158615	2141.200439	351.403564	2450
486635	5178615	2090.347412	168.206177	2450
486635	5198615	1754.854736	136.78833	2450
486635	5218615	973.687622	304.600952	2450
