Distance (m),26-Aug-00,05-Aug-02,08-Sep-12,01-Mar-14,01-May-16
858.57,368.34,371.68,366.31,292.08,218.02
860.76,367.32,370.7,366.93,291.91,217.39
862.95,366.23,369.7,367.39,292.03,216.9
865.14,365.02,368.67,367.67,292.42,216.22
867.33,363.8,367.59,367.82,292.93,215.48
869.52,362.75,366.47,367.76,293.4,214.68
871.71,361.88,365.91,367.76,293.49,214.11
873.9,361.02,364.73,367.74,293.74,213.61
876.09,360.04,363.51,367.68,293.87,212.73
878.28,359.01,362.27,367.58,293.84,211.82
880.47,358.07,361.02,367.58,293.61,210.99
882.66,357.21,359.77,367.41,293.17,209.78
884.85,356.31,358.54,367.24,292.56,208.66
887.04,355.28,357.38,367.1,291.87,207.49
889.23,354.19,356.25,367,291.21,206.86
891.42,353.66,355.17,366.87,290.63,205.44
893.61,352.63,354.15,366.62,290.15,204.45
895.8,351.55,353.17,366.13,289.77,203.16
897.99,350.41,352.23,365.42,289.48,202.3
900.18,349.34,351.29,364.59,289.29,202.15
902.37,348.41,350.35,363.78,289.18,201.87
904.56,347.6,349.4,363.05,289.09,202.14
906.75,346.79,348.44,362.22,288.96,201.87
908.94,345.86,347.47,361.49,288.61,201.24
911.13,344.79,346.5,360.71,288.21,201.37
913.32,343.69,345.51,359.86,287.67,200.71
915.51,342.68,344.51,358.93,287.04,200.28
917.7,341.7,343.5,357.92,286.35,199.54
919.89,340.65,342.48,356.77,285.63,199.44
922.08,339.57,341.46,355.45,284.87,199.67
924.27,338.56,340.6,353.95,284.09,199.72
926.46,337.66,339.61,352.42,283.28,199.27
928.65,337.11,338.63,351.02,282.42,199.04
930.84,336.38,337.67,349.82,281.91,198.85
933.04,335.61,336.69,348.78,281,198.56
935.23,334.66,335.71,347.79,280.09,198.16
937.42,333.45,334.7,346.79,279.19,197.51
939.61,332.03,333.66,345.7,278.3,196.96
941.8,330.62,332.62,344.44,277.38,196.11
943.99,329.44,331.56,343.25,276.59,195.37
946.18,328.46,330.51,341.59,275.59,193.87
948.37,327.54,329.46,339.77,274.54,193.61
950.56,326.53,328.42,338.02,273.44,193.46
952.75,325.3,327.38,336.45,272.35,193.41
954.94,323.87,326.33,335.01,271.33,192.88
957.13,322.41,325.27,333.57,270.37,192.6
959.32,321.01,324.2,332.1,269.49,192.37
961.51,319.63,323.42,330.64,268.64,192.02
963.7,318.27,322.3,329.24,267.77,191.7
965.89,317.38,321.17,327.89,266.82,191.83
968.08,316.05,320.01,326.43,265.8,191.49
970.27,314.81,318.83,324.64,264.77,191.59
972.46,313.7,317.62,322.46,263.72,191.31
974.65,312.62,316.83,320.09,262.65,191.14
976.84,311.35,315.57,317.89,261.56,191.05
979.03,309.75,314.27,316.61,260.42,190.08
981.22,307.97,312.93,315.57,259.33,189.28
983.41,306.25,311.55,314.21,257.94,189.15
985.6,304.65,310.14,312.91,256.47,190.02
987.79,303.24,308.7,311.49,255.05,190.29
989.98,302.03,307.24,309.89,253.77,190.04
992.17,300.87,305.75,308.07,252.66,189.85
994.36,300,304.22,306.02,251.63,189.35
996.55,298.51,302.99,303.82,250.59,189.04
998.74,296.89,301.39,301.67,249.51,188.61
1000.93,295.74,299.75,299.81,248.43,187.91
1003.12,293.88,298.09,298.21,247.3,186.93
1005.31,292.07,296.39,296.71,246.09,185.5
1007.5,290.56,294.66,295.19,244.75,184.55
1009.69,289.27,292.9,293.67,243.32,184.57
1011.88,287.88,291.14,292.24,241.88,183.81
1014.07,286.16,289.37,290.94,240.53,183.42
1016.26,284.06,287.61,290.07,239.34,182.71
1018.45,281.68,285.86,288.72,238.62,182.44
1020.64,279.25,284.12,287.04,237.71,182.36
1022.83,277.04,282.37,284.96,236.84,182.24
1025.02,275.21,280.59,282.73,235.93,181.56
1027.21,273.62,278.79,280.7,234.92,181.31
1029.41,272,276.95,279.14,233.82,180.55
1031.6,270.22,275.1,277.98,233.06,180.42
1033.79,268.36,273.75,277.02,231.87,179.73
1035.98,266.36,271.93,276.03,230.67,179.33
1038.17,264.72,270.16,274.94,229.51,178.41
