Time,FSE  P2,FSE  P4,FSE  P5,FSE  P6,FSE  P7,FSE  P8,FSE  P9,FSE  P10,FSE  P11
382.00,-10.50,2.00,-2.10,-5.70,2.80,1.90,9.10,0.00,0.00
384.00,-10.30,1.50,-1.70,-5.90,3.50,0.80,9.30,0.10,0.00
386.00,-10.40,1.10,-1.20,-6.20,3.40,0.00,8.80,0.10,0.00
388.00,-10.70,0.90,-1.30,-6.60,3.10,-0.20,7.90,0.20,0.00
390.00,-11.20,1.00,-1.70,-7.20,3.00,-0.40,7.10,0.30,0.00
392.00,-11.60,1.00,-2.00,-7.60,3.40,-0.70,6.90,0.40,0.00
394.00,-11.80,0.80,-2.00,-7.60,3.90,-1.10,7.40,0.50,0.00
396.00,-11.80,0.50,-1.90,-6.90,4.30,-1.40,8.00,0.70,0.00
398.00,-11.70,0.00,-1.80,-5.50,4.50,-1.80,7.80,0.90,0.00
400.00,-11.50,-0.60,-2.10,-3.90,4.60,-2.40,6.90,1.20,0.00
402.00,-11.00,-1.00,-2.60,-2.80,5.00,-2.90,6.20,1.50,0.00
404.00,-10.20,-1.40,-3.00,-2.20,5.70,-3.20,6.70,1.90,0.00
406.00,-9.10,-1.60,-3.20,-1.80,6.30,-3.50,8.10,2.40,0.00
408.00,-8.00,-1.90,-3.10,-1.30,6.30,-4.00,8.70,2.80,0.00
410.00,-7.20,-2.10,-2.80,-0.60,6.20,-4.40,7.20,3.30,0.00
412.00,-6.60,-2.30,-2.70,-0.10,6.20,-4.80,5.70,3.80,0.00
414.00,-6.30,-2.30,-2.80,0.20,6.40,-5.00,5.60,4.30,0.00
416.00,-6.00,-2.50,-3.00,0.10,7.10,-4.90,6.70,4.70,0.00
418.00,-5.90,-2.90,-3.10,-0.10,7.80,-4.50,6.60,5.10,0.00
420.00,-5.90,-3.30,-2.90,-0.30,8.10,-4.10,5.00,5.30,0.00
422.00,-5.90,-3.80,-2.30,-0.20,7.90,-3.60,3.50,5.50,0.00
424.00,-6.10,-4.10,-1.70,0.40,7.20,-3.30,3.20,5.70,0.00
426.00,-6.20,-4.40,-1.00,0.50,6.70,-3.20,4.10,5.90,0.00
428.00,-6.40,-4.70,-0.60,-0.10,6.60,-3.10,4.60,6.10,0.00
430.00,-6.70,-4.90,-0.40,-0.90,6.50,-3.10,3.90,6.30,0.00
432.00,-6.90,-5.10,-0.40,-1.40,6.10,-3.10,2.80,6.60,0.00
434.00,-7.00,-5.20,-0.50,-1.60,5.20,-3.20,2.60,6.90,0.00
436.00,-7.00,-5.00,-0.70,-1.80,4.20,-3.40,3.30,7.20,0.00
438.00,-6.80,-4.80,-0.80,-2.10,3.40,-3.60,4.20,7.40,0.00
440.00,-6.60,-4.50,-1.10,-2.40,3.00,-3.50,4.10,7.50,0.00
442.00,-6.30,-4.20,-1.50,-2.80,2.70,-3.20,3.20,7.50,0.00
444.00,-6.20,-4.00,-1.80,-3.40,2.30,-2.80,2.50,7.40,0.00
446.00,-6.10,-3.70,-2.10,-4.00,1.90,-2.30,2.20,7.40,0.00
448.00,-6.10,-3.50,-2.40,-4.30,1.70,-2.00,2.30,7.40,0.10
450.00,-6.20,-3.30,-2.60,-4.00,1.60,-1.80,2.40,7.40,0.10
452.00,-6.40,-3.10,-2.70,-3.50,1.40,-1.50,2.30,7.50,0.20
454.00,-6.60,-3.00,-2.90,-3.00,1.00,-1.20,1.90,7.60,0.20
456.00,-6.80,-2.90,-3.40,-2.60,0.60,-1.00,1.50,7.60,0.30
458.00,-7.10,-2.90,-4.00,-1.70,0.30,-1.10,1.20,7.50,0.40
460.00,-7.30,-2.90,-4.20,-0.70,0.10,-1.10,1.10,7.20,0.60
