/* DATA DESCRIPTION:
Citation:	Andersen, Katrine K; Bigler, Matthias; Buchardt, Susanne L; Clausen, Henrik Brink; Dahl-Jensen, Dorthe; Davies, Siwan M; Fischer, Hubertus; Goto-Azuma, Kumiko; Hansson, Margareta E; Heinemeier, Jan; Johnsen, Sigfus J; Larsen, L B; Muscheler, Raimund; Olsen, G J; Rasmussen, Sune Olander; Röthlisberger, Regine; Ruth, Urs; Seierstad, Inger K; Siggaard-Andersen, Marie-Louise; Steffensen, Jørgen Peder; Svensson, Anders M; Vinther, Bo M (2007): Greenland Ice Core Chronology 2005 (GICC05) and 20 year means of oxygen isotope data from ice core NGRIP. PANGAEA, https://doi.org/10.1594/PANGAEA.586838
Related to:	Andersen, Katrine K; Svensson, Anders M; Johnsen, Sigfus J; Rasmussen, Sune Olander; Bigler, Matthias; Röthlisberger, Regine; Ruth, Urs; Siggaard-Andersen, Marie-Louise; Steffensen, Jørgen Peder; Dahl-Jensen, Dorthe; Vinther, Bo M; Clausen, Henrik Brink (2006): The Greenland Ice Core Chronology 2005, 15-42 ka. Part 1: constructing the time scale. Quaternary Science Reviews, 25(23-24), 3246-3257, https://doi.org/10.1016/j.quascirev.2006.08.002
	Rasmussen, Sune Olander; Andersen, Katrine K; Svensson, Anders M; Steffensen, Jørgen Peder; Vinther, Bo M; Clausen, Henrik Brink; Siggaard-Andersen, Marie-Louise; Johnsen, Sigfus J; Larsen, L B; Dahl-Jensen, Dorthe; Bigler, Matthias; Röthlisberger, Regine; Fischer, Hubertus; Goto-Azuma, Kumiko; Hansson, Margareta E; Ruth, Urs (2006): A new Greenland ice core chronology for the last glacial termination. Journal of Geophysical Research: Atmospheres, 111, D06102, https://doi.org/10.1029/2005JD006079
	Rasmussen, Sune Olander; Seierstad, Inger K; Andersen, Katrine K; Bigler, Matthias; Dahl-Jensen, Dorthe; Johnsen, Sigfus J (2008): Synchronization of the NGRIP, GRIP, and GISP2 ice cores across MIS 2 and palaeoclimatic implications. Quaternary Science Reviews, 27(1-2), 18-28, https://doi.org/10.1016/j.quascirev.2007.01.016
	Svensson, Anders M; Andersen, Katrine K; Bigler, Matthias; Clausen, Henrik Brink; Dahl-Jensen, Dorthe; Davies, Siwan M; Johnsen, Sigfus J; Muscheler, Raimund; Rasmussen, Sune Olander; Röthlisberger, Regine; Steffensen, Jørgen Peder; Vinther, Bo M (2006): The Greenland Ice Core Chronology 2005, 15-42 ka. Part 2: comparison to other records. Quaternary Science Reviews, 25(23-24), 3258-3267, https://doi.org/10.1016/j.quascirev.2006.08.003
	Vinther, Bo M; Clausen, Henrik Brink; Johnsen, Sigfus J; Rasmussen, Sune Olander; Andersen, Katrine K; Buchardt, Susanne L; Dahl-Jensen, Dorthe; Seierstad, Inger K; Siggaard-Andersen, Marie-Louise; Steffensen, Jørgen Peder; Svensson, Anders M; Olsen, G J; Heinemeier, Jan (2006): A synchronized dating of three Greenland ice cores throughout the Holocene. Journal of Geophysical Research: Atmospheres, 111, D13102, https://doi.org/10.1029/2005JD006921
Project(s):	North Greenland Ice Core Project (NGRIP) (URI: http://www.gfy.ku.dk/~www-glac/ngrip/index_eng.htm)
Coverage:	LATITUDE: 75.100000 * LONGITUDE: -42.320000
	DATE/TIME START: 1996-07-01T00:00:00 * DATE/TIME END: 1996-07-01T00:00:00
	MINIMUM DEPTH, ice/snow: 7.35 m * MAXIMUM DEPTH, ice/snow: 2128.48 m
Event(s):	NGRIP * LATITUDE: 75.100000 * LONGITUDE: -42.320000 * DATE/TIME: 1996-07-01T00:00:00 * ELEVATION: 2925.0 m * CAMPAIGN: NGRIP * BASIS: Sampling/drilling ice * METHOD/DEVICE: Ice drill (ICEDRILL)
Comment:	The dating of the 0-7.85 kyr BP part is described in Vinther et al., 2006. The dating of the 7.85-14.65 kyr BP part is described in Rasmussen et al., 2006. The dating of the part below 14.65 kyr BP is described in Andersen et al., 2006, Svensson et al., 2006. The transferal of GICC05 to the GRIP ice core in the 14.65-32.35 kyr BP part is described in Rasmussen et al., 2007
Parameter(s):	AGE [ka BP] (Age) * GEOCODE
	DEPTH, ice/snow [m] (Depth ice/snow) * GEOCODE
	Age, error [±] (Age e)
	δ18O, water [‰ SMOW] (δ18O H2O) * COMMENT: 20 yera means
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0)
Size:	4176 data points
*/
Age [ka BP]	Depth ice/snow [m]	Age e [±]	δ18O H2O [‰ SMOW]
21.31	1754.28	0.505	-43.83
21.33	1754.64	0.507	-42.06
21.35	1755.00	0.508	-42.52
21.37	1755.37	0.509	-43.75
21.39	1755.75	0.511	-41.22
21.41	1756.14	0.511	-42.34
21.43	1756.55	0.513	-43.06
21.45	1756.90	0.513	-44.58
21.47	1757.26	0.513	-41.88
21.49	1757.68	0.514	-42.04
21.51	1758.04	0.515	-42.86
21.53	1758.40	0.515	-42.10
21.55	1758.76	0.517	-41.02
21.57	1759.18	0.518	-42.87
21.59	1759.55	0.519	-41.93
21.61	1759.91	0.520	-43.40
21.63	1760.26	0.520	-42.04
21.65	1760.62	0.521	-41.60
21.67	1761.02	0.522	-44.16
21.69	1761.43	0.523	-43.94
21.71	1761.80	0.524	-42.49
21.73	1762.17	0.525	-43.68
21.75	1762.53	0.527	-43.51
21.77	1762.91	0.528	-43.10
21.79	1763.29	0.528	-42.76
21.81	1763.67	0.529	-43.59
21.83	1764.07	0.529	-43.13
21.85	1764.45	0.530	-41.36
21.87	1764.86	0.530	-41.90
21.89	1765.26	0.531	-42.24
21.91	1765.62	0.531	-42.45
21.93	1765.99	0.531	-42.68
21.95	1766.36	0.532	-42.60
21.97	1766.71	0.532	-42.55
21.99	1767.07	0.533	-41.88
22.01	1767.43	0.534	-40.51
22.03	1767.79	0.536	-43.27
22.05	1768.18	0.536	-40.99
22.07	1768.50	0.537	-43.28
22.09	1768.89	0.538	-42.03
22.11	1769.23	0.539	-41.00
22.13	1769.61	0.540	-42.17
22.15	1770.00	0.541	-41.51
22.17	1770.39	0.542	-41.53
22.19	1770.73	0.544	-41.15
22.21	1771.13	0.545	-41.44
22.23	1771.49	0.547	-42.32
22.25	1771.81	0.547	-42.41
22.27	1772.21	0.548	-43.05
22.29	1772.58	0.548	-42.69
22.31	1772.95	0.548	-41.05
22.33	1773.33	0.549	-43.67
22.35	1773.74	0.551	-42.38
22.37	1774.12	0.551	-43.47
22.39	1774.53	0.552	-42.36
22.41	1774.91	0.553	-42.51
22.43	1775.33	0.553	-41.82
22.45	1775.76	0.554	-42.00
22.47	1776.15	0.556	-43.97
22.49	1776.59	0.557	-43.04
22.51	1776.96	0.558	-42.77
22.53	1777.33	0.560	-42.05
22.55	1777.75	0.561	-42.34
22.57	1778.12	0.563	-41.70
22.59	1778.51	0.563	-42.74
22.61	1778.90	0.563	-42.96
22.63	1779.27	0.564	-43.02
22.65	1779.66	0.564	-43.31
22.67	1780.04	0.565	-42.72
22.69	1780.48	0.566	-40.56
22.71	1780.91	0.567	-40.83
22.73	1781.31	0.568	-40.19
22.75	1781.74	0.568	-42.56
22.77	1782.12	0.570	-41.26
22.79	1782.46	0.570	-42.21
22.81	1782.84	0.571	-41.82
22.83	1783.24	0.572	-43.69
22.85	1783.62	0.573	-42.37
22.87	1784.03	0.575	-41.04
22.89	1784.47	0.577	-42.02
22.91	1784.96	0.579	-40.35
22.93	1785.42	0.580	-41.31
22.95	1785.85	0.582	-41.83
22.97	1786.28	0.583	-42.79
22.99	1786.65	0.585	-42.06
23.01	1787.07	0.585	-41.94
23.03	1787.52	0.585	-42.18
23.05	1787.94	0.586	-43.60
23.07	1788.31	0.587	-43.04
23.09	1788.78	0.588	-42.03
23.11	1789.21	0.589	-41.85
23.13	1789.59	0.589	-42.78
23.15	1789.92	0.590	-41.48
23.17	1790.26	0.590	-41.17
23.19	1790.68	0.591	-41.93
23.21	1791.16	0.592	-41.22
23.23	1791.63	0.593	-40.28
23.25	1792.16	0.594	-39.11
23.27	1792.62	0.595	-40.34
23.29	1793.19	0.596	-40.04
23.31	1793.69	0.597	-41.21
23.33	1794.08	0.598	-42.47
23.35	1794.49	0.599	-42.83
23.37	1794.88	0.599	-44.36
23.39	1795.27	0.600	-42.78
23.41	1795.64	0.602	-42.41
23.43	1795.98	0.605	-41.87
23.45	1796.35	0.607	-42.04
23.47	1796.72	0.608	-44.64
23.49	1797.07	0.609	-44.12
23.51	1797.36	0.610	-44.64
23.53	1797.67	0.610	-44.25
23.55	1798.03	0.611	-41.80
23.57	1798.40	0.612	-44.75
23.59	1798.71	0.614	-44.64
23.61	1799.03	0.615	-42.81
23.63	1799.34	0.617	-43.13
23.65	1799.67	0.618	-44.55
23.67	1799.97	0.621	-45.29
23.69	1800.31	0.621	-43.41
23.71	1800.63	0.624	-41.51
23.73	1800.95	0.625	-44.11
23.75	1801.27	0.625	-43.95
23.77	1801.58	0.626	-43.84
23.79	1801.91	0.626	-44.14
23.81	1802.21	0.628	-44.13
23.83	1802.53	0.630	-43.66
23.85	1802.85	0.632	-43.11
23.87	1803.16	0.633	-43.53
23.89	1803.47	0.633	-42.93
23.91	1803.77	0.634	-44.44
23.93	1804.06	0.635	-43.86
23.95	1804.35	0.636	-40.99
23.97	1804.66	0.638	-42.65
23.99	1804.94	0.639	-42.48
24.01	1805.23	0.640	-44.11
24.03	1805.56	0.641	-44.03
24.05	1805.87	0.642	-44.24
24.07	1806.18	0.643	-42.92
24.09	1806.49	0.644	-44.30
24.11	1806.81	0.644	-43.05
24.13	1807.09	0.645	-44.18
24.15	1807.40	0.646	-42.27
24.17	1807.74	0.647	-44.34
24.19	1808.04	0.649	-44.51
24.21	1808.39	0.652	-44.33
24.23	1808.74	0.653	-43.60
24.25	1809.03	0.654	-43.86
24.27	1809.40	0.655	-41.79
24.29	1809.73	0.656	-43.65
24.31	1810.05	0.657	-43.11
24.33	1810.36	0.658	-44.07
24.35	1810.72	0.658	-43.88
24.37	1811.06	0.660	-44.29
24.39	1811.35	0.662	-42.30
24.41	1811.69	0.663	-42.04
24.43	1812.02	0.664	-44.64
24.45	1812.37	0.665	-43.01
24.47	1812.70	0.665	-42.93
24.49	1813.00	0.667	-43.63
24.51	1813.28	0.668	-43.80
24.53	1813.57	0.669	-42.72
24.55	1813.89	0.670	-42.02
24.57	1814.19	0.671	-43.29
24.59	1814.49	0.672	-42.78
24.61	1814.79	0.674	-45.76
24.63	1815.08	0.675	-43.64
24.65	1815.37	0.675	-44.79
24.67	1815.69	0.675	-42.48
24.69	1815.96	0.677	-42.71
24.71	1816.30	0.679	-43.02
24.73	1816.60	0.680	-44.34
24.75	1816.88	0.680	-43.24
24.77	1817.14	0.681	-45.27
24.79	1817.46	0.681	-44.28
24.81	1817.77	0.682	-43.69
24.83	1818.11	0.682	-44.14
24.85	1818.47	0.683	-44.93
24.87	1818.79	0.684	-44.77
24.89	1819.10	0.685	-43.33
24.91	1819.44	0.686	-41.88
24.93	1819.76	0.688	-43.23
24.95	1820.06	0.690	-42.66
24.97	1820.43	0.691	-42.41
24.99	1820.78	0.693	-43.54
25.01	1821.11	0.693	-42.71
25.03	1821.43	0.694	-43.66
25.05	1821.76	0.696	-44.35
25.07	1822.06	0.697	-44.14
25.09	1822.38	0.699	-44.35
25.11	1822.72	0.700	-43.05
25.13	1823.00	0.701	-42.74
25.15	1823.29	0.701	-43.11
25.17	1823.58	0.702	-43.42
25.19	1823.88	0.702	-42.35
25.21	1824.16	0.702	-44.12
25.23	1824.46	0.704	-43.08
25.25	1824.74	0.705	-43.91
25.27	1825.03	0.706	-43.14
25.29	1825.33	0.708	-44.02
25.31	1825.67	0.710	-43.40
25.33	1826.00	0.711	-42.20
25.35	1826.28	0.712	-43.45
25.37	1826.60	0.714	-43.65
25.39	1826.90	0.715	-45.14
25.41	1827.20	0.717	-44.36
25.43	1827.49	0.718	-45.30
25.45	1827.78	0.719	-44.09
25.47	1828.07	0.720	-42.41
25.49	1828.35	0.722	-41.35
25.51	1828.63	0.723	-42.65
25.53	1828.94	0.725	-45.02
25.55	1829.24	0.726	-43.60
25.57	1829.53	0.727	-43.17
25.59	1829.85	0.729	-43.00
25.61	1830.13	0.732	-44.91
25.63	1830.42	0.732	-44.45
25.65	1830.71	0.733	-46.11
25.67	1830.99	0.734	-43.74
25.69	1831.29	0.734	-43.94
25.71	1831.59	0.735	-45.14
25.73	1831.89	0.736	-43.34
25.75	1832.19	0.737	-43.46
25.77	1832.50	0.738	-44.10
25.79	1832.79	0.738	-43.96
25.81	1833.09	0.739	-45.11
25.83	1833.36	0.741	-44.40
25.85	1833.64	0.741	-44.55
25.87	1833.94	0.741	-44.51
25.89	1834.25	0.744	-42.56
25.91	1834.53	0.745	-43.20
25.93	1834.82	0.746	-44.36
25.95	1835.12	0.747	-42.59
25.97	1835.45	0.749	-44.19
25.99	1835.79	0.751	-45.64
26.01	1836.17	0.751	-43.37
26.03	1836.53	0.751	-42.39
26.05	1836.83	0.752	-43.78
26.07	1837.15	0.753	-41.93
26.09	1837.50	0.754	-44.14
26.11	1837.87	0.754	-42.56
26.13	1838.25	0.755	-42.46
26.15	1838.64	0.756	-41.67
26.17	1839.03	0.757	-43.10
26.19	1839.46	0.759	-42.19
26.21	1839.83	0.759	-44.16
26.23	1840.19	0.760	-43.22
26.25	1840.56	0.760	-42.92
26.27	1840.92	0.761	-43.21
26.29	1841.29	0.762	-42.18
26.31	1841.65	0.762	-42.76
26.33	1841.99	0.763	-42.87
26.35	1842.33	0.764	-41.74
26.37	1842.67	0.765	-42.75
26.39	1842.98	0.766	-42.85
26.41	1843.36	0.766	-43.40
26.43	1843.74	0.767	-43.25
26.45	1844.13	0.768	-42.75
26.47	1844.47	0.768	-44.69
26.49	1844.76	0.768	-44.44
26.51	1845.05	0.769	-46.50
26.53	1845.36	0.771	-45.54
26.55	1845.72	0.772	-43.31
26.57	1846.02	0.773	-43.22
26.59	1846.33	0.775	-44.20
26.61	1846.66	0.775	-43.05
26.63	1847.00	0.777	-43.10
26.65	1847.34	0.777	-43.63
26.67	1847.66	0.778	-43.09
26.69	1848.00	0.780	-43.50
26.71	1848.30	0.782	-44.54
26.73	1848.67	0.784	-43.78
26.75	1849.04	0.785	-44.37
26.77	1849.36	0.786	-44.73
26.79	1849.71	0.787	-42.85
26.81	1850.04	0.789	-42.83
26.83	1850.39	0.790	-44.65
26.85	1850.74	0.791	-43.44
26.87	1851.08	0.791	-43.13
26.89	1851.42	0.794	-44.22
26.91	1851.79	0.794	-43.10
26.93	1852.17	0.795	-41.77
26.95	1852.51	0.795	-43.73
26.97	1852.83	0.795	-43.44
26.99	1853.15	0.797	-44.00
27.01	1853.49	0.798	-44.59
27.03	1853.86	0.798	-43.95
27.05	1854.21	0.798	-42.86
27.07	1854.57	0.799	-42.44
27.09	1854.91	0.800	-41.29
27.11	1855.20	0.801	-44.38
27.13	1855.52	0.802	-41.80
27.15	1855.84	0.804	-43.26
27.17	1856.18	0.804	-43.39
27.19	1856.50	0.804	-43.19
27.21	1856.86	0.805	-43.21
27.23	1857.23	0.805	-43.05
27.25	1857.56	0.805	-43.45
27.27	1857.91	0.806	-43.13
27.29	1858.23	0.808	-44.58
27.31	1858.56	0.810	-43.26
27.33	1858.90	0.811	-44.36
27.35	1859.24	0.813	-43.64
27.37	1859.58	0.814	-44.89
27.39	1859.93	0.815	-44.91
27.41	1860.22	0.816	-43.95
27.43	1860.53	0.818	-44.47
27.45	1860.88	0.819	-42.95
27.47	1861.22	0.820	-42.51
27.49	1861.69	0.822	-43.01
27.51	1862.24	0.822	-41.71
27.53	1862.75	0.823	-41.07
27.55	1863.36	0.823	-40.93
27.57	1863.95	0.825	-40.98
27.59	1864.58	0.825	-39.39
27.61	1865.24	0.826	-39.42
27.63	1865.79	0.827	-40.29
27.65	1866.38	0.827	-40.41
27.67	1867.03	0.828	-38.84
27.69	1867.72	0.829	-38.22
27.71	1868.43	0.831	-38.37
27.73	1869.12	0.832	-39.46
27.75	1869.60	0.833	-43.80
27.77	1869.90	0.835	-43.26
27.79	1870.19	0.836	-44.26
27.81	1870.54	0.838	-44.15
27.83	1870.85	0.840	-41.95
27.85	1871.17	0.841	-44.87
27.87	1871.49	0.843	-44.54
27.89	1871.82	0.845	-43.23
27.91	1872.12	0.847	-43.67
27.93	1872.50	0.849	-43.86
27.95	1872.81	0.850	-44.03
27.97	1873.14	0.851	-45.00
27.99	1873.46	0.853	-44.97
28.01	1873.77	0.855	-44.00
28.03	1874.10	0.856	-44.80
28.05	1874.39	0.858	-44.92
28.07	1874.69	0.860	-43.77
28.09	1874.97	0.862	-43.94
28.11	1875.29	0.863	-43.08
28.13	1875.58	0.865	-46.28
28.15	1875.90	0.865	-43.68
28.17	1876.19	0.867	-43.65
28.19	1876.50	0.870	-44.78
28.21	1876.84	0.871	-44.58
28.23	1877.13	0.873	-44.91
28.25	1877.47	0.876	-43.64
28.27	1877.79	0.877	-42.04
28.29	1878.10	0.878	-45.54
28.31	1878.44	0.879	-44.62
28.33	1878.75	0.880	-42.71
28.35	1879.09	0.880	-44.90
28.37	1879.38	0.880	-42.91
28.39	1879.75	0.881	-43.38
28.41	1880.12	0.881	-44.10
28.43	1880.45	0.882	-44.35
28.45	1880.75	0.883	-45.03
28.47	1881.10	0.884	-43.34
28.49	1881.49	0.885	-42.38
28.51	1881.84	0.885	-43.96
28.53	1882.19	0.886	-43.12
28.55	1882.62	0.887	-42.98
28.57	1883.10	0.888	-40.88
28.59	1883.62	0.888	-40.77
28.61	1884.17	0.889	-40.52
28.63	1884.75	0.889	-40.21
28.65	1885.38	0.890	-40.17
28.67	1885.91	0.890	-41.10
28.69	1886.57	0.891	-40.14
28.71	1887.16	0.893	-40.78
28.73	1887.77	0.893	-40.49
28.75	1888.47	0.894	-38.62
28.77	1889.11	0.895	-39.10
28.79	1889.79	0.896	-39.60
28.81	1890.48	0.896	-40.05
28.83	1891.07	0.897	-40.01
28.85	1891.57	0.898	-42.08
28.87	1891.96	0.898	-43.87
28.89	1892.31	0.900	-43.58
28.91	1892.65	0.901	-43.10
28.93	1892.95	0.901	-43.32
28.95	1893.28	0.901	-45.38
28.97	1893.60	0.903	-44.58
28.99	1893.92	0.905	-44.00
29.01	1894.23	0.905	-43.34
29.03	1894.52	0.907	-43.85
29.05	1894.79	0.909	-45.15
29.07	1895.08	0.911	-43.98
29.09	1895.35	0.912	-44.89
29.11	1895.64	0.913	-42.89
29.13	1895.93	0.914	-43.79
29.15	1896.20	0.915	-45.31
29.17	1896.50	0.917	-43.82
29.19	1896.78	0.918	-42.86
29.21	1897.05	0.918	-45.81
29.23	1897.32	0.919	-44.05
29.25	1897.63	0.919	-43.67
29.27	1897.89	0.920	-44.52
29.29	1898.20	0.921	-42.80
29.31	1898.48	0.923	-44.88
29.33	1898.78	0.923	-43.81
29.35	1899.08	0.924	-43.22
29.37	1899.35	0.926	-43.34
29.39	1899.61	0.926	-43.94
29.41	1899.90	0.927	-45.35
29.43	1900.16	0.928	-44.63
29.45	1900.40	0.930	-43.92
29.47	1900.64	0.932	-46.36
29.49	1900.91	0.933	-44.45
29.51	1901.16	0.935	-44.09
29.53	1901.46	0.937	-44.61
29.55	1901.78	0.938	-45.84
29.57	1902.06	0.940	-46.22
29.59	1902.34	0.943	-44.46
29.61	1902.60	0.945	-43.01
29.63	1902.87	0.946	-44.90
29.65	1903.16	0.948	-46.45
29.67	1903.42	0.950	-44.21
29.69	1903.67	0.953	-46.14
29.71	1903.98	0.954	-44.54
29.73	1904.27	0.956	-44.42
29.75	1904.57	0.958	-43.57
29.77	1904.85	0.959	-44.05
29.79	1905.12	0.960	-45.18
29.81	1905.42	0.961	-44.54
29.83	1905.74	0.963	-43.74
29.85	1906.01	0.965	-44.68
29.87	1906.28	0.966	-44.48
29.89	1906.58	0.967	-43.72
29.91	1906.89	0.968	-44.63
29.93	1907.22	0.969	-44.08
29.95	1907.54	0.971	-42.98
29.97	1907.80	0.973	-43.67
29.99	1908.09	0.973	-45.52
30.01	1908.37	0.975	-45.70
30.03	1908.67	0.977	-43.85
30.05	1908.95	0.977	-44.95
30.07	1909.22	0.979	-46.25
30.09	1909.50	0.980	-44.21
30.11	1909.77	0.981	-45.03
30.13	1910.09	0.982	-44.59
30.15	1910.36	0.983	-43.06
30.17	1910.63	0.984	-45.43
30.19	1910.92	0.986	-44.55
30.21	1911.19	0.987	-44.65
30.23	1911.46	0.989	-45.24
30.25	1911.72	0.990	-44.76
30.27	1912.04	0.991	-44.87
30.29	1912.33	0.992	-43.49
30.31	1912.60	0.993	-44.28
30.33	1912.87	0.994	-42.29
30.35	1913.19	0.995	-43.97
30.37	1913.44	0.996	-44.73
30.39	1913.69	0.999	-44.93
30.41	1913.92	0.999	-45.24
30.43	1914.17	0.999	-44.77
30.45	1914.48	1.000	-43.95
30.47	1914.78	1.002	-43.47
30.49	1915.13	1.004	-43.49
30.51	1915.41	1.006	-44.21
30.53	1915.75	1.007	-42.71
30.55	1916.08	1.008	-44.22
30.57	1916.43	1.009	-43.29
30.59	1916.77	1.011	-43.80
30.61	1917.12	1.012	-41.58
30.63	1917.45	1.013	-42.44
30.65	1917.81	1.016	-43.39
30.67	1918.23	1.018	-42.22
30.69	1918.67	1.019	-42.69
30.71	1919.11	1.021	-42.05
30.73	1919.47	1.022	-42.01
30.75	1919.83	1.023	-44.03
30.77	1920.21	1.023	-45.08
30.79	1920.56	1.024	-42.83
30.81	1920.91	1.025	-43.90
30.83	1921.27	1.027	-42.45
30.85	1921.61	1.029	-43.19
30.87	1921.94	1.032	-43.76
30.89	1922.22	1.034	-44.79
30.91	1922.53	1.036	-45.37
30.93	1922.87	1.036	-43.42
30.95	1923.16	1.038	-44.40
30.97	1923.46	1.038	-42.99
30.99	1923.78	1.039	-44.97
31.01	1924.13	1.041	-41.75
31.03	1924.46	1.042	-44.27
31.05	1924.78	1.043	-44.20
31.07	1925.11	1.045	-44.13
31.09	1925.45	1.047	-43.08
31.11	1925.78	1.048	-43.57
31.13	1926.08	1.049	-42.73
31.15	1926.36	1.049	-45.16
31.17	1926.63	1.051	-43.70
31.19	1926.96	1.053	-44.25
31.21	1927.32	1.054	-44.18
31.23	1927.64	1.055	-43.70
31.25	1927.94	1.057	-43.97
31.27	1928.25	1.059	-42.79
31.29	1928.56	1.061	-43.63
31.31	1928.83	1.063	-43.67
31.33	1929.15	1.064	-44.36
31.35	1929.45	1.065	-45.20
31.37	1929.77	1.066	-43.57
31.39	1930.07	1.067	-43.09
31.41	1930.35	1.069	-44.57
31.43	1930.66	1.070	-41.65
31.45	1930.96	1.072	-43.28
31.47	1931.24	1.073	-45.39
31.49	1931.55	1.074	-43.86
31.51	1931.85	1.076	-43.37
31.53	1932.15	1.078	-44.74
31.55	1932.51	1.080	-43.33
31.57	1932.83	1.081	-43.98
31.59	1933.15	1.084	-44.19
31.61	1933.48	1.085	-43.69
31.63	1933.80	1.089	-44.29
31.65	1934.11	1.089	-43.64
31.67	1934.47	1.089	-43.20
31.69	1934.80	1.091	-42.67
31.71	1935.12	1.092	-43.16
31.73	1935.46	1.092	-45.06
31.75	1935.79	1.094	-43.26
31.77	1936.11	1.095	-43.37
31.79	1936.42	1.096	-43.50
31.81	1936.74	1.098	-45.22
31.83	1937.04	1.099	-42.81
31.85	1937.36	1.100	-44.89
31.87	1937.65	1.101	-42.76
31.89	1937.97	1.101	-44.23
31.91	1938.28	1.103	-43.48
31.93	1938.60	1.103	-44.16
31.95	1938.95	1.103	-42.54
31.97	1939.32	1.104	-44.45
31.99	1939.68	1.107	-43.87
32.01	1940.03	1.108	-41.40
32.03	1940.48	1.109	-41.72
32.05	1940.90	1.111	-41.23
32.07	1941.39	1.111	-42.79
32.09	1941.84	1.113	-40.50
32.11	1942.31	1.116	-41.06
32.13	1942.82	1.117	-40.69
32.15	1943.31	1.118	-40.85
32.17	1943.82	1.119	-40.59
32.19	1944.26	1.120	-39.86
32.21	1944.73	1.122	-40.34
32.23	1945.23	1.122	-40.70
32.25	1945.83	1.123	-40.51
32.27	1946.41	1.123	-40.70
32.29	1946.96	1.124	-40.42
32.31	1947.49	1.126	-40.44
32.33	1948.01	1.129	-39.83
32.35	1948.59	1.129	-39.04
32.37	1949.20	1.130	-40.38
32.39	1949.79	1.130	-39.61
32.41	1950.41	1.130	-38.81
32.43	1951.02	1.131	-38.91
32.45	1951.65	1.132	-40.14
32.47	1952.12	1.132	-42.38
32.49	1952.45	1.133	-43.82
32.51	1952.71	1.134	-43.57
32.53	1953.00	1.135	-44.14
32.55	1953.27	1.136	-43.77
32.57	1953.58	1.139	-43.67
32.59	1953.92	1.140	-43.30
32.61	1954.26	1.141	-44.81
32.63	1954.58	1.143	-43.29
32.65	1954.82	1.145	-45.77
32.67	1955.10	1.146	-44.61
32.69	1955.38	1.149	-44.58
32.71	1955.67	1.151	-43.09
32.73	1955.96	1.155	-43.42
32.75	1956.25	1.157	-45.03
32.77	1956.53	1.159	-45.25
32.79	1956.82	1.161	-44.84
32.81	1957.11	1.163	-44.81
32.83	1957.42	1.164	-45.78
32.85	1957.72	1.166	-44.23
32.87	1958.02	1.168	-44.07
32.89	1958.28	1.169	-43.85
32.91	1958.57	1.169	-42.07
32.93	1958.85	1.171	-42.72
32.95	1959.16	1.171	-44.33
32.97	1959.46	1.172	-43.76
32.99	1959.76	1.172	-43.83
33.01	1960.01	1.173	-42.67
33.03	1960.25	1.173	-43.84
33.05	1960.55	1.174	-44.33
33.07	1960.82	1.175	-44.15
33.09	1961.07	1.176	-44.25
33.11	1961.35	1.177	-43.29
33.13	1961.65	1.179	-42.87
33.15	1961.91	1.181	-42.70
33.17	1962.23	1.182	-43.14
33.19	1962.49	1.184	-44.70
33.21	1962.76	1.185	-43.02
33.23	1963.03	1.187	-43.44
33.25	1963.32	1.188	-43.61
33.27	1963.61	1.190	-45.89
33.29	1963.95	1.190	-43.29
33.31	1964.30	1.191	-43.35
33.33	1964.62	1.192	-41.90
33.35	1965.14	1.192	-41.15
33.37	1965.64	1.193	-41.56
33.39	1966.18	1.194	-40.98
33.41	1966.73	1.195	-39.74
33.43	1967.27	1.195	-40.08
33.45	1967.79	1.196	-39.61
33.47	1968.38	1.196	-40.44
33.49	1968.97	1.197	-40.32
33.51	1969.54	1.199	-38.92
33.53	1970.10	1.200	-39.98
33.55	1970.70	1.201	-39.96
33.57	1971.23	1.202	-39.70
33.59	1971.75	1.203	-39.91
33.61	1972.32	1.204	-40.07
33.63	1972.97	1.206	-38.59
33.65	1973.59	1.209	-39.06
33.67	1974.16	1.210	-39.83
33.69	1974.55	1.212	-40.52
33.71	1974.91	1.215	-41.82
33.73	1975.29	1.217	-41.98
33.75	1975.62	1.220	-42.06
33.77	1975.97	1.221	-42.39
33.79	1976.34	1.222	-42.40
33.81	1976.65	1.224	-42.16
33.83	1977.00	1.224	-44.12
33.85	1977.33	1.226	-41.36
33.87	1977.65	1.228	-43.39
33.89	1977.99	1.230	-42.95
33.91	1978.28	1.231	-42.82
33.93	1978.58	1.232	-44.86
33.95	1978.90	1.233	-42.81
33.97	1979.21	1.235	-43.39
33.99	1979.53	1.237	-42.27
34.01	1979.86	1.238	-42.68
34.03	1980.14	1.240	-43.05
34.05	1980.42	1.241	-42.22
34.07	1980.70	1.243	-43.30
34.09	1981.02	1.243	-43.07
34.11	1981.33	1.244	-42.13
34.13	1981.63	1.245	-42.34
34.15	1981.91	1.246	-43.38
34.17	1982.21	1.249	-43.15
34.19	1982.55	1.251	-41.84
34.21	1982.85	1.252	-42.67
34.23	1983.13	1.254	-42.30
34.25	1983.48	1.255	-43.47
34.27	1983.78	1.257	-44.04
34.29	1984.08	1.258	-43.38
34.31	1984.38	1.259	-42.35
34.33	1984.69	1.260	-42.41
34.35	1984.99	1.262	-44.39
