# Weather station Innsbruck (airport), Austria, WMO_ID=11120,selection from 01.01.2019 till 31.12.2019, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=11120&lang=en
#
"Local time in Innsbruck (airport)";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"29.12.2019 00:00";"-0.5";"726.3";"781.8";"-0.1";"72";"Wind blowing from the north";"1";"";"";"100%.";" ";"";"";"";"";"";"";"300-600";"";"";"60.0";"-5.0";"No precipitation";"1";"";"";"";"";
"28.12.2019 23:00";"-0.3";"726.4";"781.9";"-0.3";"78";"Wind blowing from the north";"3";"";"";"90  or more, but not 100%";" ";"";"";"";"";"";"";"300-600";"";"";"45.0";"-3.8";"No precipitation";"1";"";"";"";"";
"28.12.2019 22:00";"0.5";"726.3";"781.5";"-0.2";"83";"Wind blowing from the north";"1";"";"";"90  or more, but not 100%";" ";"";"";"";"";"";"";"300-600";"";"";"30.0";"-2.1";"No precipitation";"1";"";"";"";"";
"28.12.2019 21:00";"0.6";"726.4";"781.6";"0.5";"82";"Wind blowing from the north";"3";"";"";"90  or more, but not 100%";" ";"";"";"";"";"";"";"300-600";"";"";"24.0";"-2.2";"No precipitation";"1";"";"";"";"";
"28.12.2019 20:00";"0.9";"726.7";"781.9";"1.5";"84";"Wind blowing from the east-northeast";"3";"";"";"90  or more, but not 100%";" ";"";"";"";"";"";"";"300-600";"";"";"23.0";"-1.6";"No precipitation";"1";"";"";"";"";
"28.12.2019 19:00";"1.0";"726.5";"781.6";"1.6";"82";"Wind blowing from the north";"2";"";"";"70 – 80%.";" ";"";"";"";"2.4";"";"";"300-600";"";"";"22.0";"-1.7";"No precipitation";"1";"";"";"";"";
"28.12.2019 18:00";"1.2";"725.9";"781.0";"1.3";"83";"Wind blowing from the north";"2";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"300-600";"";"";"18.0";"-1.4";"No precipitation";"1";"";"";"";"";
"28.12.2019 17:00";"1.3";"725.2";"780.2";"0.6";"85";"Wind blowing from the north";"1";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"300-600";"";"";"18.0";"-1.0";"No precipitation";"1";"";"";"";"";
"28.12.2019 16:00";"1.6";"724.9";"779.8";"0.0";"80";"Wind blowing from the north";"1";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"300-600";"";"";"24.0";"-1.6";"No precipitation";"1";"";"";"";"";
"28.12.2019 15:00";"2.0";"724.6";"779.3";"-0.7";"78";"Wind blowing from the north";"2";"";"";"60%.";" ";"";"";"";"";"";"";"300-600";"";"";"23.0";"-1.4";"No precipitation";"1";"";"";"";"";
