# Weather station Innsbruck (airport), Austria, WMO_ID=11120,selection from 01.01.2019 till 31.12.2019, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=11120&lang=en
#
"Local time in Innsbruck (airport)";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"21.06.2019 09:00";"16.3";"712.4";"763.3";"0.0";"87";"Wind blowing from the north";"2";"";"";"90  or more, but not 100%";" ";"";"";"";"";"";"";"200-300";"";"";"35.0";"14.1";"No precipitation";"1";"";"";"";"";
"21.06.2019 08:00";"15.7";"712.3";"763.3";"";"89";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"14.6";"";"";"";"100-200";"";"";"30.0";"13.9";"2.0";"12";"";"";"";"";
"21.06.2019 07:00";"15.0";"712.3";"763.4";"0.2";"91";"Wind blowing from the north";"1";"";"";"90  or more, but not 100%";" ";"";"";"";"";"";"";"100-200";"";"";"30.0";"13.5";"No precipitation";"1";"";"";"";"";
"21.06.2019 06:00";"14.7";"712.4";"763.6";"";"93";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"";"";"";"100-200";"";"";"30.0";"13.5";"No precipitation";"1";"";"";"";"";
"21.06.2019 05:00";"15.0";"712.3";"763.5";"0.0";"93";"Wind blowing from the north";"3";"";"";"100%.";" ";"";"";"";"";"";"";"200-300";"";"";"35.0";"13.8";"No precipitation";"1";"";"";"";"";
"21.06.2019 04:00";"15.5";"712.1";"763.1";"-0.1";"93";"Wind blowing from the north";"1";"";"";"100%.";" ";"";"";"";"";"";"";"200-300";"";"";"14.0";"14.4";"No precipitation";"1";"";"";"";"";
"21.06.2019 03:00";"15.6";"712.3";"763.3";"0.3";"93";"Wind blowing from the north";"2";"";"";"100%.";" ";"";"";"";"";"";"";"200-300";"";"";"16.0";"14.5";"No precipitation";"1";"";"";"";"";
"21.06.2019 02:00";"15.7";"712.3";"763.3";"0.5";"93";"Wind blowing from the north";"1";"";"";"100%.";" ";"";"";"";"";"";"";"200-300";"";"";"30.0";"14.5";"1.0";"6";"";"";"";"";
"21.06.2019 01:00";"15.6";"712.2";"763.2";"0.5";"94";"Wind blowing from the north";"2";"";"";"100%.";" ";"";"";"";"";"";"";"200-300";"";"";"27.0";"14.6";"No precipitation";"1";"";"";"";"";
"21.06.2019 00:00";"15.8";"712.0";"763.0";"0.6";"91";"Wind blowing from the north";"1";"";"";"100%.";" ";"";"";"";"";"";"";"200-300";"";"";"35.0";"14.3";"No precipitation";"1";"";"";"";"";
"20.06.2019 23:00";"15.7";"711.8";"762.7";"0.6";"91";"Wind blowing from the north";"1";"";"";"90  or more, but not 100%";" ";"";"";"";"";"";"";"600-1000";"";"";"50.0";"14.2";"No precipitation";"1";"";"";"";"";
"20.06.2019 22:00";"16.1";"711.7";"762.6";"1.2";"89";"Wind blowing from the north";"2";"";"";"90  or more, but not 100%";"Precipitation within sight, reaching the ground or the surface of the sea, but distant, i.e. estimated to be more than 5 km from the station. ";"";"";"";"";"";"";"600-1000";"";"";"45.0";"14.3";"No precipitation";"1";"";"";"";"";
"20.06.2019 21:00";"16.1";"711.4";"762.3";"1.8";"90";"Wind blowing from the north";"1";"";"";"90  or more, but not 100%";"Precipitation within sight, reaching the ground or the surface of the sea, but distant, i.e. estimated to be more than 5 km from the station. ";"";"";"";"";"";"";"600-1000";"";"";"50.0";"14.4";"2.0";"1";"";"";"";"";
"20.06.2019 20:00";"16.8";"711.2";"761.9";"2.5";"82";"Wind blowing from the east";"3";"";"19";"90  or more, but not 100%";"Rain shower(s), slight. ";"";"";"";"26.9";"";"";"1000-1500";"";"";"10.0";"13.6";"4.0";"12";"";"";"";"";
"20.06.2019 19:00";"17.7";"710.5";"761.0";"2.9";"79";"Wind blowing from the east";"5";"";"";"90  or more, but not 100%";" ";"";"";"";"";"";"";"1500-2000";"";"";"55.0";"14.0";"No precipitation";"1";"";"";"";"";
"20.06.2019 18:00";"18.3";"709.6";"760.0";"2.8";"83";"Wind blowing from the east";"5";"";"";"90  or more, but not 100%";" ";"";"";"";"";"";"";"1000-1500";"";"";"45.0";"15.3";"Trace of precipitation";"1";"";"";"";"";
"20.06.2019 17:00";"17.5";"708.7";"759.1";"1.5";"84";"Wind blowing from the west-northwest";"6";"";"19";"90  or more, but not 100%";"Rain shower(s), slight. ";"";"";"";"";"";"";"1000-1500";"";"";"22.0";"14.7";"3.0";"1";"";"";"";"";
"20.06.2019 16:00";"20.9";"707.6";"757.3";"-0.4";"63";"Wind blowing from the west-southwest";"9";"15";"16";"90  or more, but not 100%";" ";"";"";"";"";"";"";"1500-2000";"";"";"25.0";"13.5";"0.2";"1";"";"";"";"";
"20.06.2019 15:00";"25.8";"706.8";"755.7";"-1.7";"45";"Wind blowing from the east-northeast";"4";"";"";"90  or more, but not 100%";"Thunderstorm, but no precipitation at the time of observation. ";"";"";"";"";"";"";"2000-2500";"";"";"70.0";"12.8";"No precipitation";"1";"";"";"";"";
"20.06.2019 14:00";"26.1";"707.2";"756.1";"-1.6";"40";"Wind blowing from the east-northeast";"4";"";"";"90  or more, but not 100%";" ";"";"";"";"";"";"";"2000-2500";"";"";"65.0";"11.3";"No precipitation";"1";"";"";"";"";
"20.06.2019 13:00";"25.3";"708.0";"757.0";"-1.2";"45";"Wind blowing from the east-northeast";"3";"";"";"90  or more, but not 100%";" ";"";"";"";"";"";"";"2000-2500";"";"";"45.0";"12.6";"No precipitation";"1";"";"";"";"";
"20.06.2019 12:00";"24.5";"708.5";"757.7";"-1.1";"45";"Wind blowing from the east-northeast";"4";"";"";"90  or more, but not 100%";" ";"";"";"";"";"";"";"2000-2500";"";"";"65.0";"11.7";"No precipitation";"1";"";"";"";"";
"20.06.2019 11:00";"23.2";"708.8";"758.3";"-1.1";"45";"Wind blowing from the north";"1";"";"";"90  or more, but not 100%";" ";"";"";"";"";"";"";"2000-2500";"";"";"5.0";"10.7";"No precipitation";"1";"";"";"";"";
"20.06.2019 10:00";"21.3";"709.2";"759.1";"-0.8";"52";"Wind blowing from the north";"2";"";"";"50%.";" ";"";"";"";"";"";"";"2000-2500";"";"";"24.0";"11.1";"No precipitation";"1";"";"";"";"";
"20.06.2019 09:00";"19.3";"709.6";"759.8";"-0.3";"64";"Wind blowing from the west-northwest";"3";"";"";"40%.";" ";"";"";"";"";"";"";"2000-2500";"";"";"60.0";"12.3";"No precipitation";"1";"";"";"";"";
"20.06.2019 08:00";"18.0";"709.9";"760.3";"0.0";"69";"Wind blowing from the west";"3";"";"";"60%.";" ";"";"";"14.3";"";"";"";"2500 or more, or no clouds.";"";"";"45.0";"12.2";"0.1";"12";"";"";"";"";
"20.06.2019 07:00";"15.5";"710.0";"760.9";"0.3";"78";"Wind blowing from the north";"2";"";"";"90  or more, but not 100%";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"50.0";"11.7";"No precipitation";"1";"";"";"";"";
"20.06.2019 06:00";"14.8";"709.9";"761.0";"0.0";"78";"Wind blowing from the north";"1";"";"";"90  or more, but not 100%";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"65.0";"10.9";"No precipitation";"1";"";"";"";"";
"20.06.2019 05:00";"14.8";"709.9";"761.0";"0.3";"77";"Wind blowing from the north";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"55.0";"10.7";"No precipitation";"1";"";"";"";"";
"20.06.2019 04:00";"16.3";"709.7";"760.5";"0.0";"71";"Wind blowing from the north";"2";"";"";"10%  or less, but not 0";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"65.0";"11.0";"No precipitation";"1";"";"";"";"";
"20.06.2019 03:00";"17.4";"709.9";"760.4";"1.1";"68";"Wind blowing from the north";"2";"";"";"50%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"55.0";"11.3";"No precipitation";"1";"";"";"";"";
"20.06.2019 02:00";"19.3";"709.6";"759.8";"1.2";"57";"Wind blowing from the north";"3";"";"15";"";" ";"";"";"";"";"";"";"";"";"";"60.0";"10.6";"0.1";"6";"";"";"";"";
"20.06.2019 01:00";"20.2";"709.7";"759.8";"2.4";"54";"Wind blowing from the south-east";"5";"";"15";"90  or more, but not 100%";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"70.0";"10.5";"No precipitation";"1";"";"";"";"";
"20.06.2019 00:00";"20.6";"708.8";"758.8";"1.8";"53";"Wind blowing from the south-east";"9";"14";"15";"100%.";" ";"";"";"";"";"";"";"1000-1500";"";"";"60.0";"10.5";"No precipitation";"1";"";"";"";"";
"19.06.2019 23:00";"21.6";"708.4";"758.0";"1.7";"62";"Wind blowing from the north";"2";"";"";"40%.";"Precipitation within sight, reaching the ground or the surface of the sea, but distant, i.e. estimated to be more than 5 km from the station. ";"";"";"";"";"";"";"2000-2500";"";"";"60.0";"13.9";"0.1";"1";"";"";"";"";
"19.06.2019 22:00";"21.9";"707.3";"756.9";"0.9";"57";"Wind blowing from the north";"2";"";"";"10%  or less, but not 0";" ";"";"";"";"";"";"";"2000-2500";"";"";"60.0";"13.0";"No precipitation";"1";"";"";"";"";
"19.06.2019 21:00";"23.5";"707.0";"756.3";"0.7";"49";"Wind blowing from the north";"2";"";"";"20–30%.";" ";"";"";"";"";"";"";"2000-2500";"";"";"55.0";"12.1";"No precipitation";"1";"";"";"";"";
"19.06.2019 20:00";"26.2";"706.7";"755.5";"0.1";"40";"Wind blowing from the north";"3";"";"";"20–30%.";" ";"";"";"";"29.6";"";"";"2000-2500";"";"";"55.0";"11.7";"No precipitation";"1";"";"";"";"";
"19.06.2019 19:00";"27.4";"706.4";"755.0";"-0.6";"40";"Wind blowing from the north-east";"3";"";"";"20–30%.";" ";"";"";"";"";"";"";"2000-2500";"";"";"45.0";"12.7";"No precipitation";"1";"";"";"";"";
"19.06.2019 18:00";"28.1";"706.3";"754.8";"-1.3";"36";"Wind blowing from the north-east";"4";"";"";"20–30%.";" ";"";"";"";"";"";"";"2000-2500";"";"";"60.0";"11.8";"No precipitation";"1";"";"";"";"";
"19.06.2019 17:00";"28.2";"706.6";"755.1";"-1.5";"37";"Wind blowing from the north-east";"5";"";"";"20–30%.";" ";"";"";"";"";"";"";"2000-2500";"";"";"65.0";"12.2";"No precipitation";"1";"";"";"";"";
"19.06.2019 16:00";"28.9";"707.0";"755.5";"-1.8";"31";"Wind blowing from the north";"2";"";"";"20–30%.";" ";"";"";"";"";"";"";"2000-2500";"";"";"50.0";"10.3";"No precipitation";"1";"";"";"";"";
"19.06.2019 15:00";"27.8";"707.6";"756.2";"-1.6";"36";"Wind blowing from the north";"2";"";"";"20–30%.";" ";"";"";"";"";"";"";"2000-2500";"";"";"65.0";"11.3";"No precipitation";"1";"";"";"";"";
"19.06.2019 14:00";"26.6";"708.1";"757.0";"";"45";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"";"";"";"2000-2500";"";"";"60.0";"13.6";"No precipitation";"1";"";"";"";"";
"19.06.2019 13:00";"24.5";"708.8";"758.1";"-1.4";"47";"Wind blowing from the north";"1";"";"";"50%.";" ";"";"";"";"";"";"";"2000-2500";"";"";"50.0";"12.4";"No precipitation";"1";"";"";"";"";
"19.06.2019 12:00";"21.6";"709.2";"758.9";"-1.3";"66";"Wind blowing from the north";"3";"";"";"60%.";" ";"";"";"";"";"";"";"1500-2000";"";"";"35.0";"14.9";"No precipitation";"1";"";"";"";"";
"19.06.2019 11:00";"20.1";"709.6";"759.5";"-1.2";"75";"Wind blowing from the west";"3";"";"";"60%.";" ";"";"";"";"";"";"";"600-1000";"";"";"35.0";"15.5";"No precipitation";"1";"";"";"";"";
"19.06.2019 10:00";"18.5";"710.2";"760.5";"-0.9";"79";"Wind blowing from the west";"5";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"300-600";"";"";"45.0";"14.8";"No precipitation";"1";"";"";"";"";
"19.06.2019 09:00";"16.9";"710.5";"761.2";"-0.9";"86";"Wind blowing from the north";"2";"";"";"90  or more, but not 100%";" ";"";"";"";"";"";"";"300-600";"";"";"35.0";"14.6";"No precipitation";"1";"";"";"";"";
"19.06.2019 08:00";"15.8";"710.8";"761.7";"-0.6";"92";"Wind blowing from the west";"3";"";"";"90  or more, but not 100%";" ";"";"";"14.9";"";"";"";"200-300";"";"";"40.0";"14.5";"11.0";"12";"";"";"";"";
"19.06.2019 07:00";"15.3";"711.1";"762.1";"-0.4";"92";"Wind blowing from the north";"2";"";"";"90  or more, but not 100%";" ";"";"";"";"";"";"";"200-300";"";"";"40.0";"14.0";"Trace of precipitation";"1";"";"";"";"";
"19.06.2019 06:00";"15.2";"711.4";"762.4";"-0.5";"94";"Wind blowing from the west-northwest";"4";"";"";"100%.";"Rain shower(s), slight. ";"";"";"";"";"";"";"100-200";"";"";"27.0";"14.2";"Trace of precipitation";"1";"";"";"";"";
"19.06.2019 05:00";"15.0";"711.4";"762.5";"-0.8";"95";"Wind blowing from the north";"3";"";"";"100%.";" ";"";"";"";"";"";"";"100-200";"";"";"28.0";"14.2";"No precipitation";"1";"";"";"";"";
"19.06.2019 04:00";"15.3";"711.5";"762.5";"-1.0";"96";"Wind blowing from the north";"3";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"100-200";"";"";"27.0";"14.6";"No precipitation";"1";"";"";"";"";
"19.06.2019 03:00";"15.8";"711.9";"762.8";"-0.4";"95";"Wind blowing from the north";"2";"";"";"90  or more, but not 100%";" ";"";"";"";"";"";"";"100-200";"";"";"18.0";"15.0";"No precipitation";"1";"";"";"";"";
"19.06.2019 02:00";"16.2";"712.2";"763.0";"1.5";"94";"Wind blowing from the north";"1";"";"17";"100%.";" ";"";"";"";"";"";"";"200-300";"";"";"30.0";"15.2";"11.0";"6";"";"";"";"";
"19.06.2019 01:00";"16.1";"712.5";"763.4";"3.5";"93";"Wind blowing from the north";"2";"";"";"100%.";"Rain, not freezing, continuous, slight at time of observation. ";"";"";"";"";"";"";"1000-1500";"";"";"15.0";"15.0";"1.0";"1";"";"";"";"";
"19.06.2019 00:00";"16.2";"712.3";"763.3";"3.6";"90";"Wind blowing from the west-northwest";"4";"";"16";"100%.";"Rain shower(s), slight. ";"";"";"";"";"";"";"600-1000";"";"";"25.0";"14.5";"8.0";"1";"";"";"";"";
"18.06.2019 23:00";"19.1";"710.7";"760.9";"2.3";"77";"Wind blowing from the west";"10";"16";"";"100%.";"Rain shower(s), moderate or heavy. ";"";"";"";"";"";"";"1000-1500";"";"";"8.0";"15.0";"2.0";"1";"";"";"";"";
"18.06.2019 22:00";"23.7";"709.0";"758.5";"1.2";"47";"Wind blowing from the east-southeast";"3";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"2000-2500";"";"";"40.0";"11.8";"No precipitation";"1";"";"";"";"";
"18.06.2019 21:00";"24.9";"708.7";"757.9";"1.1";"43";"Wind blowing from the north-northeast";"4";"";"";"70 – 80%.";"Thunderstorm, but no precipitation at the time of observation. ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"50.0";"11.3";"No precipitation";"1";"";"";"";"";
"18.06.2019 20:00";"26.0";"708.4";"757.4";"0.7";"43";"Wind blowing from the north-east";"4";"";"";"60%.";" ";"";"";"";"31.1";"";"";"2000-2500";"";"";"60.0";"12.5";"No precipitation";"1";"";"";"";"";
"18.06.2019 19:00";"28.1";"707.8";"756.4";"-0.1";"38";"Wind blowing from the east";"6";"";"";"40%.";" ";"";"";"";"";"";"";"2000-2500";"";"";"50.0";"12.4";"No precipitation";"1";"";"";"";"";
"18.06.2019 18:00";"29.4";"707.6";"756.0";"-1.0";"35";"Wind blowing from the east";"6";"";"";"40%.";" ";"";"";"";"";"";"";"2000-2500";"";"";"60.0";"12.5";"No precipitation";"1";"";"";"";"";
"18.06.2019 17:00";"30.6";"707.7";"755.8";"-1.4";"29";"Wind blowing from the east";"3";"";"";"40%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"55.0";"10.7";"No precipitation";"1";"";"";"";"";
"18.06.2019 16:00";"30.5";"707.9";"756.1";"-1.7";"25";"Wind blowing from the north";"2";"";"";"40%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"45.0";"8.1";"No precipitation";"1";"";"";"";"";
"18.06.2019 15:00";"30.0";"708.6";"757.0";"";"22";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"65.0";"6.3";"No precipitation";"1";"";"";"";"";
"18.06.2019 14:00";"28.8";"709.1";"757.6";"-1.7";"33";"Wind blowing from the north";"1";"";"";"20–30%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"55.0";"11.1";"No precipitation";"1";"";"";"";"";
"18.06.2019 13:00";"27.5";"709.6";"758.5";"-1.6";"37";"Wind blowing from the north";"1";"";"";"20–30%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"40.0";"11.7";"No precipitation";"1";"";"";"";"";
"18.06.2019 12:00";"25.2";"710.3";"759.5";"-1.4";"46";"Wind blowing from the north";"1";"";"";"20–30%.";" ";"";"";"";"";"";"";"2000-2500";"";"";"18.0";"12.9";"No precipitation";"1";"";"";"";"";
"18.06.2019 11:00";"24.4";"710.8";"760.2";"-1.2";"49";"Wind blowing from the north";"1";"";"";"10%  or less, but not 0";" ";"";"";"";"";"";"";"2000-2500";"";"";"28.0";"13.0";"No precipitation";"1";"";"";"";"";
"18.06.2019 10:00";"22.1";"711.2";"761.0";"-0.6";"59";"Wind blowing from the north";"1";"";"";"20–30%.";" ";"";"";"";"";"";"";"2000-2500";"";"";"45.0";"13.7";"No precipitation";"1";"";"";"";"";
"18.06.2019 09:00";"19.5";"711.7";"762.1";"-0.1";"68";"Wind blowing from the north";"2";"";"";"40%.";" ";"";"";"";"";"";"";"2000-2500";"";"";"55.0";"13.4";"No precipitation";"1";"";"";"";"";
"18.06.2019 08:00";"17.8";"712.0";"762.6";"0.2";"77";"Wind blowing from the north";"2";"";"";"40%.";" ";"";"";"14.0";"";"";"";"2500 or more, or no clouds.";"";"";"45.0";"13.6";"1.0";"12";"";"";"";"";
"18.06.2019 07:00";"16.2";"711.8";"762.7";"0.1";"86";"Wind blowing from the north";"2";"";"";"40%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"35.0";"13.8";"No precipitation";"1";"";"";"";"";
"18.06.2019 06:00";"14.2";"711.8";"763.1";"0.0";"93";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"28.0";"13.1";"No precipitation";"1";"";"";"";"";
"18.06.2019 05:00";"14.5";"711.8";"763.0";"-0.5";"92";"Wind blowing from the north";"1";"";"";"40%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"30.0";"13.2";"No precipitation";"1";"";"";"";"";
"18.06.2019 04:00";"15.7";"711.7";"762.7";"-0.6";"88";"Wind blowing from the north";"2";"";"";"10%  or less, but not 0";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"35.0";"13.7";"No precipitation";"1";"";"";"";"";
"18.06.2019 03:00";"16.3";"711.8";"762.7";"-0.2";"90";"Wind blowing from the north";"1";"";"";"10%  or less, but not 0";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"40.0";"14.6";"No precipitation";"1";"";"";"";"";
"18.06.2019 02:00";"17.2";"712.3";"763.0";"";"85";"Wind blowing from the west-southwest";"3";"";"";"100%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"50.0";"14.6";"1.0";"6";"";"";"";"";
"18.06.2019 01:00";"17.3";"712.3";"763.0";"0.5";"90";"Wind blowing from the north";"1";"";"";"90  or more, but not 100%";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"40.0";"15.6";"No precipitation";"1";"";"";"";"";
"18.06.2019 00:00";"17.8";"712.0";"762.6";"0.9";"87";"Wind blowing from the north";"1";"";"";"100%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"30.0";"15.6";"Trace of precipitation";"1";"";"";"";"";
"17.06.2019 23:00";"18.3";"712.1";"762.6";"1.9";"86";"Wind blowing from the north";"1";"";"";"100%.";"Rain shower(s), slight. ";"";"";"";"";"";"";"1500-2000";"";"";"30.0";"15.9";"Trace of precipitation";"1";"";"";"";"";
"17.06.2019 22:00";"18.6";"711.8";"762.2";"2.0";"88";"Wind blowing from the north";"3";"";"";"100%.";" ";"";"";"";"";"";"";"1000-1500";"";"";"45.0";"16.5";"Trace of precipitation";"1";"";"";"";"";
"17.06.2019 21:00";"20.1";"711.1";"761.2";"1.5";"78";"Wind blowing from the north";"1";"";"";"100%.";"Thunderstorm, slight or moderate, without hail, but with rain and/or snow at time of observation. ";"";"";"";"";"";"";"1000-1500";"";"";"20.0";"16.1";"1.0";"1";"";"";"";"";
"17.06.2019 20:00";"24.0";"710.2";"759.5";"0.6";"53";"Wind blowing from the east-northeast";"5";"";"";"90  or more, but not 100%";" ";"";"";"";"27.6";"";"";"1500-2000";"";"";"50.0";"13.9";"No precipitation";"1";"";"";"";"";
"17.06.2019 19:00";"25.6";"709.8";"758.9";"";"50";"Wind blowing from the east";"5";"";"";"60%.";" ";"";"";"";"";"";"";"1500-2000";"";"";"60.0";"14.3";"No precipitation";"1";"";"";"";"";
"17.06.2019 18:00";"26.7";"709.6";"758.5";"-1.1";"44";"Wind blowing from the east-northeast";"6";"";"";"60%.";" ";"";"";"";"";"";"";"2000-2500";"";"";"50.0";"13.6";"No precipitation";"1";"";"";"";"";
"17.06.2019 17:00";"27.2";"709.6";"758.5";"-1.6";"42";"Wind blowing from the east-northeast";"5";"";"";"40%.";" ";"";"";"";"";"";"";"2000-2500";"";"";"35.0";"13.2";"No precipitation";"1";"";"";"";"";
"17.06.2019 16:00";"26.6";"710.0";"759.0";"-2.0";"44";"Wind blowing from the east-northeast";"4";"";"";"40%.";" ";"";"";"";"";"";"";"2000-2500";"";"";"50.0";"13.2";"No precipitation";"1";"";"";"";"";
"17.06.2019 15:00";"25.8";"710.7";"759.8";"-1.8";"43";"Wind blowing from the east-northeast";"3";"";"";"40%.";" ";"";"";"";"";"";"";"2000-2500";"";"";"50.0";"12.3";"No precipitation";"1";"";"";"";"";
"17.06.2019 14:00";"24.7";"711.2";"760.6";"-1.9";"51";"Wind blowing from the north";"3";"";"";"40%.";" ";"";"";"";"";"";"";"2000-2500";"";"";"45.0";"13.9";"No precipitation";"1";"";"";"";"";
"17.06.2019 13:00";"23.2";"712.0";"761.6";"-1.7";"50";"Wind blowing from the north";"2";"";"";"20–30%.";" ";"";"";"";"";"";"";"1500-2000";"";"";"45.0";"12.3";"No precipitation";"1";"";"";"";"";
"17.06.2019 12:00";"21.3";"712.5";"762.5";"-1.9";"57";"Wind blowing from the north";"2";"";"";"20–30%.";" ";"";"";"";"";"";"";"1500-2000";"";"";"3.7";"12.4";"No precipitation";"1";"";"";"";"";
"17.06.2019 11:00";"20.3";"713.1";"763.3";"-1.6";"56";"Wind blowing from the north";"1";"";"";"20–30%.";" ";"";"";"";"";"";"";"1000-1500";"";"";"15.0";"11.3";"No precipitation";"1";"";"";"";"";
"17.06.2019 10:00";"18.8";"713.7";"764.3";"-1.0";"63";"Wind blowing from the north";"2";"";"";"40%.";" ";"";"";"";"";"";"";"600-1000";"";"";"24.0";"11.6";"No precipitation";"1";"";"";"";"";
"17.06.2019 09:00";"17.5";"714.4";"765.4";"-0.2";"67";"Wind blowing from the north";"2";"";"";"40%.";" ";"";"";"";"";"";"";"600-1000";"";"";"50.0";"11.3";"No precipitation";"1";"";"";"";"";
"17.06.2019 08:00";"15.3";"714.7";"766.0";"";"80";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"11.5";"";"";"";"600-1000";"";"";"45.0";"11.9";"No precipitation";"1";"";"";"";"";
"17.06.2019 07:00";"12.8";"714.7";"766.4";"0.4";"87";"Wind blowing from the north";"1";"";"";"60%.";" ";"";"";"";"";"";"";"600-1000";"";"";"55.0";"10.7";"No precipitation";"1";"";"";"";"";
"17.06.2019 06:00";"11.9";"714.6";"766.6";"0.2";"89";"Wind blowing from the north";"1";"";"";"60%.";" ";"";"";"";"";"";"";"600-1000";"";"";"45.0";"10.1";"No precipitation";"1";"";"";"";"";
"17.06.2019 05:00";"12.2";"714.4";"766.3";"-0.3";"89";"Wind blowing from the north";"1";"";"";"10%  or less, but not 0";" ";"";"";"";"";"";"";"1000-1500";"";"";"50.0";"10.5";"No precipitation";"1";"";"";"";"";
"17.06.2019 04:00";"13.1";"714.3";"766.0";"-0.6";"87";"Wind blowing from the north";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"55.0";"10.9";"No precipitation";"1";"";"";"";"";
"17.06.2019 03:00";"13.8";"714.4";"766.0";"-0.7";"86";"Wind blowing from the north";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"45.0";"11.4";"No precipitation";"1";"";"";"";"";
"17.06.2019 02:00";"14.8";"714.7";"766.0";"-0.6";"82";"Wind blowing from the north";"1";"";"";"10%  or less, but not 0";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"45.0";"11.7";"No precipitation";"1";"";"";"";"";
"17.06.2019 01:00";"16.4";"714.9";"766.0";"";"77";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"";"";"";"1500-2000";"";"";"50.0";"12.4";"No precipitation";"1";"";"";"";"";
"17.06.2019 00:00";"16.3";"715.1";"766.3";"0.4";"77";"Wind blowing from the north";"1";"";"";"100%.";" ";"";"";"";"";"";"";"1000-1500";"";"";"55.0";"12.3";"No precipitation";"1";"";"";"";"";
"16.06.2019 23:00";"16.7";"715.3";"766.3";"0.7";"75";"Wind blowing from the north";"1";"";"";"100%.";" ";"";"";"";"";"";"";"1500-2000";"";"";"55.0";"12.3";"No precipitation";"1";"";"";"";"";
"16.06.2019 22:00";"16.9";"714.9";"765.9";"0.5";"75";"Wind blowing from the north";"1";"";"";"100%.";" ";"";"";"";"";"";"";"1500-2000";"";"";"50.0";"12.4";"No precipitation";"1";"";"";"";"";
"16.06.2019 21:00";"17.0";"714.7";"765.6";"0.5";"75";"Wind blowing from the north";"2";"";"";"100%.";" ";"";"";"";"";"";"";"1500-2000";"";"";"70.0";"12.6";"No precipitation";"1";"";"";"";"";
"16.06.2019 20:00";"18.0";"714.6";"765.4";"0.4";"67";"Wind blowing from the north";"2";"";"";"100%.";" ";"";"";"";"19.9";"";"";"1500-2000";"";"";"65.0";"11.8";"No precipitation";"1";"";"";"";"";
"16.06.2019 19:00";"18.3";"714.4";"765.1";"0.5";"66";"Wind blowing from the north";"1";"";"";"90  or more, but not 100%";" ";"";"";"";"";"";"";"1500-2000";"";"";"55.0";"11.7";"No precipitation";"1";"";"";"";"";
"16.06.2019 18:00";"18.7";"714.2";"764.8";"0.4";"61";"Wind blowing from the north";"2";"";"";"90  or more, but not 100%";" ";"";"";"";"";"";"";"1500-2000";"";"";"60.0";"11.0";"No precipitation";"1";"";"";"";"";
"16.06.2019 17:00";"19.0";"714.2";"764.8";"0.2";"61";"Wind blowing from the north";"3";"";"";"100%.";" ";"";"";"";"";"";"";"1000-1500";"";"";"65.0";"11.2";"No precipitation";"1";"";"";"";"";
"16.06.2019 16:00";"19.9";"713.9";"764.3";"-0.2";"57";"Wind blowing from the north";"3";"";"";"100%.";" ";"";"";"";"";"";"";"1000-1500";"";"";"55.0";"11.0";"No precipitation";"1";"";"";"";"";
