date,mean_temp (deg C),min_temp (deg C),max_temp (deg C),mean_pressure (mb),mean_humidity (%),mean_wind (ms-1),precip_sum (mm),month,month-year,year
2015-04-11,10.912500000000001,8.2,14.1,761.3249999999999,60.958333333333336,6.083333333333333,1.2,Apr,Apr-2015,2015
2015-04-12,10.813043478260868,4.4,18.3,767.2347826086956,62.0,6.217391304347826,0.0,Apr,Apr-2015,2015
2015-04-13,11.204166666666666,8.0,17.1,770.6541666666667,68.625,3.0,0.0,Apr,Apr-2015,2015
2015-04-14,13.318181818181813,5.7,22.2,767.0818181818183,70.18181818181819,4.545454545454546,0.4,Apr,Apr-2015,2015
2015-04-15,16.469565217391306,8.7,24.6,760.9521739130433,54.73913043478261,3.0434782608695654,0.0,Apr,Apr-2015,2015
2015-04-16,12.170833333333334,8.7,17.7,759.4375000000001,63.416666666666664,4.25,0.0,Apr,Apr-2015,2015
2015-04-17,10.987499999999999,8.4,15.6,762.6750000000001,56.666666666666664,5.041666666666667,0.0,Apr,Apr-2015,2015
2015-04-18,9.873913043478263,5.1,15.1,768.3086956521738,58.34782608695652,5.913043478260869,0.0,Apr,Apr-2015,2015
2015-04-19,8.382608695652173,4.8,11.9,766.5521739130435,64.43478260869566,3.6956521739130435,0.0,Apr,Apr-2015,2015
2015-04-20,11.069565217391302,3.7,18.8,769.6000000000001,62.30434782608695,3.652173913043478,0.0,Apr,Apr-2015,2015
2015-04-21,11.795652173913044,4.6,19.1,773.0217391304346,56.91304347826087,3.5652173913043477,0.0,Apr,Apr-2015,2015
2015-04-22,10.891304347826088,5.3,16.5,770.6173913043478,63.91304347826087,4.3478260869565215,0.0,Apr,Apr-2015,2015
2015-04-23,11.139130434782611,6.1,17.7,763.0391304347827,66.78260869565217,2.8260869565217392,0.0,Apr,Apr-2015,2015
2015-04-24,12.083333333333334,6.7,18.3,756.6458333333335,73.66666666666667,4.458333333333333,0.0,Apr,Apr-2015,2015
2015-04-25,13.458333333333334,11.1,18.6,752.1958333333333,79.41666666666667,5.208333333333333,3.6,Apr,Apr-2015,2015
2015-04-26,9.508333333333335,7.3,11.5,753.6041666666665,79.16666666666667,3.25,6.0,Apr,Apr-2015,2015
2015-04-27,8.3875,3.6,13.4,756.379166666667,53.458333333333336,3.1666666666666665,0.0,Apr,Apr-2015,2015
2015-04-28,8.686363636363636,3.1,15.7,760.0636363636363,59.63636363636363,5.5,0.0,Apr,Apr-2015,2015
2015-04-29,9.375,6.8,14.1,757.8166666666666,67.70833333333333,5.625,4.0,Apr,Apr-2015,2015
2015-04-30,9.904166666666667,4.1,15.9,756.3708333333334,58.875,4.625,0.0,Apr,Apr-2015,2015
2015-05-01,8.940909090909093,5.9,13.6,755.6863636363636,61.63636363636363,4.863636363636363,0.0,May,May-2015,2015
2015-05-02,9.812500000000002,6.2,15.7,754.8833333333333,68.95833333333333,4.708333333333333,0.0,May,May-2015,2015
2015-05-03,14.141666666666666,9.4,20.3,746.5083333333332,82.91666666666667,6.583333333333333,4.8,May,May-2015,2015
2015-05-04,13.843478260869567,11.1,18.9,749.2565217391303,70.8695652173913,5.173913043478261,0.2,May,May-2015,2015
2015-05-05,14.041666666666666,12.1,16.4,743.8125000000001,73.0,9.583333333333334,14.0,May,May-2015,2015
2015-05-06,11.5,8.1,14.8,750.6,76.3913043478261,9.347826086956522,8.0,May,May-2015,2015
2015-05-07,12.195652173913047,8.5,17.5,759.3666666666668,65.78260869565217,5.416666666666667,0.4,May,May-2015,2015
2015-05-08,12.30833333333333,7.9,16.7,757.8083333333334,73.0,3.7083333333333335,0.0,May,May-2015,2015
2015-05-09,13.821739130434784,11.3,19.3,759.3434782608695,63.82608695652174,7.608695652173913,0.4,May,May-2015,2015
2015-05-10,14.041666666666666,8.6,19.4,765.0791666666668,70.125,4.333333333333333,0.0,May,May-2015,2015
2015-05-11,15.381818181818183,11.1,21.6,761.3227272727272,70.81818181818181,4.7727272727272725,0.0,May,May-2015,2015
2015-05-12,13.582608695652175,10.7,18.2,762.0652173913045,57.608695652173914,6.217391304347826,0.4,May,May-2015,2015
2015-05-13,13.469565217391308,6.0,20.1,762.1304347826087,55.130434782608695,2.782608695652174,0.0,May,May-2015,2015
2015-05-14,9.4625,8.4,11.6,757.3666666666668,85.58333333333333,4.958333333333333,13.0,May,May-2015,2015
2015-05-15,11.125,7.7,15.6,763.375,73.33333333333333,4.041666666666667,3.0,May,May-2015,2015
2015-05-16,14.434782608695652,11.2,18.8,765.591304347826,61.69565217391305,4.826086956521739,0.0,May,May-2015,2015
2015-05-17,11.991666666666669,6.4,17.7,766.5625000000001,63.083333333333336,4.791666666666667,0.0,May,May-2015,2015
2015-05-18,11.762499999999998,8.9,15.8,753.3625000000001,70.04166666666667,7.291666666666667,2.0,May,May-2015,2015
2015-05-19,9.741666666666667,7.2,14.7,751.5375,70.0,6.916666666666667,3.0,May,May-2015,2015
2015-05-20,10.195652173913045,4.0,16.0,760.1043478260871,66.65217391304348,4.260869565217392,0.4,May,May-2015,2015
2015-05-21,13.279166666666667,5.3,20.4,767.0708333333333,57.708333333333336,3.8333333333333335,0.0,May,May-2015,2015
2015-05-22,14.03333333333333,7.4,19.6,766.8583333333336,74.16666666666667,3.3333333333333335,0.0,May,May-2015,2015
2015-05-23,14.81304347826087,12.8,17.7,766.0826086956522,68.17391304347827,3.5217391304347827,0.0,May,May-2015,2015
2015-05-24,15.441666666666672,12.0,20.0,762.9041666666668,67.41666666666667,4.041666666666667,0.2,May,May-2015,2015
2015-05-25,13.49583333333333,8.9,16.7,762.6041666666666,60.583333333333336,3.375,0.0,May,May-2015,2015
2015-05-26,14.158333333333333,9.3,19.7,765.3916666666669,62.375,3.4583333333333335,0.0,May,May-2015,2015
2015-05-27,13.417391304347829,7.3,20.3,765.1217391304348,62.04347826086956,4.130434782608695,0.0,May,May-2015,2015
2015-05-28,14.174999999999999,11.3,18.1,758.7541666666667,52.916666666666664,6.208333333333333,0.0,May,May-2015,2015
2015-05-29,11.195833333333335,9.2,14.6,754.6125000000001,69.95833333333333,5.541666666666667,5.0,May,May-2015,2015
2015-05-30,11.476190476190474,6.6,18.6,757.7571428571429,64.0,4.619047619047619,0.0,May,May-2015,2015
2015-05-31,13.147826086956524,9.7,16.3,753.4695652173913,76.34782608695652,6.173913043478261,4.0,May,May-2015,2015
2015-06-01,11.478260869565217,7.6,16.5,757.3086956521738,64.26086956521739,7.3478260869565215,0.0,Jun,Jun-2015,2015
2015-06-02,14.920833333333329,10.7,20.1,751.375,80.58333333333333,9.625,0.8,Jun,Jun-2015,2015
2015-06-03,15.213043478260872,11.1,20.4,763.1260869565216,55.78260869565217,5.434782608695652,0.0,Jun,Jun-2015,2015
2015-06-04,16.724999999999998,8.5,23.6,765.9958333333333,53.708333333333336,3.25,0.0,Jun,Jun-2015,2015
2015-06-05,17.695454545454552,12.6,24.4,759.7318181818183,67.4090909090909,4.636363636363637,1.0,Jun,Jun-2015,2015
2015-06-06,13.995454545454544,8.4,20.5,766.0227272727275,55.40909090909091,6.363636363636363,0.0,Jun,Jun-2015,2015
2015-06-07,14.350000000000001,7.5,20.4,771.2590909090909,54.40909090909091,3.0,0.0,Jun,Jun-2015,2015
2015-06-08,13.9375,9.1,18.9,772.6541666666667,56.375,3.5,0.0,Jun,Jun-2015,2015
2015-06-09,11.608333333333333,7.1,15.7,772.4958333333334,60.125,5.291666666666667,0.0,Jun,Jun-2015,2015
2015-06-10,13.782608695652172,9.4,19.2,769.1652173913043,54.30434782608695,5.304347826086956,0.0,Jun,Jun-2015,2015
2015-06-11,17.370833333333337,9.5,24.7,762.2375000000001,57.0,5.458333333333333,0.0,Jun,Jun-2015,2015
2015-06-12,19.141666666666666,12.9,25.4,754.9083333333332,65.83333333333333,3.0416666666666665,0.0,Jun,Jun-2015,2015
2015-06-13,16.862500000000008,14.7,20.0,754.4333333333333,81.125,4.875,0.4,Jun,Jun-2015,2015
2015-06-14,14.450000000000003,12.3,18.1,757.8833333333336,77.0,3.5416666666666665,0.4,Jun,Jun-2015,2015
2015-06-15,14.895833333333334,11.2,20.7,764.0500000000001,60.416666666666664,4.208333333333333,0.0,Jun,Jun-2015,2015
2015-06-16,16.356521739130432,9.2,24.5,766.821739130435,57.95652173913044,3.0,0.0,Jun,Jun-2015,2015
2015-06-17,18.391666666666666,11.7,26.1,765.1791666666667,68.70833333333333,6.041666666666667,0.0,Jun,Jun-2015,2015
2015-06-18,17.729166666666664,14.2,22.1,763.3958333333334,57.833333333333336,4.041666666666667,0.0,Jun,Jun-2015,2015
2015-06-19,16.41304347826087,11.3,22.1,764.1434782608695,56.26086956521739,3.391304347826087,0.0,Jun,Jun-2015,2015
2015-06-20,16.47391304347826,12.9,20.4,763.6043478260871,75.65217391304348,3.0,3.0,Jun,Jun-2015,2015
2015-06-21,16.754545454545454,14.0,21.2,760.05,64.95454545454545,6.136363636363637,0.0,Jun,Jun-2015,2015
2015-06-22,14.233333333333334,10.9,18.4,756.1625,70.95833333333333,5.041666666666667,6.6000000000000005,Jun,Jun-2015,2015
2015-06-23,15.887500000000001,11.8,21.3,761.0,60.458333333333336,2.875,0.0,Jun,Jun-2015,2015
2015-06-24,17.908333333333335,12.4,24.4,763.1208333333335,60.041666666666664,4.291666666666667,0.0,Jun,Jun-2015,2015
2015-06-25,18.8375,11.8,25.2,763.7458333333335,58.916666666666664,3.5833333333333335,0.0,Jun,Jun-2015,2015
2015-06-26,19.456521739130434,13.5,27.7,760.5999999999998,59.869565217391305,4.818181818181818,0.0,Jun,Jun-2015,2015
2015-06-27,18.491666666666664,11.7,25.1,762.2333333333335,59.791666666666664,4.375,0.0,Jun,Jun-2015,2015
2015-06-28,17.91666666666667,15.3,21.4,762.4833333333331,69.54166666666667,4.833333333333333,2.2,Jun,Jun-2015,2015
2015-06-29,19.26086956521739,13.3,25.9,764.091304347826,58.26086956521739,3.4347826086956523,0.0,Jun,Jun-2015,2015
