Event	IGSN	Sample label	Samp type	Latitude	Longitude	Mineral	Position	SiO2 [%]	TiO2 [%]	Al2O3 [%]	FeO [%]	MnO [%]	MgO [%]	CaO [%]	Na2O [%]	K2O [%]	Cr2O3 [%]	NiO [%]	Total [%]	δ18O [‰]	δ18O std dev [±]	Si [# of ions]	Ti [# of ions]	Al [# of ions]	Cr [# of ions]	Fe2+ [# of ions]	Fe3+ [# of ions]	Mn2+ [# of ions]	Mg [# of ions]	Ca [# of ions]	Na [# of ions]	K [# of ions]	Ni [# of ions]	Cat [#]	Mg#	En [%]	Fs [%]	Wo [%]	An [%]	Ab [%]	Or [%]
Pukeonake	hdl:10273/IELEG0006	NZ12	Pukeonake	-39.144856	175.566722	CPX 3	core	53.04	0.56	1.81	9.33	0.22	16.33	18.39	0.36	#0.00	0.14		100.18			1.96	0.02	0.08	0.00	0.29	0.00	0.01	0.90	0.73	0.03	0.00		4.00	75.00	47.00	15	38			
Pukeonake	hdl:10273/IELEG0006	NZ12	Pukeonake	-39.144856	175.566722	CPX 3	rim	51.85	0.66	2.53	10.66	0.28	15.65	17.28	0.41	#0.00	0.12		99.45			1.94	0.02	0.11	0.00	0.33	0.00	0.01	0.87	0.69	0.03	0.00		4.00	72.00	46.00	18	36			
Pukeonake	hdl:10273/IELEG0006	NZ12	Pukeonake	-39.144856	175.566722	CPX 4	core	51.90	0.70	2.16	10.42	0.28	15.34	18.10	0.38	#0.00	0.10		99.39			1.94	0.02	0.10	0.00	0.33	0.00	0.01	0.86	0.73	0.03	0.00		4.00	72.00	45.00	17	38			
Pukeonake	hdl:10273/IELEG0006	NZ12	Pukeonake	-39.144856	175.566722	CPX 4	rim	52.88	0.36	2.53	5.99	0.18	17.65	19.64	0.27	#0.00	0.46		99.96			1.93	0.01	0.11	0.01	0.18	0.00	0.01	0.96	0.77	0.02	0.00		4.01	84.00	50.00	10	40			
Pukeonake	hdl:10273/IELEG0006	NZ12	Pukeonake	-39.144856	175.566722	CPX 5	core	51.73	0.73	2.53	10.61	0.27	15.19	17.87	0.42	#0.00	0.16		99.51			1.93	0.02	0.11	0.00	0.33	0.00	0.01	0.85	0.72	0.03	0.00		4.00	71.00	44.00	18	38			
Pukeonake	hdl:10273/IELEG0006	NZ12	Pukeonake	-39.144856	175.566722	CPX 5	rim	52.78	0.37	3.04	6.76	0.14	17.60	18.90	0.39	#0.00	0.17		100.15			1.93	0.01	0.13	0.00	0.21	0.00	0.00	0.96	0.74	0.03	0.00		4.01	82.00	50.00	11	39			
Pukeonake	hdl:10273/IELEG0006	NZ12	Pukeonake	-39.144856	175.566722	CPX 6	core	52.26	0.67	2.09	9.67	0.21	15.90	18.46	0.34	#0.00	0.24		99.83			1.94	0.02	0.09	0.01	0.30	0.00	0.01	0.88	0.73	0.02	0.00		4.00	74.00	46.00	16	38			
Pukeonake	hdl:10273/IELEG0006	NZ12	Pukeonake	-39.144856	175.566722	CPX 6	rim	53.11	0.30	3.40	5.82	0.19	17.59	19.59	0.38	#0.00	0.43		100.81			1.92	0.01	0.14	0.01	0.18	0.00	0.01	0.95	0.76	0.03	0.00		4.00	84.00	50.00	10	40			
Ruapehu	hdl:10273/IELEG0003	NZ7	Ruapehu	-39.211971	175.540709	CPX 1	rim	52.19	0.46	1.56	10.66	0.18	14.50	20.07	0.26		0.03		99.91			1.95	0.01	0.07	0.00	0.33	0.00	0.01	0.81	0.80	0.02	0.00	0.00	4.01	70.00	41.00	17	41			
Ruapehu	hdl:10273/IELEG0003	NZ7	Ruapehu	-39.211971	175.540709	CPX 2	rim	51.99	0.62	2.18	11.75	0.21	13.74	19.89	0.32		0.01		100.71			1.94	0.02	0.10	0.00	0.37	0.00	0.01	0.76	0.79	0.02	0.00	0.00	4.01	67.00	40.00	19	41			
Pukeonake	hdl:10273/IELEG0001	NZ3	Pukeonake	-39.144991	175.565564	OPX 1	core	55.98	0.15	1.60	11.26	0.22	28.89	1.72	0.02	#0.00	0.18	#0.00	100.02			1.98	0.00	0.07	0.00	0.33	0.00	0.01	1.52	0.07	0.00	0.00	0.00	3.98	82.00	79.00	18	3			
Pukeonake	hdl:10273/IELEG0001	NZ3	Pukeonake	-39.144991	175.565564	OPX 1	rim	55.70	0.15	2.28	8.95	0.25	30.43	1.80	0.04	0.02	0.57	#0.00	100.19			1.95	0.00	0.09	0.02	0.26	0.00	0.01	1.59	0.07	0.00	0.00	0.00	3.99	85.00	83.00	14	4			
