Depth [m]	Age [ka BP]	G. bulloides δ18O [‰ PDB]
5.96	24.715	2.526
5.98	24.783	2.611
6.00	24.850	2.703
6.02	24.917	2.988
6.04	24.989	2.778
6.06	25.078	2.825
6.08	25.167	2.873
6.10	25.256	2.625
6.12	25.345	2.323
6.14	25.433	2.889
6.16	25.500	2.950
6.18	25.501	2.837
6.20	25.502	2.971
6.22	25.503	2.573
6.24	25.504	2.639
6.26	25.505	2.491
6.28	25.506	2.467
6.32	25.508	2.556
6.34	25.509	2.922
6.36	25.510	3.004
6.38	25.511	3.091
