Depth [m]	Age [ka BP]	Placoliths small [%]	Placoliths small acc rate [10**6 #/cm**2/ka]	G. muellerae [%]	G. muellerae acc rate [10**6 #/cm**2/ka]	G. oceanica [%]	G. oceanica acc rate [10**6 #/cm**2/ka]	F. profunda [%]	F. profunda acc rate [10**6 #/cm**2/ka]	Cocco rew [%]	Cocco rew acc rate [10**6 #/cm**2/ka]	E. huxleyi [%]	E. huxleyi acc rate [10**6 #/cm**2/ka]	Helicosphaera spp. [%]	Helicosphaera spp. acc rate [10**6 #/cm**2/ka]	Syracosphaera spp. [%]	Syracosphaera spp. acc rate [10**6 #/cm**2/ka]	O. fragilis [%]	Oolithotus fragilis acc rate [10**6 #/cm**2/ka]	Umbellosphaera spp. [%]	Umbellosphaera spp. acc rate [10**6 #/cm**2/ka]	Acc rate cocco [10**6 #/cm**2/ka]
3.50	18.43	67.11	170648.06	9.03	22952.66	0.20	498.97	0.20	498.97	4.91	12474.27	9.81	24948.55	0.78	1995.88	1.77	4490.74	0.06	149.69	0.00	0.00	288690.57
3.52	18.49	82.87	232285.18	2.68	7509.22	0.00	0.00	0.18	500.61	5.36	15018.44	1.79	5006.15	1.07	3003.69	1.61	4505.53	0.00	0.00	0.00	0.00	318230.59
3.54	18.54	78.78	219682.83	4.08	11379.97	0.18	494.78	0.53	1484.34	3.55	9895.62	5.68	15833.00	1.24	3463.47	0.53	1484.34	0.00	0.00	0.00	0.00	316600.83
3.56	18.59	75.53	313308.91	5.53	22925.04	0.18	764.17	0.00	0.00	4.24	17575.87	4.97	20632.54	1.84	7641.68	1.84	7641.68	0.07	305.67	0.00	0.00	470930.33
3.58	18.65	71.90	279533.00	5.83	22648.73	0.15	596.02	0.15	596.02	5.21	20264.65	7.05	27416.88	1.69	6556.21	1.38	5364.17	0.27	1043.03	0.00	0.00	441369.45
3.60	18.70	67.53	299571.29	8.61	38180.65	0.17	734.24	0.00	0.00	8.11	35977.92	7.94	35243.68	1.32	5873.95	1.32	5873.95	0.20	881.09	0.00	0.00	503673.01
3.62	18.75	77.53	254730.04	5.91	19408.00	0.18	606.50	0.37	1213.00	3.88	12736.50	4.98	16375.50	1.11	3639.00	1.48	4852.00	0.14	454.88	0.00	0.00	373042.00
3.64	18.81	72.59	273266.51	6.33	23842.04	0.16	611.33	0.32	1222.67	4.22	15894.70	6.33	23842.04	0.65	2445.34	2.76	10392.69	0.00	0.00	0.04	152.83	427377.09
3.66	18.86	69.50	266149.78	7.79	29814.59	0.19	727.19	0.19	727.19	4.37	16725.26	8.93	34177.70	1.52	5817.48	1.71	6544.67	0.15	581.75	0.04	145.44	434764.23
3.68	18.92	70.49	312016.69	8.22	36401.95	0.34	1485.79	0.00	0.00	4.53	20058.22	10.07	44573.81	1.68	7428.97	1.51	6686.07	0.17	742.90	0.00	0.00	502524.18
3.70	18.97	76.13	326800.81	6.97	29913.12	0.35	1495.66	0.00	0.00	4.53	19443.53	3.14	13460.90	1.57	6730.45	1.57	6730.45	0.14	598.26	0.00	0.00	487350.60
3.72	19.02	75.14	188236.19	7.79	19506.34	0.00	0.00	0.39	975.32	3.50	8777.85	5.06	12679.12	1.36	3413.61	1.56	3901.27	0.12	292.60	0.00	0.00	284415.53
3.74	19.08	70.23	244702.49	8.99	31326.65	0.00	0.00	0.00	0.00	3.73	13003.51	7.46	26007.03	1.02	3546.41	1.36	4728.55	0.04	147.77	0.00	0.00	395594.08
3.76	19.13	71.29	261649.14	10.09	37025.82	0.84	3085.49	0.00	0.00	3.87	14193.23	7.06	25918.08	0.34	1234.19	0.67	2468.39	0.08	308.55	0.00	0.00	416692.65
3.78	19.18	74.26	161822.83	8.93	19449.86	0.36	777.99	0.00	0.00	4.64	10113.93	4.82	10502.92	1.79	3889.97	0.71	1555.99	0.14	311.20	0.14	311.20	247410.13
3.80	19.24	68.32	227459.58	9.73	32406.88	0.18	611.45	0.00	0.00	4.78	15897.71	9.18	30572.52	1.84	6114.50	0.37	1222.90	0.18	611.45	0.09	305.73	377995.92
3.82	19.29	71.00	151548.52	8.50	18140.47	0.71	1511.71	0.00	0.00	3.72	7936.46	5.84	12471.57	0.71	1511.71	1.95	4157.19	0.07	151.17	0.00	0.00	242342.70
3.84	19.35	78.86	185890.18	5.87	13833.69	0.18	432.30	0.00	0.00	5.68	13401.38	1.28	3026.12	1.83	4323.03	1.47	3458.42	0.00	0.00	0.00	0.00	267640.24
3.86	19.40	75.36	163109.85	5.77	12480.70	0.60	1291.11	0.20	430.37	6.96	15062.91	2.19	4734.06	2.39	5164.43	1.39	3012.58	0.00	0.00	0.14	301.26	245750.11
3.88	19.45	75.27	191810.31	6.36	16209.32	0.35	900.52	0.18	450.26	5.30	13507.77	2.83	7204.14	3.18	8104.66	0.88	2251.29	0.00	0.00	0.19	472.77	289338.83
3.90	19.51	70.28	138885.31	11.68	23084.48	0.19	378.43	0.00	0.00	4.98	9839.29	5.36	10596.15	1.53	3027.47	1.53	3027.47	0.00	0.00	0.08	151.37	224364.97
3.92	19.56	71.33	166269.45	10.03	23381.64	0.19	432.99	0.19	432.99	6.32	14721.77	4.83	11257.83	1.67	3896.94	1.49	3463.95	0.13	303.10	0.07	151.55	264651.21
3.94	19.61	69.28	183006.60	13.12	34664.20	0.00	0.00	0.00	0.00	5.02	13253.96	5.60	14783.26	1.35	3568.37	1.35	3568.37	0.00	0.00	0.00	0.00	299914.62
3.96	19.67	67.04	139217.72	14.04	29165.72	0.19	388.88	0.19	388.88	5.99	12444.04	3.00	6222.02	1.69	3499.89	2.06	4277.64	0.07	155.55	0.00	0.00	235765.74
3.98	19.72	71.46	145889.36	10.15	20729.59	0.19	391.12	0.38	782.25	6.13	12515.98	3.07	6257.99	2.49	5084.62	1.92	3911.24	0.08	156.45	0.00	0.00	231799.90
4.00	19.77	74.73	179938.24	9.59	23103.18	0.18	444.29	0.00	0.00	3.69	8885.84	3.51	8441.55	1.48	3554.34	1.29	3110.04	0.00	0.00	0.13	311.00	273372.99
4.02	19.83	74.28	128669.33	8.70	15063.73	0.00	0.00	0.18	313.83	4.71	8159.52	1.45	2510.62	2.72	4707.41	0.72	1255.31	0.27	470.74	0.00	0.00	196679.09
4.04	19.88	73.41	137502.23	8.81	16500.27	0.92	1718.78	0.00	0.00	8.26	15469.00	2.02	3781.31	2.75	5156.33	0.55	1031.27	0.08	154.69	0.00	0.00	212644.74
4.08	20.00	78.22	191602.25	7.65	18748.67	0.37	914.57	0.19	457.28	4.48	10974.83	2.24	5487.42	2.24	5487.42	1.68	4115.56	0.11	274.37	0.00	0.00	310807.43
4.10	20.07	78.85	138247.99	6.50	11388.85	0.00	0.00	0.18	316.36	3.97	6959.85	2.89	5061.71	1.44	2530.86	2.35	4112.64	0.00	0.00	0.07	126.54	171503.84
4.12	20.14	74.56	121781.62	10.49	17135.10	0.19	305.98	0.00	0.00	5.43	8873.53	2.06	3365.82	1.31	2141.89	2.44	3977.79	0.00	0.00	0.22	367.18	159774.39
4.14	20.20	80.93	107118.68	2.37	3130.82	0.00	0.00	0.00	0.00	5.07	6708.89	0.68	894.52	1.35	1789.04	3.04	4025.34	0.09	123.00	0.00	0.00	129481.57
4.16	20.27	76.26	116281.62	6.81	10376.84	0.40	610.40	0.00	0.00	4.40	6714.42	1.00	1526.01	0.40	610.40	2.80	4272.82	0.00	0.00	0.16	244.16	149155.22
4.18	20.33	80.39	142701.80	5.27	9362.79	0.18	322.85	0.00	0.00	4.91	8717.08	1.82	3228.55	0.36	645.71	2.36	4197.11	0.00	0.00	0.00	0.00	173636.84
4.20	20.40	79.92	123823.81	5.77	8932.56	0.20	308.02	0.20	308.02	4.97	7700.49	0.40	616.04	0.60	924.06	2.98	4620.29	0.16	246.42	0.16	246.42	151557.00
4.22	20.47	77.19	103283.12	8.86	11860.26	0.00	0.00	0.18	247.09	2.22	2965.07	1.66	2223.80	0.37	494.18	2.59	3459.24	0.00	0.00	0.18	247.09	130882.46
4.24	20.53	81.62	126486.18	4.02	6230.85	0.00	0.00	0.20	311.54	4.22	6542.39	2.61	4050.05	1.01	1557.71	1.01	1557.71	0.16	249.23	0.16	249.23	151583.79
4.26	20.60	76.63	80334.26	6.57	6885.79	0.20	208.66	0.00	0.00	4.98	5216.51	1.59	1669.28	0.80	834.64	2.19	2295.26	0.00	0.00	0.36	375.59	102546.22
4.28	20.67	76.35	101935.52	9.31	12431.16	0.19	248.62	0.00	0.00	3.91	5221.09	1.68	2237.61	0.56	745.87	2.05	2734.86	0.09	124.31	0.37	497.25	130600.82
4.30	20.73	77.84	143193.04	7.50	13801.74	0.00	0.00	0.00	0.00	3.19	5865.74	3.56	6555.83	0.38	690.09	2.63	4830.61	0.07	120.77	0.07	120.77	179950.55
4.32	20.80	76.50	82172.64	5.56	5972.45	0.38	411.89	0.19	205.95	6.90	7414.07	0.96	1029.73	1.73	1853.52	2.30	2471.36	0.12	123.57	0.23	247.14	105080.44
4.34	20.86	79.16	121454.46	6.36	9765.18	0.00	0.00	0.00	0.00	5.17	7934.21	0.60	915.49	2.19	3356.78	1.19	1830.97	0.00	0.00	0.00	0.00	150091.32
