Depth [m]	Age [ka BP]	Placoliths small [%]	Placoliths small acc rate [10**6 #/cm**2/ka]	G. muellerae [%]	G. muellerae acc rate [10**6 #/cm**2/ka]	G. oceanica [%]	G. oceanica acc rate [10**6 #/cm**2/ka]	F. profunda [%]	F. profunda acc rate [10**6 #/cm**2/ka]	Cocco rew [%]	Cocco rew acc rate [10**6 #/cm**2/ka]	E. huxleyi [%]	E. huxleyi acc rate [10**6 #/cm**2/ka]	Helicosphaera spp. [%]	Helicosphaera spp. acc rate [10**6 #/cm**2/ka]	Syracosphaera spp. [%]	Syracosphaera spp. acc rate [10**6 #/cm**2/ka]	O. fragilis [%]	Oolithotus fragilis acc rate [10**6 #/cm**2/ka]	Umbellosphaera spp. [%]	Umbellosphaera spp. acc rate [10**6 #/cm**2/ka]	Acc rate cocco [10**6 #/cm**2/ka]
5.72	24.09	63.95	217715.24	8.11	27606.54	0.00	0.00	0.74	2509.69	8.66	29488.81	1.47	5019.37	3.32	11293.59	7.19	24469.44	0.00	0.00	0.00	0.00	314675.93
5.74	24.11	64.79	226123.49	6.79	23695.58	0.00	0.00	1.36	4739.12	7.57	26403.64	1.94	6770.16	3.10	10832.26	7.76	27080.66	0.13	440.06	0.13	440.06	322591.02
5.76	24.13	66.58	406831.57	6.78	41446.65	0.00	0.00	0.71	4362.80	5.53	33811.74	2.86	17451.22	1.43	8725.61	11.42	69804.88	0.00	0.00	0.00	0.00	564772.16
5.78	24.15	58.92	235119.38	7.79	31083.58	0.00	0.00	0.60	2391.04	13.78	54994.02	3.79	15143.28	3.00	11955.22	8.19	32677.61	0.00	0.00	0.00	0.00	368865.80
5.82	24.25	66.97	106167.22	6.83	10827.25	0.19	300.76	0.00	0.00	6.83	10827.25	8.16	12932.55	0.95	1503.78	5.88	9323.47	0.00	0.00	0.00	0.00	396264.51
5.84	24.31	61.85	64015.78	4.64	4801.18	0.00	0.00	0.19	200.05	6.57	6801.68	9.08	9402.32	2.13	2200.54	8.31	8602.12	0.12	120.03	0.12	120.03	120756.44
5.86	24.38	62.79	59209.66	4.16	3922.41	0.00	0.00	0.00	0.00	11.29	10646.53	7.53	7097.69	1.78	1681.03	6.54	6163.78	0.00	0.00	0.00	0.00	110012.61
5.88	24.45	61.29	69193.63	10.03	11318.71	0.00	0.00	0.19	213.56	7.57	8542.42	7.76	8755.98	2.08	2349.17	4.73	5339.01	0.00	0.00	0.00	0.00	131702.82
5.90	24.51	60.43	6464.58	3.96	423.28	0.00	0.00	0.36	38.48	14.75	1577.67	5.40	577.19	2.88	307.84	1.08	115.44	0.00	0.00	0.36	38.48	12480.24
5.92	24.58	60.94	5609.28	6.77	623.25	0.00	0.00	0.52	47.94	15.10	1390.33	1.56	143.83	1.04	95.89	1.04	95.89	0.00	0.00	0.00	0.00	10739.13
5.94	24.65	60.75	2927.35	6.54	315.25	0.00	0.00	0.00	0.00	19.63	945.76	2.80	135.11	0.00	0.00	0.93	45.04	0.00	0.00	0.00	0.00	5622.02
5.96	24.72	66.07	78136.74	11.28	13334.71	0.00	0.00	0.20	233.94	9.30	10995.29	5.54	6550.39	1.78	2105.48	1.19	1403.65	0.10	116.97	0.00	0.00	137967.50
5.98	24.78	73.72	142304.83	8.33	16077.71	0.00	0.00	1.06	2052.47	7.09	13683.16	3.19	6157.42	1.42	2736.63	0.35	684.16	0.25	478.91	0.00	0.00	225207.66
6.02	24.92	83.05	129968.02	5.65	8841.36	0.00	0.00	0.00	0.00	3.77	5894.24	2.45	3831.26	0.94	1473.56	1.13	1768.27	0.15	235.77	0.08	117.88	182574.12
6.06	25.08	71.06	43725.70	6.41	3941.47	0.00	0.00	0.00	0.00	11.21	6897.57	3.20	1970.74	0.80	492.68	0.40	246.34	0.16	98.54	0.00	0.00	86340.22
6.08	25.17	78.31	58777.41	6.85	5141.29	0.19	138.95	0.19	138.95	5.55	4168.61	1.48	1111.63	2.59	1945.35	1.11	833.72	0.00	0.00	0.00	0.00	206085.12
6.10	25.26	77.55	72965.33	6.73	6328.63	0.00	0.00	0.20	186.14	5.93	5584.08	2.57	2419.77	0.40	372.27	1.19	1116.82	0.00	0.00	0.00	0.00	258353.19
6.12	25.34	70.42	28661.21	6.68	2718.54	0.00	0.00	0.95	388.36	9.35	3805.96	3.63	1475.78	0.76	310.69	0.76	310.69	0.57	233.02	0.00	0.00	111753.63
6.14	25.43	65.43	25918.48	6.64	2630.53	0.00	0.00	0.39	154.74	12.70	5028.96	2.15	851.05	2.15	851.05	0.98	386.84	0.00	0.00	0.00	0.00	108766.94
6.18	25.50	69.41	97051.28	7.20	10068.72	0.20	279.69	1.00	1398.43	10.60	14823.39	1.80	2517.18	1.00	1398.43	2.40	3356.24	0.17	237.73	0.00	0.00	146663.16
