171011 80 OPL 20 PDMS 13,7 Fe 600 - 6000 Pa;;;;;;;;;;;
;;;;;;;;;;;
Overspeed at 6000 Pa;;;;;;;;;;;
;;;;;;;;;;;
shear rate;shear stress;viscosity;strain;% strain;torque;velocity;time global;time global;time;normal force;
1/s;Pa;Pa.s;;;micro N.m;rad/s;s;min;s;N;
4.36E-06;-7.80E-08;-0.01788;-1.56E-04;-0.015612;-2.35E-07;8.78E-07;760.008;12.7;760.01;5.62;
2.62E-06;-4.68E-08;-0.01788;-1.60E-04;-0.015969;-1.41E-07;5.27E-07;770.008;12.8;770.01;5.609;
5.16E-06;-9.23E-08;-0.01788;-1.60E-04;-0.016028;-2.78E-07;1.04E-06;780.004;13;780;5.529;
5.09E-07;-9.10E-09;-0.01788;-1.63E-04;-0.01633;-2.74E-08;1.02E-07;790.004;13.2;790;5.555;
1.13E-05;-2.01E-07;-0.01788;-1.57E-04;-0.015647;-6.07E-07;2.27E-06;800.004;13.3;800;5.546;
-7.78E-06;1.39E-07;-0.01788;-1.64E-04;-0.016403;4.19E-07;-1.57E-06;810.004;13.5;810;5.496;
1.03E-05;-1.83E-07;-0.01788;-1.63E-04;-0.016266;-5.52E-07;2.06E-06;820.004;13.7;820;5.499;
5.09E-06;-9.10E-08;-0.01788;-1.57E-04;-0.015743;-2.74E-07;1.02E-06;830.004;13.8;830;5.545;
4.73E-06;-2.99E-08;-6.33E-03;-1.67E-04;-0.016708;-9.01E-08;9.51E-07;840.004;14;840;5.51;
-7.85E-06;1.40E-07;-0.01788;-1.67E-04;-0.016653;4.23E-07;-1.58E-06;850.004;14.2;850;5.492;
3.64E-07;-6.50E-09;-0.01788;-1.65E-04;-0.016467;-1.96E-08;7.32E-08;860.004;14.3;860;5.44;
3.78E-06;-6.76E-08;-0.01788;-1.70E-04;-0.016999;-2.04E-07;7.61E-07;870.004;14.5;870;5.438;
8.73E-07;-1.56E-08;-0.01788;-1.66E-04;-0.016568;-4.70E-08;1.76E-07;880;14.7;880;5.48;
3.93E-06;-7.02E-08;-0.01788;-1.68E-04;-0.016845;-2.12E-07;7.90E-07;890;14.8;890;5.478;
-1.48E-05;2.65E-07;-0.01788;-1.69E-04;-0.016917;7.99E-07;-2.98E-06;900;15;900;5.417;
1.40E-05;-2.51E-07;-0.01788;-1.67E-04;-0.016682;-7.56E-07;2.82E-06;910.004;15.2;910;5.413;
-5.89E-06;1.05E-07;-0.01788;-1.62E-04;-0.016243;3.17E-07;-1.19E-06;920;15.3;920;5.422;
8.58E-06;-1.53E-07;-0.01788;-1.72E-04;-0.017153;-4.62E-07;1.73E-06;930;15.5;930;5.436;
1.82E-06;-3.25E-08;-0.01788;-1.64E-04;-0.016411;-9.79E-08;3.66E-07;940;15.7;940;5.437;
-6.18E-06;1.11E-07;-0.01788;-1.68E-04;-0.016755;3.33E-07;-1.24E-06;950.024;15.8;950.02;5.408;
-7.78E-06;-2.33E-07;0.0299;-1.75E-04;-0.017517;-7.01E-07;-1.57E-06;960.016;16;960.02;5.376;
1.31E-05;2.60E-08;1.99E-03;-1.73E-04;-0.017316;7.83E-08;2.63E-06;970.012;16.2;970.01;5.418;
-5.82E-06;1.04E-07;-0.01788;-1.76E-04;-0.017601;3.13E-07;-1.17E-06;980.016;16.3;980.02;5.394;
-2.47E-06;-1.26E-07;0.051;-1.69E-04;-0.016877;-3.80E-07;-4.97E-07;990.016;16.5;990.02;5.361;
-1.45E-06;2.60E-08;-0.01788;-1.72E-04;-0.017211;7.83E-08;-2.93E-07;1000.03;16.7;1000;5.346;
-1.06E-05;-1.61E-07;0.01518;-1.76E-04;-0.017604;-4.86E-07;-2.14E-06;1010.01;16.8;1010;5.335;
-1.38E-06;2.47E-08;-0.01788;-1.75E-04;-0.017493;7.44E-08;-2.78E-07;1020.02;17;1020;5.37;
9.60E-06;-1.04E-07;-0.01083;-1.77E-04;-0.017743;-3.13E-07;1.93E-06;1030.01;17.2;1030;5.352;
5.60E-06;-1.00E-07;-0.01787;-1.75E-04;-0.017455;-3.02E-07;1.13E-06;1040.01;17.3;1040;5.326;
-1.09E-06;1.95E-08;-0.01788;-1.81E-04;-0.018124;5.87E-08;-2.19E-07;1050.01;17.5;1050;5.347;
-1.05E-05;-4.90E-07;0.0468;-1.81E-04;-0.018133;-1.48E-06;-2.11E-06;1060.02;17.7;1060;5.315;
4.44E-06;-7.93E-08;-0.01788;-1.75E-04;-0.017511;-2.39E-07;8.92E-07;1070.01;17.8;1070;5.356;
2.84E-06;-5.07E-08;-0.01787;-1.77E-04;-0.017717;-1.53E-07;5.71E-07;1080.01;18;1080;5.39;
1.87E-05;8.84E-08;4.73E-03;-1.78E-04;-0.017813;2.66E-07;3.76E-06;1090.02;18.2;1090;5.396;
5.45E-06;-9.75E-08;-0.01788;-1.75E-04;-0.017525;-2.94E-07;1.10E-06;1100.01;18.3;1100;5.379;
-3.13E-06;5.59E-08;-0.01788;-1.79E-04;-0.017895;1.68E-07;-6.29E-07;1110.01;18.5;1110;5.333;
-1.19E-05;-1.43E-08;1.21E-03;-1.75E-04;-0.017458;-4.31E-08;-2.39E-06;1120.01;18.7;1120;5.303;
-1.23E-05;2.20E-07;-0.01788;-1.76E-04;-0.017586;6.62E-07;-2.47E-06;1130.01;18.8;1130;5.314;
9.45E-07;4.29E-08;0.04538;-1.78E-04;-0.017761;1.29E-07;1.90E-07;1140.01;19;1140;5.335;
-9.96E-06;1.78E-07;-0.01788;-1.73E-04;-0.017307;5.36E-07;-2.00E-06;1150.01;19.2;1150;5.339;
-1.37E-05;2.44E-07;-0.01788;-1.78E-04;-0.017804;7.36E-07;-2.75E-06;1160.01;19.3;1160;5.329;
-2.33E-06;4.16E-08;-0.01788;-1.78E-04;-0.017773;1.25E-07;-4.68E-07;1170.01;19.5;1170;5.28;
-3.78E-06;6.76E-08;-0.01788;-1.80E-04;-0.018023;2.04E-07;-7.61E-07;1180.01;19.7;1180;5.332;
3.05E-06;-5.46E-08;-0.01788;-1.77E-04;-0.017668;-1.65E-07;6.14E-07;1190.01;19.8;1190;5.311;
-8.29E-06;1.48E-07;-0.01788;-1.78E-04;-0.017804;4.46E-07;-1.67E-06;1200.01;20;1200;5.316;
3.93E-06;-7.02E-08;-0.01788;-1.80E-04;-0.018037;-2.12E-07;7.90E-07;1210.01;20.2;1210;5.255;
-3.05E-06;5.46E-08;-0.01788;-1.76E-04;-0.017557;1.64E-07;-6.14E-07;1220;20.3;1220;5.245;
-7.05E-06;1.26E-07;-0.01788;-1.85E-04;-0.018514;3.80E-07;-1.42E-06;1230;20.5;1230;5.26;
