/* DATA DESCRIPTION:
Citation: Strasser, M., Berberich, T., Fabbri, S., Hilbe, M., Huang, J. J. S., Lauterbach, S., Ortler, M., Rechschreiter, H., Brauer, A., Anselmetti, F., and Kowarik, K., 2020, Geomorphology and event-stratigraphy of recent mass-movement processes in Lake Hallstatt (UNESCO World Heritage Cultural Landscape, Austria): Geological Society, London, Special Publications 500.1: 405-426.
Sample: Core HAL-14-02, Lake Hallstatt, Austria.
Machine: Itrax-XRF core scanner, CS-45 Austrian Core Facility
Comment: The data contains the optical image RGB data of Core HAL-14-2 along the core depth. The image can be found in the figure 7 of aforementioned reference.  
*/
position (mm)	R	G	B
617.2	120	90	60
617.4	119	89	60
617.6	116	87	58
617.8	116	87	58
618	126	93	61
618.2	135	99	65
618.4	149	109	71
618.6	174	128	83
618.8	188	138	91
619	189	139	93
619.2	167	123	82
619.4	155	114	76
619.6	153	112	73
619.8	160	117	77
620	171	126	83
620.2	183	136	90
620.4	191	142	95
620.6	193	144	96
620.8	193	144	97
621	200	149	100
621.2	213	159	107
621.4	216	163	110
621.6	211	158	107
621.8	205	154	104
622	193	144	97
622.2	188	140	94
622.4	182	136	92
622.6	164	120	80
622.8	170	124	82
623	177	129	85
623.2	162	117	78
623.4	139	100	67
623.6	118	84	56
623.8	108	77	51
624	104	74	48
624.2	98	69	45
624.4	92	65	42
624.6	97	70	45
624.8	114	86	58
625	127	94	63
625.2	128	94	62
625.4	114	87	59
625.6	108	83	56
625.8	108	83	56
626	111	83	56
626.2	120	89	59
626.4	134	100	66
626.6	141	104	69
626.8	148	109	71
627	151	112	74
627.2	155	114	75
627.4	164	120	78
627.6	170	123	80
627.8	178	130	85
628	180	132	86
628.2	170	124	81
628.4	160	116	76
628.6	146	106	69
628.8	143	103	67
629	178	132	86
629.2	194	145	96
629.4	217	163	108
629.6	240	181	121
629.8	241	181	122
630	221	165	112
630.2	194	143	96
630.4	166	121	81
630.6	148	107	71
630.8	146	108	71
631	148	110	72
631.2	150	113	75
631.4	156	118	78
631.6	153	114	76
631.8	136	102	67
632	125	91	60
632.2	123	91	60
632.4	117	88	59
632.6	111	84	56
632.8	112	83	55
633	124	88	57
633.2	131	93	60
633.4	123	89	58
633.6	118	85	55
633.8	124	90	58
634	129	94	61
634.2	124	90	59
634.4	121	88	57
634.6	142	103	66
634.8	159	116	75
635	156	116	77
635.2	142	105	70
635.4	126	94	62
635.6	115	86	58
635.8	111	83	56
636	102	76	51
636.2	101	73	48
636.4	112	80	51
636.6	127	90	57
636.8	143	102	65
637	153	110	72
637.2	130	95	62
637.4	116	85	56
637.6	115	84	55
637.8	111	81	53
638	118	86	55
638.2	137	100	65
638.4	152	113	74
638.6	148	109	72
638.8	133	98	65
639	131	97	64
639.2	126	93	61
639.4	134	96	62
639.6	159	114	74
639.8	179	130	84
640	192	140	92
640.2	202	148	97
640.4	223	165	108
640.6	248	187	124
640.8	243	182	122
641	222	164	110
641.2	197	142	95
641.4	175	124	82
641.6	158	112	73
641.8	141	102	67
642	145	106	70
642.2	159	117	77
642.4	144	106	71
642.6	131	97	64
642.8	135	99	65
643	144	105	68
643.2	151	109	71
643.4	150	108	70
643.6	135	96	63
643.8	115	81	53
644	112	80	52
644.2	122	87	56
644.4	151	106	67
644.6	160	112	71
644.8	159	111	71
645	158	110	70
645.2	168	117	75
645.4	168	116	74
645.6	168	114	72
645.8	169	114	72
646	169	113	71
646.2	165	110	69
646.4	156	104	66
646.6	142	96	61
646.8	121	81	52
647	112	75	48
647.2	107	71	46
647.4	106	70	44
647.6	100	67	43
647.8	100	66	42
648	112	75	47
648.2	142	101	65
648.4	173	129	85
648.6	181	135	90
648.8	197	147	98
649	202	152	102
649.2	179	134	90
649.4	161	119	79
649.6	170	126	84
649.8	165	124	84
650	150	113	76
650.2	140	107	72
650.4	128	97	66
650.6	120	92	63
650.8	118	90	61
651	121	91	61
651.2	122	90	60
651.4	125	93	61
651.6	144	107	70
651.8	163	121	79
652	165	122	81
652.2	159	118	79
652.4	153	114	76
652.6	151	111	72
652.8	162	117	75
653	178	127	82
653.2	190	135	86
653.4	197	140	89
653.6	192	133	84
653.8	194	137	87
654	193	138	88
654.2	190	135	86
654.4	181	129	83
654.6	170	121	77
654.8	166	118	76
655	160	113	72
655.2	155	109	70
655.4	149	105	67
655.6	137	96	61
655.8	128	90	58
656	123	88	56
656.2	123	90	59
656.4	129	94	61
656.6	148	109	71
656.8	173	128	84
657	186	137	90
657.2	182	134	89
657.4	181	134	88
657.6	186	136	89
657.8	189	138	90
658	187	137	90
658.2	181	132	87
658.4	166	121	80
658.6	150	109	72
658.8	131	94	61
659	127	91	59
659.2	129	92	60
659.4	132	97	63
659.6	139	103	68
659.8	142	104	68
660	144	104	68
660.2	143	105	68
660.4	141	103	67
660.6	145	104	68
660.8	147	107	70
661	143	104	68
661.2	142	102	67
661.4	136	99	65
661.6	140	103	67
661.8	154	114	75
662	169	125	83
662.2	179	132	88
662.4	179	133	88
662.6	177	132	88
662.8	177	132	88
663	176	131	87
663.2	177	132	88
663.4	178	134	90
663.6	180	136	92
663.8	181	138	94
664	186	144	97
664.2	193	149	101
664.4	205	158	107
664.6	207	160	109
664.8	201	155	105
665	190	145	98
665.2	180	136	92
665.4	174	131	88
665.6	166	124	83
665.8	160	117	78
666	157	115	76
666.2	153	113	76
666.4	152	111	74
666.6	163	121	80
666.8	167	124	83
667	165	121	80
667.2	163	119	79
667.4	164	121	80
667.6	164	124	83
667.8	160	121	81
668	158	118	79
668.2	166	124	82
668.4	174	131	88
668.6	184	138	93
668.8	182	137	91
669	174	128	86
669.2	166	121	80
669.4	172	126	83
669.6	189	141	93
669.8	203	153	102
670	192	144	96
670.2	187	139	92
670.4	203	151	100
670.6	216	163	108
670.8	215	162	109
671	194	145	97
671.2	171	125	82
671.4	168	122	80
671.6	162	117	77
671.8	165	118	77
672	173	124	81
672.2	185	134	87
672.4	203	150	99
672.6	181	135	90
672.8	166	121	79
673	182	135	89
673.2	198	148	98
673.4	220	164	108
673.6	231	172	114
673.8	240	180	119
674	248	188	125
674.2	251	192	128
674.4	242	184	123
674.6	219	163	110
674.8	228	170	113
675	237	178	119
675.2	242	183	122
675.4	249	192	128
675.6	254	200	134
675.8	244	184	123
676	244	181	119
676.2	249	188	125
676.4	251	191	127
676.6	253	195	129
676.8	254	197	131
677	254	198	132
677.2	254	201	133
677.4	254	202	134
677.6	253	198	132
677.8	252	195	129
678	252	192	127
678.2	252	189	125
678.4	253	190	125
678.6	237	176	118
678.8	217	158	104
679	237	172	113
679.2	251	186	122
679.4	246	181	119
679.6	243	178	118
679.8	247	182	119
680	247	181	119
680.2	246	179	117
680.4	246	179	117
680.6	245	178	117
680.8	245	177	116
681	245	176	115
681.2	241	172	112
681.4	232	167	109
681.6	231	164	107
681.8	229	162	106
682	227	161	104
682.2	235	167	108
682.4	235	167	109
682.6	224	159	104
682.8	218	154	100
683	219	154	100
683.2	222	156	100
683.4	225	157	102
683.6	221	156	101
683.8	217	152	99
684	212	149	96
684.2	205	143	92
684.4	203	142	92
684.6	197	138	89
684.8	181	127	82
685	176	124	80
685.2	178	127	83
685.4	168	120	79
685.6	160	113	74
685.8	156	111	72
686	147	103	67
686.2	151	105	67
686.4	149	104	67
686.6	149	104	67
686.8	146	103	66
687	142	100	64
687.2	141	99	64
687.4	145	102	66
687.6	149	105	68
687.8	148	103	66
688	142	101	65
688.2	140	98	64
688.4	139	98	63
688.6	150	104	67
688.8	167	116	75
689	177	123	80
689.2	183	128	83
689.4	187	131	84
689.6	197	138	89
689.8	201	141	92
690	201	142	93
690.2	200	142	93
690.4	202	142	93
690.6	198	140	92
690.8	196	138	90
691	194	137	90
691.2	191	135	88
691.4	193	136	88
691.6	191	135	88
691.8	191	135	88
692	185	132	87
692.2	178	127	84
692.4	174	124	81
692.6	170	120	78
692.8	165	115	75
693	167	117	76
693.2	171	119	78
693.4	166	116	75
693.6	158	110	71
693.8	153	106	68
694	147	101	65
694.2	135	92	59
694.4	131	88	56
694.6	133	89	56
694.8	137	93	59
695	135	91	58
695.2	127	85	54
695.4	128	88	56
695.6	132	92	60
695.8	140	99	64
696	148	106	69
696.2	157	115	75
696.4	165	122	80
696.6	176	131	86
696.8	184	137	90
697	183	138	92
697.2	184	139	93
697.4	191	147	99
697.6	183	142	96
697.8	168	129	87
698	161	123	83
698.2	148	113	76
698.4	140	106	71
698.6	140	104	69
698.8	142	105	69
699	137	100	66
699.2	135	99	65
699.4	139	101	66
699.6	140	102	67
699.8	140	101	66
700	142	102	67
700.2	147	105	68
700.4	152	108	69
700.6	151	107	69
700.8	153	108	70
701	156	110	71
701.2	155	110	71
701.4	150	108	70
701.6	154	111	71
701.8	169	121	78
702	171	122	79
702.2	164	117	76
702.4	166	120	77
702.6	176	128	83
702.8	178	130	85
703	180	133	87
703.2	183	136	90
703.4	181	136	90
703.6	181	136	90
703.8	189	142	94
704	192	146	97
704.2	188	144	96
704.4	182	140	94
704.6	178	137	92
704.8	170	131	89
705	161	124	84
705.2	154	118	80
705.4	150	116	79
705.6	149	115	78
705.8	148	114	77
706	148	114	77
706.2	149	114	76
706.4	152	115	76
706.6	161	120	78
706.8	176	128	83
707	187	136	87
707.2	190	138	88
707.4	191	139	90
707.6	196	144	93
707.8	190	139	91
708	177	129	84
708.2	167	120	78
708.4	161	115	75
708.6	158	113	74
708.8	158	114	74
709	157	112	73
709.2	153	108	71
709.4	150	107	70
709.6	151	107	70
709.8	153	109	71
710	152	108	70
710.2	157	112	73
710.4	154	110	72
710.6	159	114	74
710.8	166	118	78
711	166	119	78
711.2	166	119	78
711.4	167	120	79
711.6	167	119	78
711.8	165	119	78
712	168	121	79
712.2	179	130	85
712.4	187	136	90
712.6	183	135	89
712.8	180	132	87
713	184	136	90
713.2	186	136	89
713.4	194	141	91
713.6	187	136	89
713.8	170	122	79
714	162	115	74
714.2	161	115	75
714.4	170	123	79
714.6	188	139	91
714.8	191	143	94
715	185	140	93
715.2	174	132	89
715.4	163	122	82
715.6	156	114	76
715.8	160	116	76
716	166	121	79
716.2	168	123	80
716.4	184	137	90
716.6	178	132	87
716.8	172	126	82
717	188	139	92
717.2	195	144	95
717.4	198	148	98
717.6	207	158	105
717.8	204	156	105
718	200	151	101
718.2	207	157	105
718.4	191	144	97
718.6	174	130	86
718.8	171	127	84
719	176	130	86
719.2	195	145	96
719.4	204	153	101
719.6	198	149	99
719.8	203	152	101
720	220	168	112
720.2	215	166	112
720.4	207	156	105
720.6	221	168	112
720.8	222	168	112
721	214	160	107
721.2	210	158	105
721.4	199	149	99
721.6	185	136	90
721.8	178	128	84
722	182	131	86
722.2	202	148	96
722.4	224	168	112
722.6	204	152	101
722.8	195	142	93
723	226	169	112
723.2	245	186	124
723.4	238	182	123
723.6	198	149	101
723.8	169	124	82
724	164	120	79
724.2	168	122	80
724.4	172	124	81
724.6	182	131	85
724.8	214	157	102
725	234	174	115
725.2	241	182	121
725.4	247	186	124
725.6	248	186	123
725.8	247	185	123
726	243	180	119
726.2	244	181	120
726.4	243	180	120
726.6	237	176	116
726.8	233	172	114
727	233	173	115
727.2	230	171	114
727.4	219	161	107
727.6	216	158	105
727.8	223	165	110
728	222	164	109
728.2	218	160	107
728.4	211	155	103
728.6	212	155	103
728.8	209	153	102
729	206	151	100
729.2	206	150	100
729.4	203	148	98
729.6	197	144	95
729.8	194	141	93
730	194	140	93
730.2	184	133	88
730.4	173	125	82
730.6	164	117	77
730.8	164	117	77
731	166	118	77
731.2	168	119	78
731.4	166	117	77
731.6	164	116	76
731.8	166	117	77
732	169	118	77
732.2	167	117	76
732.4	163	114	74
732.6	158	111	72
732.8	153	106	69
733	141	98	64
733.2	128	90	59
733.4	125	90	59
733.6	129	93	61
733.8	130	95	62
734	132	95	62
734.2	140	101	65
734.4	140	102	66
734.6	132	96	63
734.8	126	94	62
735	128	98	66
735.2	128	99	67
735.4	118	91	62
735.6	117	91	61
735.8	118	91	61
736	114	87	57
736.2	115	84	55
736.4	125	89	57
736.6	143	100	62
736.8	156	108	68
737	163	113	71
737.2	166	115	73
737.4	163	113	72
737.6	160	112	72
737.8	162	113	72
738	150	104	67
738.2	151	103	65
738.4	166	115	73
738.6	158	110	70
738.8	144	100	64
739	117	81	53
739.2	98	68	44
739.4	104	73	47
739.6	135	98	64
739.8	163	121	79
740	175	129	85
740.2	167	123	81
740.4	152	113	75
740.6	146	109	72
740.8	149	112	73
741	148	108	71
741.2	138	98	63
741.4	144	103	65
741.6	160	117	75
741.8	172	126	81
742	174	127	81
742.2	174	127	81
742.4	176	128	82
742.6	174	128	82
742.8	171	125	81
743	165	121	78
743.2	153	112	73
743.4	144	105	69
743.6	142	104	68
743.8	139	101	66
744	134	97	63
744.2	128	93	60
744.4	123	88	57
744.6	119	86	56
744.8	108	78	50
745	100	71	46
745.2	98	70	44
745.4	104	74	47
745.6	105	74	46
745.8	106	73	45
746	116	79	48
746.2	131	88	54
746.4	141	93	57
746.6	156	102	62
746.8	162	106	64
747	155	101	61
747.2	143	95	59
747.4	141	96	59
747.6	150	104	64
747.8	156	109	68
748	144	100	64
748.2	136	95	60
748.4	141	99	63
748.6	145	103	66
748.8	133	95	61
749	117	84	54
749.2	110	80	52
749.4	107	78	50
749.6	102	72	46
749.8	107	74	46
750	123	84	52
750.2	132	91	57
750.4	131	91	57
750.6	127	88	56
750.8	126	88	56
751	127	89	57
751.2	128	89	57
751.4	128	89	57
751.6	127	89	57
751.8	128	90	57
752	126	88	56
752.2	124	86	54
752.4	135	92	57
752.6	152	104	65
752.8	147	102	65
753	122	85	54
753.2	116	80	51
753.4	128	88	56
753.6	136	94	59
753.8	143	101	64
754	150	107	68
754.2	148	105	67
754.4	138	98	64
754.6	129	93	61
754.8	119	86	56
755	114	82	54
755.2	115	83	54
755.4	117	84	54
755.6	126	90	58
755.8	141	101	65
756	142	101	65
756.2	133	94	61
756.4	134	95	61
756.6	150	108	69
756.8	155	112	73
757	174	128	83
757.2	195	146	97
757.4	184	136	91
757.6	177	129	84
757.8	198	144	94
758	208	152	100
758.2	205	150	99
758.4	191	139	92
758.6	168	122	80
758.8	157	112	73
759	150	107	70
759.2	148	105	69
759.4	141	101	66
759.6	132	96	62
759.8	132	96	62
760	124	90	58
760.2	122	87	56
760.4	117	82	52
760.6	116	81	51
760.8	127	89	56
761	139	97	61
761.2	137	97	61
761.4	137	97	62
761.6	150	107	68
761.8	162	114	72
762	161	113	71
762.2	149	105	67
762.4	137	96	61
762.6	138	97	61
762.8	143	98	61
763	143	97	61
763.2	131	89	56
763.4	124	84	53
763.6	125	87	55
763.8	140	98	61
764	151	106	67
764.2	153	108	69
764.4	154	109	69
764.6	162	115	73
764.8	161	114	74
765	158	113	73
765.2	154	109	70
765.4	148	105	67
765.6	144	103	65
765.8	138	98	64
766	126	90	58
766.2	119	85	55
766.4	120	85	55
766.6	122	87	56
766.8	124	88	56
767	127	90	58
767.2	133	94	60
767.4	142	101	65
767.6	150	106	68
767.8	155	109	70
768	150	106	69
768.2	134	95	62
768.4	128	91	59
768.6	141	101	66
768.8	154	111	73
769	161	115	75
769.2	146	101	65
769.4	148	102	66
769.6	155	107	69
769.8	159	111	71
770	157	110	71
770.2	159	111	72
770.4	159	111	72
770.6	159	111	72
770.8	159	110	71
771	160	111	72
771.2	159	113	73
771.4	173	125	81
771.6	201	148	96
771.8	212	156	101
772	212	155	101
772.2	207	152	99
772.4	192	141	92
772.6	170	123	80
772.8	139	98	64
773	129	91	59
773.2	128	90	58
773.4	125	88	56
773.6	124	87	57
773.8	124	87	56
774	143	102	66
774.2	149	108	71
774.4	134	97	64
774.6	126	92	60
774.8	122	91	59
775	116	85	56
775.2	114	82	52
775.4	146	103	65
775.6	165	116	74
775.8	146	100	65
776	136	95	61
776.2	159	113	73
776.4	186	133	86
776.6	182	131	85
776.8	160	116	75
777	157	114	74
777.2	161	118	77
777.4	166	123	81
777.6	166	124	82
777.8	161	119	78
778	161	117	77
778.2	157	115	75
778.4	154	112	73
778.6	145	104	68
778.8	135	98	64
779	131	93	60
779.2	128	92	59
779.4	127	92	59
779.6	132	94	60
779.8	149	103	65
780	177	122	76
780.2	194	134	85
780.4	202	141	90
780.6	200	139	89
780.8	189	132	85
781	171	120	78
781.2	157	110	72
781.4	142	99	65
781.6	141	98	63
781.8	164	114	72
782	180	124	78
782.2	180	126	80
782.4	154	108	70
782.6	138	97	62
782.8	132	94	61
783	135	98	63
783.2	142	104	68
783.4	138	102	67
783.6	133	98	65
783.8	133	97	63
784	133	96	62
784.2	136	97	62
784.4	141	100	63
784.6	150	106	67
784.8	165	117	74
785	177	126	81
785.2	180	128	82
785.4	175	124	80
785.6	167	118	76
785.8	165	117	75
786	167	118	77
786.2	177	129	84
786.4	181	132	87
786.6	174	128	84
786.8	166	124	82
787	154	117	78
787.2	136	103	70
787.4	126	94	63
787.6	124	92	61
787.8	125	93	62
788	127	95	63
788.2	127	95	63
788.4	128	96	64
788.6	127	95	64
788.8	125	93	62
789	127	94	62
789.2	129	95	63
789.4	129	96	63
789.6	127	94	63
789.8	128	95	64
790	129	96	64
790.2	129	96	64
790.4	130	96	64
790.6	129	95	63
790.8	127	94	62
791	124	91	60
791.2	129	95	63
791.4	132	97	64
791.6	131	96	64
791.8	130	96	63
792	130	95	63
792.2	130	96	63
792.4	129	94	62
792.6	128	93	61
792.8	130	96	63
793	131	97	64
793.2	128	95	63
793.4	128	95	63
793.6	130	96	64
793.8	128	95	63
794	127	94	63
794.2	130	96	64
794.4	127	94	63
794.6	123	91	60
794.8	128	94	62
795	131	97	65
795.2	132	98	66
795.4	129	95	63
795.6	127	94	62
795.8	127	95	63
796	132	98	66
796.2	134	99	66
796.4	130	96	64
796.6	129	95	63
796.8	128	96	64
797	130	97	65
797.2	131	98	65
797.4	128	95	63
797.6	132	98	65
797.8	136	102	68
798	131	97	65
798.2	131	98	65
798.4	130	97	65
798.6	130	97	65
798.8	127	94	63
799	129	96	63
799.2	129	97	64
799.4	125	93	62
799.6	122	90	59
799.8	127	92	60
800	129	94	62
800.2	130	96	64
800.4	125	93	62
800.6	122	91	60
800.8	122	90	60
801	126	93	61
801.2	128	94	62
801.4	118	87	57
801.6	120	87	57
801.8	123	89	58
802	123	90	59
802.2	121	89	58
802.4	119	87	57
802.6	122	89	58
802.8	127	94	62
803	134	98	64
803.2	138	98	64
803.4	144	103	66
803.6	158	115	75
803.8	150	110	72
804	131	96	63
804.2	135	100	65
804.4	144	107	70
804.6	144	107	71
804.8	150	110	73
805	174	126	82
805.2	191	137	89
805.4	187	134	87
805.6	170	120	78
805.8	155	109	71
806	156	109	70
806.2	168	119	77
806.4	154	111	72
806.6	134	95	62
806.8	141	99	64
807	151	107	69
807.2	155	110	71
807.4	152	109	71
807.6	144	104	67
807.8	138	100	64
808	153	112	71
808.2	167	122	78
808.4	172	127	80
808.6	172	126	81
808.8	170	125	80
809	167	124	79
809.2	161	119	76
809.4	152	113	73
809.6	146	109	70
809.8	143	106	68
810	133	97	63
810.2	121	88	57
810.4	114	83	53
810.6	103	74	48
810.8	104	75	48
811	109	78	50
811.2	107	76	49
811.4	104	74	48
811.6	100	71	46
811.8	99	70	44
812	98	68	43
812.2	98	68	43
812.4	103	72	46
812.6	108	76	48
812.8	119	84	53
813	139	99	63
813.2	146	103	67
813.4	134	97	64
813.6	124	91	60
813.8	129	94	62
814	142	103	67
814.2	145	103	66
814.4	148	103	66
814.6	144	101	65
814.8	141	100	64
815	130	91	59
815.2	122	84	54
815.4	128	88	56
815.6	142	98	62
815.8	151	104	66
816	152	105	67
816.2	156	107	68
816.4	159	108	69
816.6	154	105	67
816.8	150	102	65
817	145	99	63
817.2	131	90	58
817.4	120	82	53
817.6	116	80	53
817.8	112	77	51
818	125	88	57
818.2	140	100	65
818.4	148	106	68
818.6	144	104	68
818.8	135	98	64
819	129	94	61
819.2	117	86	56
819.4	108	76	48
819.6	123	84	53
819.8	140	97	61
820	137	96	60
820.2	147	104	66
820.4	162	115	73
820.6	156	110	71
820.8	148	105	67
821	153	109	71
821.2	160	117	76
821.4	160	118	78
821.6	154	114	75
821.8	150	111	73
822	145	107	70
822.2	150	109	71
822.4	171	124	80
822.6	198	143	92
822.8	207	148	96
823	206	145	93
823.2	216	154	99
823.4	214	153	99
823.6	206	146	95
823.8	192	136	88
824	176	123	80
824.2	159	112	73
824.4	148	104	68
824.6	139	97	63
824.8	127	88	57
825	121	83	54
825.2	122	84	54
825.4	118	82	53
825.6	112	78	50
825.8	122	85	55
826	127	90	59
826.2	128	93	60
826.4	131	94	61
826.6	142	102	66
826.8	153	110	71
827	159	116	75
827.2	162	119	78
827.4	166	121	79
827.6	165	120	79
827.8	161	117	76
828	155	112	74
828.2	146	106	70
828.4	144	104	68
828.6	169	121	79
828.8	185	134	87
829	186	135	89
829.2	170	123	81
829.4	152	110	72
829.6	149	109	71
829.8	145	105	69
830	141	100	65
830.2	143	102	66
830.4	139	101	65
830.6	132	95	62
830.8	140	99	63
831	170	118	74
831.2	182	127	81
831.4	158	111	72
831.6	135	95	61
831.8	153	108	69
832	175	124	79
832.2	162	114	74
832.4	147	104	67
832.6	140	100	64
832.8	150	107	69
833	161	117	76
833.2	157	113	74
833.4	162	116	75
833.6	166	118	77
833.8	161	114	74
834	166	120	78
834.2	171	126	83
834.4	166	121	79
834.6	164	118	77
834.8	171	124	81
835	166	120	79
835.2	147	106	70
835.4	141	102	67
835.6	138	100	65
835.8	141	100	64
836	159	112	72
836.2	181	128	82
836.4	192	137	88
836.6	189	135	87
836.8	187	133	86
837	198	140	90
837.2	210	149	96
837.4	218	155	101
837.6	223	159	104
837.8	223	159	103
838	219	156	101
838.2	217	155	101
838.4	211	150	98
838.6	196	140	92
838.8	180	128	84
839	158	112	74
839.2	144	101	66
839.4	142	99	64
839.6	143	99	64
839.8	148	103	66
840	146	102	66
840.2	142	99	64
840.4	143	100	64
840.6	147	103	66
840.8	147	103	66
841	145	101	66
841.2	144	100	64
841.4	147	102	65
841.6	148	103	67
841.8	150	106	68
842	150	105	68
842.2	148	104	67
842.4	147	103	67
842.6	147	103	67
842.8	148	104	67
843	149	104	67
843.2	147	103	67
843.4	148	103	67
843.6	148	104	68
843.8	146	103	67
844	148	104	68
844.2	148	104	68
844.4	145	103	67
844.6	148	105	68
844.8	146	104	67
845	146	104	67
845.2	142	100	65
845.4	143	101	66
845.6	146	104	67
845.8	142	101	66
846	144	103	67
846.2	142	101	66
846.4	140	100	65
846.6	142	101	66
846.8	139	99	65
847	140	99	64
847.2	147	104	68
847.4	149	106	69
847.6	149	106	69
847.8	144	102	67
848	149	106	70
848.2	147	105	69
848.4	140	100	65
848.6	136	97	64
848.8	133	96	62
849	135	98	64
849.2	135	97	63
849.4	135	97	63
849.6	153	109	71
849.8	177	128	84
850	185	134	89
850.2	180	131	87
850.4	173	125	83
850.6	158	113	74
850.8	152	108	71
851	151	108	70
851.2	148	106	69
851.4	149	106	69
851.6	150	107	70
851.8	146	105	69
852	150	108	71
852.2	150	107	70
852.4	149	107	70
852.6	151	108	71
852.8	151	108	71
853	153	109	71
853.2	154	110	73
853.4	153	110	72
853.6	154	110	72
853.8	155	111	72
854	150	107	70
854.2	149	106	69
854.4	159	114	74
854.6	154	111	73
854.8	150	108	70
855	151	108	71
855.2	153	110	73
855.4	153	110	72
855.6	151	108	71
855.8	152	108	71
856	151	108	70
856.2	151	108	71
856.4	152	109	72
856.6	151	108	70
856.8	151	107	70
857	153	109	71
857.2	147	105	69
857.4	146	104	68
857.6	150	107	70
857.8	150	107	70
858	149	107	70
858.2	153	109	71
858.4	148	105	69
858.6	145	103	67
858.8	150	107	69
859	149	106	69
859.2	147	104	68
859.4	148	105	68
859.6	147	105	68
859.8	148	105	68
860	148	104	67
860.2	143	101	65
860.4	144	101	65
860.6	143	101	65
860.8	143	100	65
861	144	101	65
861.2	137	96	62
861.4	141	98	64
861.6	147	103	68
861.8	151	106	70
862	155	109	71
862.2	149	105	68
862.4	140	98	64
862.6	137	98	63
862.8	140	99	64
863	138	99	65
863.2	126	91	60
863.4	130	92	60
863.6	143	100	65
863.8	141	99	64
864	148	105	67
864.2	159	113	73
864.4	160	114	74
864.6	158	111	72
864.8	141	98	64
865	126	87	56
865.2	140	97	61
865.4	145	101	65
865.6	130	89	56
865.8	143	96	60
866	138	93	59
866.2	138	94	59
866.4	162	112	71
866.6	178	123	78
866.8	184	127	81
867	159	110	70
867.2	152	105	67
867.4	161	112	71
867.6	157	110	70
867.8	144	102	66
868	127	90	58
868.2	121	85	54
868.4	133	92	58
868.6	150	103	65
868.8	159	108	68
869	149	102	65
869.2	134	91	58
869.4	144	98	62
869.6	149	104	66
869.8	149	103	66
870	156	108	68
870.2	167	116	74
870.4	170	118	76
870.6	177	124	80
870.8	183	129	84
871	189	134	86
871.2	189	134	87
871.4	190	135	88
871.6	196	140	91
871.8	201	144	93
872	196	141	92
872.2	202	146	96
872.4	202	147	97
872.6	170	124	82
872.8	148	107	70
873	157	113	73
873.2	165	118	77
873.4	161	115	75
873.6	162	116	75
873.8	150	107	70
874	160	113	73
874.2	179	128	83
874.4	172	122	80
874.6	152	109	71
874.8	128	92	60
875	136	95	61
875.2	154	105	67
875.4	153	105	67
875.6	161	110	69
875.8	162	109	69
876	143	94	58
876.2	171	118	75
876.4	200	141	91
876.6	180	124	81
876.8	148	101	65
877	158	110	72
877.2	181	128	83
877.4	190	133	86
877.6	184	128	83
877.8	177	121	77
878	175	119	76
878.2	177	121	77
878.4	178	123	79
878.6	183	128	82
878.8	184	128	83
879	181	125	81
879.2	178	122	79
879.4	165	112	72
879.6	163	111	71
879.8	168	116	75
880	172	119	77
880.2	176	123	80
880.4	177	124	80
880.6	163	112	72
880.8	153	105	67
881	162	113	72
881.2	163	113	72
881.4	166	115	73
881.6	168	116	75
881.8	158	109	70
882	157	108	69
882.2	163	113	73
882.4	166	116	75
882.6	166	116	75
882.8	168	119	77
883	164	116	76
883.2	170	120	78
883.4	173	123	80
883.6	168	119	78
883.8	166	117	76
884	162	113	73
884.2	158	110	71
884.4	156	110	71
884.6	159	112	73
884.8	162	114	74
885	162	114	74
885.2	163	114	74
885.4	164	116	75
885.6	167	118	76
885.8	169	120	78
886	166	118	77
886.2	166	118	77
886.4	165	117	76
886.6	164	116	76
886.8	161	114	74
887	159	112	73
887.2	165	115	75
887.4	171	118	77
887.6	163	111	71
887.8	161	108	69
888	173	119	77
888.2	180	127	82
888.4	187	132	86
888.6	180	126	83
888.8	146	99	64
889	137	92	59
889.2	153	105	67
889.4	157	110	71
889.6	159	112	73
889.8	162	115	75
890	169	119	78
890.2	173	122	80
890.4	176	126	83
890.6	178	127	84
890.8	179	128	84
891	182	129	84
891.2	186	132	86
891.4	188	133	87
891.6	190	134	87
891.8	191	136	89
892	192	137	89
892.2	189	134	88
892.4	189	135	88
892.6	189	134	88
892.8	189	135	88
893	187	134	88
893.2	182	130	86
893.4	181	129	85
893.6	178	127	83
893.8	180	128	84
894	181	129	84
894.2	184	132	86
894.4	186	133	87
894.6	185	133	88
894.8	174	126	83
895	173	124	81
895.2	180	128	84
895.4	183	131	86
895.6	182	130	86
895.8	175	125	82
896	173	124	81
896.2	178	128	84
896.4	184	133	87
896.6	183	131	86
896.8	181	129	85
897	186	133	87
897.2	207	150	100
897.4	205	151	101
897.6	196	144	96
897.8	192	138	92
898	181	128	84
898.2	175	122	79
898.4	168	117	75
898.6	164	114	74
898.8	161	113	73
899	165	117	76
899.2	166	119	78
899.4	167	117	77
899.6	178	127	83
899.8	190	136	89
900	198	142	93
900.2	191	137	90
900.4	187	133	87
900.6	184	131	85
900.8	184	131	85
901	178	126	82
901.2	169	119	77
901.4	166	117	76
901.6	169	119	77
