/* DATA DESCRIPTION:
Citation: Strasser, M., Berberich, T., Fabbri, S., Hilbe, M., Huang, J. J. S., Lauterbach, S., Ortler, M., Rechschreiter, H., Brauer, A., Anselmetti, F., and Kowarik, K., 2020, Geomorphology and event-stratigraphy of recent mass-movement processes in Lake Hallstatt (UNESCO World Heritage Cultural Landscape, Austria): Geological Society, London, Special Publications 500.1: 405-426.
Sample: Core HAL-14-02, Lake Hallstatt, Austria.
Machine: Itrax-XRF core scanner, CS-45 Austrian Core Facility
Comment: The data contains the optical image RGB data of Core HAL-14-2 along the core depth. The image can be found in the figure 7 of aforementioned reference.  
*/
position (mm)	R	G	B
150.2	134	91	56
150.4	148	99	61
150.6	154	103	63
150.8	147	97	60
151	140	94	59
151.2	130	88	56
151.4	118	80	51
151.6	114	77	49
151.8	115	79	50
152	124	85	54
152.2	126	86	55
152.4	116	80	51
152.6	117	80	50
152.8	111	75	47
153	96	64	41
153.2	83	56	35
153.4	78	52	32
153.6	85	57	35
153.8	99	67	42
154	110	74	47
154.2	116	79	50
154.4	118	81	52
154.6	119	83	53
154.8	119	83	53
155	127	89	57
155.2	134	93	60
155.4	136	95	61
155.6	135	95	62
155.8	132	93	60
156	130	91	59
156.2	126	88	57
156.4	124	87	56
156.6	124	87	56
156.8	123	87	56
157	125	88	57
157.2	126	88	57
157.4	126	89	57
157.6	128	89	57
157.8	128	90	58
158	127	89	57
158.2	129	90	58
158.4	124	87	55
158.6	127	88	56
158.8	131	91	59
159	135	94	60
159.2	136	95	60
159.4	136	95	60
159.6	144	100	64
159.8	151	105	67
160	146	101	64
160.2	128	88	56
160.4	106	71	44
160.6	103	68	42
160.8	134	90	55
161	165	116	73
161.2	161	113	73
161.4	151	105	67
161.6	143	100	64
161.8	134	94	61
162	129	90	58
162.2	129	89	56
162.4	138	96	61
162.6	156	109	69
162.8	164	114	72
163	165	114	72
163.2	166	115	73
163.4	171	117	74
163.6	178	122	77
163.8	199	137	87
164	212	147	94
164.2	195	135	88
164.4	160	110	72
164.6	130	88	57
164.8	118	79	49
165	131	86	53
165.2	147	96	59
165.4	148	94	57
165.6	143	90	55
165.8	134	87	54
166	151	104	65
166.2	175	124	79
166.4	175	125	80
166.6	168	122	78
166.8	168	125	81
167	165	125	82
167.2	177	128	83
167.4	191	135	86
167.6	201	141	90
167.8	200	139	89
168	191	133	85
168.2	179	124	80
168.4	162	112	72
168.6	146	100	65
168.8	132	90	58
169	122	84	54
169.2	113	78	50
169.4	119	81	50
169.6	161	112	69
169.8	208	148	95
170	221	160	104
170.2	214	155	102
170.4	194	140	92
170.6	170	121	79
170.8	154	109	71
171	138	97	63
171.2	129	90	59
171.4	126	87	57
171.6	131	91	59
171.8	126	88	57
172	114	79	51
172.2	112	77	49
172.4	116	80	50
172.6	123	85	53
172.8	125	86	54
173	114	78	49
173.2	113	77	48
173.4	109	74	46
173.6	101	68	42
173.8	105	70	44
174	115	78	49
174.2	118	80	50
174.4	125	84	53
174.6	122	82	51
174.8	116	79	49
175	119	81	50
175.2	124	84	52
175.4	128	88	55
175.6	122	83	53
175.8	110	75	48
176	103	70	45
176.2	104	70	44
176.4	108	74	47
176.6	108	73	46
176.8	106	72	45
177	100	67	42
177.2	98	67	41
177.4	110	76	47
177.6	126	88	55
177.8	142	100	63
178	154	109	69
178.2	159	111	71
178.4	155	107	68
178.6	142	98	63
178.8	128	89	57
179	119	82	53
179.2	112	78	50
179.4	105	72	46
179.6	107	74	46
179.8	109	75	47
180	109	75	47
180.2	102	70	45
180.4	99	68	43
180.6	94	64	41
180.8	90	62	39
181	97	68	43
181.2	103	73	47
181.4	110	78	50
181.6	120	86	55
181.8	125	89	58
182	129	93	60
182.2	129	92	60
182.4	131	94	61
182.6	137	97	63
182.8	140	98	63
183	133	91	58
183.2	120	82	52
183.4	112	77	49
183.6	112	77	49
183.8	113	78	49
184	119	82	52
184.2	113	79	50
184.4	112	79	51
184.6	112	79	51
184.8	118	84	53
185	128	91	58
185.2	134	96	61
185.4	134	96	62
185.6	128	91	58
185.8	116	82	52
186	97	67	43
186.2	82	56	35
186.4	81	56	35
186.6	87	60	37
186.8	99	68	42
187	109	75	46
187.2	122	83	52
187.4	122	84	53
187.6	111	77	49
187.8	107	75	47
188	110	77	49
188.2	116	81	52
188.4	125	88	56
188.6	142	102	66
188.8	152	110	72
189	151	109	71
189.2	141	102	67
189.4	144	105	68
189.6	148	107	70
189.8	147	106	70
190	150	109	71
190.2	150	108	71
190.4	150	108	71
190.6	149	108	71
190.8	145	105	69
191	143	104	68
191.2	141	102	67
191.4	140	101	66
191.6	138	100	65
191.8	137	99	64
192	137	99	65
192.2	135	98	64
192.4	127	91	59
192.6	122	87	57
192.8	121	86	55
193	123	88	57
193.2	123	88	57
193.4	127	90	58
193.6	126	90	59
193.8	126	90	58
194	126	90	58
194.2	127	90	58
194.4	130	93	60
194.6	141	101	65
194.8	160	114	74
195	161	115	75
195.2	148	105	68
195.4	130	91	59
195.6	118	82	53
195.8	115	80	50
196	122	86	55
196.2	118	84	54
196.4	114	80	51
196.6	116	82	52
196.8	111	78	49
197	103	72	46
197.2	103	72	46
197.4	101	70	44
197.6	96	67	42
197.8	103	71	45
198	106	73	47
198.2	105	73	46
198.4	100	69	44
198.6	95	66	42
198.8	95	67	42
199	94	66	42
199.2	106	74	46
199.4	123	86	54
199.6	127	88	56
199.8	126	88	56
200	127	88	56
200.2	126	89	57
200.4	123	87	56
200.6	122	86	55
200.8	124	88	57
201	125	89	57
201.2	125	88	57
201.4	126	89	57
201.6	124	88	57
201.8	124	88	56
202	124	88	56
202.2	122	85	54
202.4	125	86	54
202.6	123	85	53
202.8	125	86	54
203	119	82	52
203.2	107	73	46
203.4	97	67	42
203.6	93	64	40
203.8	100	68	42
204	111	76	47
204.2	104	71	44
204.4	96	65	41
204.6	103	70	43
204.8	114	78	48
205	121	83	52
205.2	109	74	47
205.4	99	67	43
205.6	88	59	36
205.8	104	68	41
206	125	85	52
206.2	120	83	52
206.4	104	71	44
206.6	103	69	43
206.8	119	81	50
207	141	97	60
207.2	160	113	71
207.4	155	110	71
207.6	134	96	62
207.8	115	81	52
208	111	77	49
208.2	110	76	48
208.4	102	70	44
208.6	98	69	43
208.8	93	66	42
209	97	69	44
209.2	106	75	48
209.4	112	80	51
209.6	116	82	52
209.8	117	83	53
210	120	86	55
210.2	124	90	59
210.4	127	93	60
210.6	130	95	62
210.8	131	96	63
211	132	97	63
211.2	129	95	62
211.4	124	92	60
211.6	118	87	57
211.8	114	82	54
212	111	79	51
212.2	114	80	51
212.4	114	79	50
212.6	110	76	48
212.8	108	75	47
213	109	74	46
213.2	115	78	48
213.4	123	84	52
213.6	121	83	52
213.8	112	77	48
214	102	70	44
214.2	95	66	41
214.4	90	62	38
214.6	98	66	40
214.8	113	75	46
215	128	86	52
215.2	137	92	57
215.4	145	98	61
215.6	146	100	63
215.8	141	96	60
216	134	92	58
216.2	123	85	54
216.4	115	79	51
216.6	109	75	48
216.8	104	71	45
217	106	72	46
217.2	106	72	46
217.4	105	71	45
217.6	114	77	48
217.8	122	82	52
218	117	79	49
218.2	120	82	51
218.4	126	86	54
218.6	125	85	54
218.8	120	82	52
219	112	76	48
219.2	108	74	47
219.4	109	76	48
219.6	117	81	51
219.8	131	91	57
220	138	95	60
220.2	136	92	57
220.4	136	91	57
220.6	142	96	60
220.8	153	104	64
221	156	107	67
