Element,059TX41_cpx,059TX41_cpx_1sigma_error,060TX42_cpx,060TX42_cpx_1sigma_error,061TX43_opx,061TX43_opx_1sigma_error,062TX44_opx,062TX44_opx_1sigma_error,063TX45_opx,063TX45_opx_1sigma_error,064TX46_opx,064TX46_opx_1sigma_error,065TX47_opx,065TX47_opx_1sigma_error,066TX48_ol,066TX48_ol_1sigma_error,067TX49_ol,067TX49_ol_1sigma_error,068TX50_ol,068TX50_ol_1sigma_error,069TX51_cpx,069TX51_cpx_1sigma_error,070TX52_cpx,070TX52_cpx_1sigma_error,071TX53_ol,071TX53_ol_1sigma_error,072TX54_ol,072TX54_ol_1sigma_error,073TX55_cpx,073TX55_cpx_1sigma_error,074TX56_cpx,074TX56_cpx_1sigma_error,075TX57_opx,075TX57_opx_1sigma_error,076TX58_cpx,076TX58_cpx_1sigma_error
Mn55,699.29,23.84,678.07,23.17,1113.62,38.12,1121.56,38.47,1101.57,37.86,1114.82,38.4,1123.75,38.78,1091.75,37.76,1096.86,38.01,1090.21,37.86,684.61,23.83,701.42,24.47,1095.83,38.31,1098.41,38.48,670.52,23.55,637.81,22.45,1097.81,38.72,721.39,25.5
Co59,20.46,0.7,20.63,0.71,56.57,1.93,57.64,1.97,55.9,1.91,57.03,1.95,56.89,1.95,147.72,5.07,148.85,5.12,146.81,5.06,20.51,0.71,21.03,0.73,147.87,5.12,147.65,5.13,20.29,0.71,19.77,0.7,56.22,1.97,21.52,0.76
Ni60,306.54,11.26,314.48,11.59,675.61,24.93,690.14,25.54,691.6,25.67,674.67,25.11,681.14,25.43,2923.59,109.37,2977.22,111.72,2947.79,110.96,311.19,11.78,312.92,11.88,2955.44,112.28,2905.83,110.75,308.15,11.81,310.05,11.92,674,25.96,311.64,12.06
Cu65,1.84,0.11,1.18,0.086,0.597,0.07400000000000001,0.601,0.071,0.751,0.07200000000000001,0.529,0.069,0.712,0.071,0.591,0.066,0.804,0.071,0.977,0.073,1.7,0.1,1.463,0.096,0.76,0.071,0.885,0.073,1.15,0.087,0.899,0.078,1.081,0.086,1.86,0.11
Zn66,8.53,0.49,8.57,0.5,34.19,1.88,35.85,1.97,34.32,1.9,32.86,1.83,34.35,1.92,50.4,2.8,50.31,2.81,50.42,2.83,8.41,0.51,8.64,0.52,50.31,2.86,53.96,3.09,8.17,0.5,8.12,0.5,32.59,1.91,8.64,0.54
Ga71,4.74,0.18,4.71,0.18,3.85,0.15,4.06,0.16,4.27,0.16,3.71,0.14,3.85,0.15,0.0642,0.0081,0.0584,0.0094,0.0656,0.0094,4.76,0.18,4.63,0.18,0.0595,0.009000000000000001,0.066,0.01,4.8,0.19,4.36,0.17,4.13,0.16,4.89,0.19
Rb85,<0.055,0.022000000000000002,<0.053,0.021,<0.057,0.022000000000000002,<0.055,0.021,<0.055,0.021,<0.053,0.02,<0.054,0.021,<0.045,0.018000000000000002,<0.049,0.019,<0.050,0.019,<0.055,0.022000000000000002,<0.054,0.021,<0.049,0.019,<0.049,0.019,<0.056,0.022000000000000002,<0.058,0.022000000000000002,<0.06,<0.00,<0.056,0.022000000000000002
Sr88,44.26,1.66,43.53,1.64,0.0348,0.0042,0.0393,0.0041,0.401,0.019,0.0223,0.0031,0.1,0.0072,<0.0022,0.0012,<0.0029,0.0012,<0.00164,0.00093,35.8,1.39,39.04,1.52,0.0425,0.0042,0.0107,0.002,34.21,1.35,33.76,1.33,0.304,0.016,42.29,1.68
Y89,19.93,0.82,20.44,0.84,1.078,0.048,1.061,0.047,1.412,0.062,1.073,0.048,1.244,0.055,0.0202,0.0027,0.0195,0.0026,0.0274,0.0031,19.96,0.85,19.35,0.83,0.0473,0.0041,0.0332,0.0034,19.55,0.85,19.46,0.85,1.35,0.062,19.04,0.84
Zr90,31.37,1.16,33.59,1.25,1.448,0.061,1.475,0.062,2.314,0.09300000000000001,1.471,0.062,1.896,0.078,<0.0046,0.0023,0.0074,0.0031,0.0066,0.0021,31.88,1.22,30.65,1.17,0.0341,0.0047,0.0152,0.003,31.14,1.2,31.86,1.24,2.143,0.09,29.22,1.14
Nb93,0.1501,0.0093,0.1417,0.009000000000000001,0.0054,0.0019,0.0044,0.0016,<0.0053,0.0023,<0.0041,0.0019,0.0056,0.002,<0.0036,0.0013,<0.0034,0.0013,<0.0033,0.0016,0.149,0.0095,0.131,0.0087,<0.0029,0.0011,<0.0028,0.0013,0.1477,0.0096,0.1439,0.0093,0.0039,0.0016,0.1277,0.0086
Cs133,<0.0243,0.0096,<0.0241,0.0094,<0.0253,0.0099,<0.0240,0.0093,<0.027,0.01,<0.0253,0.0096,<0.0250,0.0098,<0.0208,0.0081,<0.0229,0.0087,<0.0230,0.0088,<0.0256,0.0099,<0.0243,0.0095,<0.0225,0.0087,<0.0213,0.0083,<0.026,0.01,<0.0253,0.0099,0.0281,0.0097,<0.026,0.01
Ba137,<0.028,0.011000000000000001,<0.025,0.01,0.0191,0.0092,<0.034,0.013000000000000001,<0.0230,0.0094,<0.0224,0.009000000000000001,<0.0260,0.0095,<0.0220,0.0084,<0.025,0.011000000000000001,0.0115,0.0061,<0.026,0.011000000000000001,<0.028,0.011000000000000001,<0.0202,0.0074,<0.026,0.01,<0.044,0.015,<0.031,0.012,<0.023,0.01,<0.028,0.011000000000000001
La139,0.855,0.040999999999999995,0.827,0.04,<0.00188,0.00098,<0.0031,0.0012,0.009,0.0019,0.0019,0.0008300000000000001,<0.0026,0.0012,<0.0027,0.0011,0.00147,0.0007099999999999999,<0.0030,0.0012,0.828,0.042,0.811,0.040999999999999995,<0.0026,0.0012,<0.00224,0.00078,0.82,0.042,0.78,0.04,0.0069,0.0021,0.835,0.043
Ce140,3.73,0.17,3.68,0.16,0.004,0.0015,0.0044,0.0013,0.0451,0.004,0.0056,0.0016,0.0114,0.0023,<0.0030,0.0012,<0.0024,0.0011,<0.0026,0.0011,3.51,0.16,3.51,0.16,0.0036,0.0014,0.00159,0.00074,3.56,0.17,3.41,0.16,0.0338,0.0035,3.51,0.17
Pr141,0.716,0.031,0.716,0.031,<0.0032,0.0012,0.00217,0.0009,0.0076,0.0017,<0.0032,0.0013,0.0036,0.0014,<0.00212,0.00085,<0.00261,0.0008900000000000001,<0.00169,0.00074,0.698,0.032,0.685,0.031,<0.0026,0.0011,<0.00166,0.00072,0.71,0.033,0.66,0.031,0.0083,0.0015,0.68,0.032
Nd146,4.4,0.21,4.58,0.22,<0.0207,0.0082,<0.0188,0.0075,0.0435,0.0095,<0.0176,0.0079,0.0238,0.0089,<0.0154,0.0056,<0.0127,0.0053,<0.0097,0.0043,4.14,0.21,4.11,0.21,<0.0148,0.0059,<0.0123,0.0045,4.28,0.22,4.15,0.22,0.054,0.01,4.27,0.22
